<h>
Newsletters	NNS	newsletter
<p>
Telegram	NN	telegram
has	VBZ	have
become	VBN	become
an	DT	an
outlet	NN	outlet
for	IN	for
Hamas	JJ	<unknown>
terrorists	NNS	terrorist
to	TO	to
share	VB	share
their	PP$	their
videos	NNS	video
,	,	,
statements	NNS	statement
,	,	,
and	CC	and
other	JJ	other
information	NN	information
as	IN	as
social	JJ	social
media	NNS	medium
platforms	NNS	platform
have	VBP	have
blocked	VBN	block
accounts	NNS	account
aligned	VBN	align
with	IN	with
the	DT	the
terrorist	JJ	terrorist
organization	NN	organization
.	SENT	.
<p>
The	DT	the
messaging	VBG	message
platform	NN	platform
is	VBZ	be
not	RB	not
well	RB	well
known	VBN	know
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
but	CC	but
boasts	VBZ	boast
700	CD	@card@
million	CD	million
monthly	JJ	monthly
users	NNS	user
,	,	,
according	VBG	accord
to	TO	to
its	PP$	its
creators	NNS	creator
.	SENT	.
It	PP	it
allows	VBZ	allow
for	IN	for
secure	JJ	secure
direct	JJ	direct
messaging	VBG	message
,	,	,
group	NN	group
chats	NNS	chat
,	,	,
and	CC	and
channels	NNS	channel
,	,	,
becoming	VBG	become
a	DT	a
hotbed	NN	hotbed
for	IN	for
content	NN	content
and	CC	and
information	NN	information
from	IN	from
the	DT	the
front	JJ	front
lines	NNS	line
of	IN	of
combat	NN	combat
.	SENT	.
<p>
Hamas	NP	<unknown>
has	VBZ	have
used	VBN	use
its	PP$	its
Telegram	NN	telegram
channel	NN	channel
to	TO	to
post	VB	post
videos	NNS	video
from	IN	from
its	PP$	its
attack	NN	attack
on	IN	on
Israel	NP	Israel
on	IN	on
Saturday	NP	Saturday
and	CC	and
subsequent	JJ	subsequent
violence	NN	violence
,	,	,
according	VBG	accord
to	TO	to
NBC	NP	NBC
News	NP	News
.	SENT	.
The	DT	the
outlet	NN	outlet
also	RB	also
reported	VBD	report
that	IN	that
it	PP	it
has	VBZ	have
a	DT	a
significant	JJ	significant
following	NN	following
on	IN	on
its	PP$	its
Telegram	NN	telegram
channel	NN	channel
.	SENT	.
<p>
The	DT	the
messaging	VBG	message
platform	NN	platform
has	VBZ	have
been	VBN	be
used	VBN	use
to	TO	to
share	VB	share
graphic	JJ	graphic
footage	NN	footage
from	IN	from
the	DT	the
conflict	NN	conflict
in	IN	in
Israel	NP	Israel
,	,	,
including	VBG	include
of	IN	of
a	DT	a
woman	NN	woman
being	VBG	be
kidnapped	VBN	kidnap
at	IN	at
a	DT	a
music	NN	music
festival	NN	festival
near	IN	near
the	DT	the
Israeli	JJ	Israeli
border	NN	border
with	IN	with
Gaza	NP	Gaza
.	SENT	.
The	DT	the
platform	NN	platform
was	VBD	be
also	RB	also
used	VBN	use
by	IN	by
Hamas	NP	<unknown>
to	TO	to
send	VB	send
out	RP	out
a	DT	a
statement	NN	statement
saying	VBG	say
the	DT	the
group	NN	group
would	MD	would
begin	VB	begin
executing	VBG	execute
civilian	JJ	civilian
hostages	NNS	hostage
for	IN	for
every	DT	every
unannounced	JJ	unannounced
attack	NN	attack
on	IN	on
Gaza	NP	Gaza
.	SENT	.
<p>
Josh	NP	Josh
Lipowsky	NP	<unknown>
,	,	,
research	NN	research
analyst	NN	analyst
for	IN	for
the	DT	the
Counter	NP	Counter
Extremism	NN	extremism
Project	NP	Project
,	,	,
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
on	IN	on
the	DT	the
platform	NN	platform
is	VBZ	be
available	JJ	available
on	IN	on
its	PP$	its
website	NN	website
but	CC	but
that	IN	that
when	WRB	when
its	PP$	its
website	NN	website
is	VBZ	be
down	RB	down
,	,	,
it	PP	it
provides	VBZ	provide
it	PP	it
the	DT	the
ability	NN	ability
to	TO	to
continue	VB	continue
its	PP$	its
"	``	"
propaganda	NN	propaganda
push	NN	push
.	SENT	.
"	''	"
<p>
"	``	"
Hamas	NN	<unknown>
utilizes	VBZ	utilize
Telegram	NN	telegram
channels	NNS	channel
in	IN	in
Arabic	NP	Arabic
and	CC	and
English	NP	English
to	TO	to
further	RBR	further
spread	VB	spread
its	PP$	its
propaganda	NN	propaganda
through	IN	through
distribution	NN	distribution
of	IN	of
the	DT	the
group	NN	group
'	POS	'
s	JJ	<unknown>
press	NN	press
releases	NNS	release
and	CC	and
statements	NNS	statement
to	TO	to
thousands	NNS	thousand
of	IN	of
subscribers	NNS	subscriber
to	TO	to
those	DT	those
channels	NNS	channel
.	SENT	.
Much	RB	much
of	IN	of
what	WP	what
appears	VBZ	appear
on	IN	on
the	DT	the
channels	NNS	channel
is	VBZ	be
taken	VBN	take
directly	RB	directly
from	IN	from
Hamas	NP	<unknown>
'	POS	'
s	NN	S
website	NN	website
,	,	,
offering	VBG	offer
another	DT	another
direct	JJ	direct
method	NN	method
of	IN	of
pushing	VBG	push
out	RP	out
its	PP$	its
releases	NNS	release
to	TO	to
followers	NNS	follower
who	WP	who
,	,	,
given	VBN	give
the	DT	the
nature	NN	nature
of	IN	of
Telegram	NN	telegram
,	,	,
have	VBP	have
specifically	RB	specifically
sought	VBN	seek
out	IN	out
the	DT	the
group	NN	group
,	,	,
"	''	"
Lipowsky	NP	<unknown>
said	VBD	say
.	SENT	.
<p>
"	''	"
As	RB	as
of	IN	of
earlier	RBR	earlier
this	DT	this
afternoon	NN	afternoon
,	,	,
Hamas	NP	<unknown>
'	POS	'
s	JJ	<unknown>
main	JJ	main
website	NN	website
,	,	,
both	CC	both
the	DT	the
Arabic	JJ	Arabic
and	CC	and
English	JJ	English
versions	NNS	version
,	,	,
is	VBZ	be
down	RB	down
,	,	,
hindering	VBG	hinder
Hamas	NP	<unknown>
'	POS	'
s	JJ	<unknown>
ability	NN	ability
to	TO	to
push	VB	push
out	RP	out
its	PP$	its
message	NN	message
at	IN	at
a	DT	a
time	NN	time
it	PP	it
is	VBZ	be
trying	VBG	try
to	TO	to
control	VB	control
the	DT	the
narrative	NN	narrative
of	IN	of
its	PP$	its
vicious	JJ	vicious
attack	NN	attack
,	,	,
"	''	"
he	PP	he
added	VBD	add
.	SENT	.
"	''	"
The	DT	the
Telegram	NN	telegram
channels	NNS	channel
provide	VBP	provide
Hamas	NNS	<unknown>
with	IN	with
redundancies	NNS	redundancy
to	TO	to
continue	VB	continue
their	PP$	their
propaganda	NN	propaganda
push	NN	push
across	IN	across
platforms	NNS	platform
.	SENT	.
"	``	"
<p>
Telegram	NN	telegram
emphasizes	VBZ	emphasize
that	IN	that
its	PP$	its
platform	NN	platform
is	VBZ	be
secure	JJ	secure
for	IN	for
its	PP$	its
messaging	VBG	message
,	,	,
both	CC	both
in	IN	in
groups	NNS	group
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
has	VBZ	have
"	``	"
disclosed	VBN	disclose
0	CD	@card@
bytes	NNS	byte
of	IN	of
user	NN	user
data	NNS	datum
to	TO	to
third	JJ	third
parties	NNS	party
,	,	,
including	VBG	include
governments	NNS	government
,	,	,
"	''	"
during	IN	during
its	PP$	its
10-year	JJ	10-year
existence	NN	existence
.	SENT	.
The	DT	the
messaging	VBG	message
platform	NN	platform
was	VBD	be
created	VBN	create
in	IN	in
2013	CD	@card@
and	CC	and
has	VBZ	have
its	PP$	its
development	NN	development
base	NN	base
in	IN	in
Dubai	NP	Dubai
,	,	,
but	CC	but
it	PP	it
says	VBZ	say
it	PP	it
is	VBZ	be
"	``	"
ready	JJ	ready
to	TO	to
relocate	VB	relocate
again	RB	again
if	IN	if
local	JJ	local
regulations	NNS	regulation
change	NN	change
.	SENT	.
"	''	"
<p>
The	DT	the
company	NN	company
in	IN	in
its	PP$	its
FAQ	NP	FAQ
page	NN	page
said	VBD	say
it	PP	it
will	MD	will
take	VB	take
down	RP	down
public-facing	VBG	public-face
content	NN	content
from	IN	from
terrorist	JJ	terrorist
groups	NNS	group
but	CC	but
that	IN	that
it	PP	it
does	VBZ	do
not	RB	not
