<p>
LONDON	NP	LONDON
--	:	--
Second	JJ	second
gentleman	NN	gentleman
Doug	NP	Doug
Emhoff	NP	Emhoff
said	VBD	say
this	DT	this
week	NN	week
that	IN	that
a	DT	a
"	``	"
crisis	NN	crisis
of	IN	of
antisemitism	NN	<unknown>
"	''	"
had	VBD	have
broken	VBN	break
out	RP	out
in	IN	in
schools	NNS	school
and	CC	and
on	IN	on
college	NN	college
campuses	NNS	campus
in	IN	in
the	DT	the
wake	NN	wake
of	IN	of
Hamas	NP	<unknown>
'	POS	'
attack	NN	attack
on	IN	on
Israel	NP	Israel
and	CC	and
ensuing	VBG	ensue
military	JJ	military
response	NN	response
against	IN	against
Gaza	NP	Gaza
.	SENT	.
<p>
"	``	"
It	PP	it
'	POS	'
s	NNS	<unknown>
an	DT	an
antisemitism	NN	<unknown>
crisis	NN	crisis
to	TO	to
be	VB	be
clear	JJ	clear
on	IN	on
our	PP$	our
campuses	NNS	campus
and	CC	and
even	RB	even
in	IN	in
our	PP$	our
K-through-12	NP	<unknown>
schools	NNS	school
,	,	,
on	IN	on
our	PP$	our
streets	NNS	street
and	CC	and
our	PP$	our
markets	NNS	market
,	,	,
wherever	WRB	wherever
you	PP	you
go	VBP	go
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
unprecedented	JJ	unprecedented
,	,	,
"	''	"
Emhoff	NP	Emhoff
told	VBD	tell
POLITICO	NN	politico
in	IN	in
an	DT	an
interview	NN	interview
this	DT	this
week	NN	week
during	IN	during
a	DT	a
trip	NN	trip
to	TO	to
London	NP	London
.	SENT	.
<p>
For	IN	for
months	NNS	month
,	,	,
Emhoff	NP	Emhoff
,	,	,
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
prominent	JJ	prominent
Jews	NNS	jew
in	IN	in
the	DT	the
Biden	NP	Biden
administration	NN	administration
,	,	,
has	VBZ	have
served	VBN	serve
as	IN	as
a	DT	a
de	FW	de
facto	FW	facto
emissary	NN	emissary
for	IN	for
the	DT	the
Biden	NP	Biden
administration	NN	administration
to	TO	to
the	DT	the
Jewish	JJ	Jewish
community	NN	community
,	,	,
where	WRB	where
he	PP	he
has	VBZ	have
worked	VBN	work
,	,	,
in	IN	in
particular	JJ	particular
,	,	,
on	IN	on
combating	VBG	combat
a	DT	a
rise	NN	rise
of	IN	of
antisemitism	NN	<unknown>
.	SENT	.
In	IN	in
the	DT	the
past	JJ	past
two	CD	two
weeks	NNS	week
,	,	,
he	PP	he
said	VBD	say
,	,	,
his	PP$	his
work	NN	work
has	VBZ	have
taken	VBN	take
on	IN	on
a	DT	a
far	RB	far
more	RBR	more
urgent	JJ	urgent
nature	NN	nature
.	SENT	.
<p>
The	DT	the
tenor	NN	tenor
of	IN	of
some	DT	some
of	IN	of
the	DT	the
protests	NNS	protest
over	IN	over
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
response	NN	response
to	TO	to
