<h>
Rep.	NP	Rep.
Rashida	NP	Rashida
Tlaib	NP	<unknown>
,	,	,
D-Mich	NP	<unknown>
.	SENT	.
,	,	,
said	VBD	say
that	IN	that
she	PP	she
was	VBD	be
'	POS	'
proud	JJ	proud
'	''	'
to	TO	to
vote	VB	vote
'	''	'
uncommitted	JJ	uncommitted
'	''	'
against	IN	against
Biden	NP	Biden
<p>
Arab	NP	Arab
American	NP	American
and	CC	and
Muslim	JJ	Muslim
voters	NNS	voter
in	IN	in
Michigan	NP	Michigan
are	VBP	be
calling	VBG	call
on	IN	on
President	NP	President
Biden	NP	Biden
to	TO	to
demand	VB	demand
a	DT	a
cease-fire	NN	cease-fire
in	IN	in
the	DT	the
Israel-Hamas	JJ	<unknown>
war	NN	war
,	,	,
or	CC	or
risk	NN	risk
losing	VBG	lose
to	TO	to
former	JJ	former
President	NP	President
Trump	NP	Trump
in	IN	in
November	NP	November
.	SENT	.
<p>
Arab	NP	Arab
Americans	NPS	Americans
and	CC	and
Muslim	JJ	Muslim
voters	NNS	voter
in	IN	in
Michigan	NP	Michigan
are	VBP	be
calling	VBG	call
on	IN	on
President	NP	President
Biden	NP	Biden
to	TO	to
demand	VB	demand
an	DT	an
immediate	JJ	immediate
cease-fire	NN	cease-fire
in	IN	in
the	DT	the
Israel-Hamas	JJ	<unknown>
war	NN	war
,	,	,
or	CC	or
risk	NN	risk
defeat	NN	defeat
to	TO	to
former	JJ	former
President	NP	President
Trump	NP	Trump
in	IN	in
November	NP	November
.	SENT	.
<p>
Biden	NP	Biden
'	POS	'
s	JJ	<unknown>
stance	NN	stance
on	IN	on
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
war	NN	war
in	IN	in
Gaza	NP	Gaza
has	VBZ	have
earned	VBN	earn
him	PP	him
fierce	JJ	fierce
backlash	NN	backlash
from	IN	from
Arab	JJ	Arab
American	JJ	American
and	CC	and
Muslim	JJ	Muslim
community	NN	community
leaders	NNS	leader
,	,	,
particularly	RB	particularly
in	IN	in
Michigan	NP	Michigan
,	,	,
which	WDT	which
is	VBZ	be
home	NN	home
to	TO	to
one	CD	one
of	IN	of
the	DT	the
largest	JJS	large
Muslim	JJ	Muslim
communities	NNS	community
in	IN	in
the	DT	the
U.S.	NP	U.S.
<p>
"	''	"
At	IN	at
this	DT	this
point	NN	point
in	IN	in
time	NN	time
,	,	,
with	IN	with
what	WP	what
'	POS	'
s	NN	S
happened	VBD	happen
internationally	RB	internationally
with	IN	with
our	PP$	our
current	JJ	current
foreign	JJ	foreign
policy	NN	policy
and	CC	and
the	DT	the
way	NN	way
Biden	NP	Biden
has	VBZ	have
been	VBN	be
handling	VBG	handle
the	DT	the
situation	NN	situation
,	,	,
an	DT	an
'	''	'
uncommitted	JJ	uncommitted
'	''	'
option	NN	option
on	IN	on
the	DT	the
Democratic	JJ	Democratic
ballot	NN	ballot
seems	VBZ	seem
to	TO	to
send	VB	send
a	DT	a
very	RB	very
strong	JJ	strong
message	NN	message
and	CC	and
to	TO	to
amplify	VB	amplify
our	PP$	our
voice	NN	voice
,	,	,
"	''	"
Michigan	NP	Michigan
voter	NN	voter
Mike	NP	Mike
Abdul	NP	Abdul
told	VBD	tell
CBS	NP	CBS
News	NP	News
.	SENT	.
<p>
Arab	NP	Arab
Americans	NPS	Americans
and	CC	and
Muslim	JJ	Muslim
voters	NNS	voter
in	IN	in
Michigan	NP	Michigan
are	VBP	be
calling	VBG	call
on	IN	on
President	NP	President
Biden	NP	Biden
to	TO	to
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
risk	NN	risk
defeat	NN	defeat
to	TO	to
former	JJ	former
President	NP	President
Trump	NP	Trump
in	IN	in
November	NP	November
.	SENT	.
(	(	(
Getty	NP	Getty
Images	NNS	image
/	SYM	/
CBS	NP	CBS
News	NP	News
screenshot	NN	<unknown>
)	)	)
<p>
"	``	"
Our	PP$	our
goal	NN	goal
is	VBZ	be
to	TO	to
organize	VB	organize
enough	JJ	enough
people	NNS	people
to	TO	to
vote	VB	vote
behind	IN	behind
the	DT	the
'	''	'
uncommitted	JJ	uncommitted
'	''	'
box	NN	box
to	TO	to
send	VB	send
a	DT	a
message	NN	message
to	TO	to
Biden	NP	Biden
and	CC	and
his	PP$	his
administration	NN	administration
,	,	,
"	''	"
Michigan	NP	Michigan
voter	NN	voter
Lexis	NP	Lexis
Zeidan	NP	Zeidan
said	VBD	say
.	SENT	.
<p>
Local	JJ	local
leaders	NNS	leader
in	IN	in
Michigan	NP	Michigan
are	VBP	be
also	RB	also
demanding	VBG	demand
that	IN	that
Biden	NP	Biden
push	VB	push
for	IN	for
a	DT	a
cease-fire	NN	cease-fire
in	IN	in
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
"	``	"
We	PP	we
'	POS	'
ve	NN	ve
continually	RB	continually
asked	VBD	ask
for	IN	for
and	CC	and
demanded	VBD	demand
a	DT	a
