<p>
Lashing	VBG	lash
out	RP	out
at	IN	at
Jerusalem	NP	Jerusalem
in	IN	in
a	DT	a
televised	JJ	televised
speech	NN	speech
,	,	,
the	DT	the
leader	NN	leader
of	IN	of
the	DT	the
Iran-backed	JJ	Iran-backed
group	NN	group
added	VBD	add
Israel	NP	Israel
"	``	"
knows	VBZ	know
that	IN	that
what	WP	what
also	RB	also
awaits	VBZ	await
it	PP	it
in	IN	in
the	DT	the
Mediterranean	NP	Mediterranean
is	VBZ	be
very	RB	very
big	JJ	big
...	:	...
In	IN	in
the	DT	the
face	NN	face
of	IN	of
a	DT	a
battle	NN	battle
of	IN	of
this	DT	this
magnitude	NN	magnitude
,	,	,
it	PP	it
knows	VBZ	know
that	IN	that
it	PP	it
must	MD	must
now	RB	now
wait	VB	wait
for	IN	for
us	PP	us
on	IN	on
land	NN	land
,	,	,
in	IN	in
the	DT	the
air	NN	air
,	,	,
and	CC	and
at	IN	at
sea	NN	sea
"	''	"
.	SENT	.
<p>
The	DT	the
Hezbollah	NP	Hezbollah
head	NN	head
went	VBD	go
on	IN	on
to	TO	to
issue	VB	issue
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
an	DT	an
extraordinary	JJ	extraordinary
warning	NN	warning
to	TO	to
Cyprus	NP	Cyprus
,	,	,
accused	VBN	accuse
of	IN	of
allowing	VBG	allow
Israel	NP	Israel
to	TO	to
use	VB	use
its	PP$	its
airports	NNS	airport
and	CC	and
bases	NNS	base
for	IN	for
military	JJ	military
exercises	NNS	exercise
.	SENT	.
<p>
He	PP	he
said	VBD	say
:	:	:
"	``	"
The	DT	the
Cypriot	JJ	Cypriot
government	NN	government
must	MD	must
be	VB	be
warned	VBN	warn
that	IN	that
opening	VBG	open
Cypriot	JJ	Cypriot
airports	NNS	airport
and	CC	and
bases	NNS	base
for	IN	for
the	DT	the
Israeli	JJ	Israeli
enemy	NN	enemy
to	TO	to
target	VB	target
Lebanon	NP	Lebanon
means	VBZ	mean
that	IN	that
the	DT	the
Cypriot	JJ	Cypriot
government	NN	government
has	VBZ	have
become	VBN	become
part	NN	part
of	IN	of
the	DT	the
war	NN	war
and	CC	and
the	DT	the
resistance	NN	resistance
(	(	(
Hezbollah	NP	Hezbollah
)	)	)
will	MD	will
deal	VB	deal
with	IN	with
it	PP	it
as	IN	as
part	NN	part
of	IN	of
the	DT	the
war	NN	war
.	SENT	.
"	''	"
<p>
Fighting	VBG	fight
at	IN	at
the	DT	the
border	NN	border
between	IN	between
Israel	NP	Israel
and	CC	and
Lebanon	NP	Lebanon
have	VBP	have
intensified	VBN	intensify
in	IN	in
recent	JJ	recent
weeks	NNS	week
(	(	(
Image	VB	image
:	:	:
GETTY	NP	Getty
)	)	)
<p>
Cyprus	NP	Cyprus
is	VBZ	be
not	RB	not
known	VBN	know
to	TO	to
have	VB	have
offered	VBN	offer
any	DT	any
military	JJ	military
facilities	NNS	facility
to	TO	to
Israel	NP	Israel
.	SENT	.
It	PP	it
has	VBZ	have
allowed	VBN	allow
the	DT	the
country	NN	country
at	IN	at
times	NNS	time
in	IN	in
the	DT	the
past	NN	past
to	TO	to
use	VB	use
its	PP$	its
flight	NN	flight
information	NN	information
region	NN	region
to	TO	to
conduct	VB	conduct
air	NN	air
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
have	VBP	have
departed	VBN	depart
from	IN	from
a	DT	a
military	JJ	military
facility	NN	facility
in	IN	in
Cyprus	NP	Cyprus
in	IN	in
recent	JJ	recent
months	NNS	month
for	IN	for
operations	NNS	operation
against	IN	against
Houthi	NP	<unknown>
targets	NNS	target
in	IN	in
Yemen	NP	Yemen
,	,	,
but	CC	but
they	PP	they
were	VBD	be
operating	VBG	operate
from	IN	from
a	DT	a
sovereign	JJ	sovereign
British	JJ	British
base	NN	base
on	IN	on
which	WDT	which
the	DT	the
Cyprus	NP	Cyprus
government	NN	government
has	VBZ	have
no	DT	no
say	NN	say
.	SENT	.
<p>
The	DT	the
ever-present	JJ	ever-present
tensions	NNS	tension
between	IN	between
Israel	NP	Israel
and	CC	and
Hezbollah	NP	Hezbollah
started	VBD	start
to	TO	to
grow	VB	grow
again	RB	again
following	VBG	follow
Hamas	NP	<unknown>
'	POS	'
unprecedented	JJ	unprecedented
terror	NN	terror
attack	NN	attack
on	IN	on
October	NP	October
7	CD	@card@
,	,	,
with	IN	with
the	DT	the
Lebanese	JJ	Lebanese
militants	NNS	militant
firing	VBG	fire
shells	NNS	shell
to	TO	to
support	VB	support
another	DT	another
Iranian	JJ	Iranian
proxy	NN	proxy
.	SENT	.
<p>
But	CC	but
in	IN	in
recent	JJ	recent
weeks	NNS	week
,	,	,
Hezbollah	NP	Hezbollah
drone	NN	drone
and	CC	and
rocket	NN	rocket
attacks	NNS	attack
have	VBP	have
grown	VBN	grow
in	IN	in
number	NN	number
and	CC	and
intensity	NN	intensity
,	,	,
leading	VBG	lead
Jerusalem	NP	Jerusalem
to	TO	to
consider	VB	consider
an	DT	an
"	``	"
all-out	JJ	all-out
"	''	"
