<h>
Share	NN	share
<h>
David	NP	David
Lammy	NP	<unknown>
partially	RB	partially
suspends	VBZ	suspend
arms	NNS	arm
sales	NNS	sale
to	TO	to
Israel	NP	Israel
<p>
David	NP	David
Lammy	NP	<unknown>
has	VBZ	have
just	RB	just
announced	VBN	announce
that	IN	that
Britain	NP	Britain
is	VBZ	be
suspending	VBG	suspend
30	CD	@card@
arms	NNS	arm
export	VBP	export
licenses	NNS	license
to	TO	to
Israel	NP	Israel
.	SENT	.
The	DT	the
Foreign	NP	Foreign
Secretary	NP	Secretary
told	VBD	tell
the	DT	the
House	NP	House
of	IN	of
Commons	NPS	Commons
that	IN	that
after	IN	after
a	DT	a
review	NN	review
of	IN	of
international	JJ	international
humanitarian	JJ	humanitarian
law	NN	law
,	,	,
he	PP	he
was	VBD	be
left	VBN	leave
with	IN	with
no	DT	no
choice	NN	choice
but	CC	but
to	TO	to
conclude	VB	conclude
that	IN	that
there	EX	there
was	VBD	be
a	DT	a
risk	NN	risk
of	IN	of
a	DT	a
number	NN	number
of	IN	of
weapons	NNS	weapon
being	VBG	be
used	VBN	use
to	TO	to
commit	VB	commit
or	CC	or
facilitate	VB	facilitate
the	DT	the
violation	NN	violation
of	IN	of
the	DT	the
law	NN	law
.	SENT	.
He	PP	he
said	VBD	say
:	:	:
<p>
It	PP	it
is	VBZ	be
with	IN	with
regret	NN	regret
that	IN	that
I	PP	I
inform	VB	inform
the	DT	the
House	NP	House
today	NN	today
that	IN	that
the	DT	the
assessment	NN	assessment
I	PP	I
have	VBP	have
received	VBN	receive
leaves	VBZ	leave
me	PP	me
unable	JJ	unable
to	TO	to
conclude	VB	conclude
anything	NN	anything
other	JJ	other
than	IN	than
that	IN	that
for	IN	for
certain	JJ	certain
UK	NP	UK
arms	NNS	arm
exports	NNS	export
to	TO	to
Israel	NP	Israel
,	,	,
there	EX	there
does	VBZ	do
exist	VB	exist
a	DT	a
clear	JJ	clear
risk	NN	risk
that	IN	that
they	PP	they
might	MD	might
be	VB	be
used	VBN	use
to	TO	to
commit	VB	commit
or	CC	or
facilitate	VB	facilitate
a	DT	a
serious	JJ	serious
violation	NN	violation
of	IN	of
international	JJ	international
humanitarian	JJ	humanitarian
law	NN	law
.	SENT	.
I	PP	I
have	VBP	have
informed	VBN	inform
my	PP$	my
right	JJ	right
