<h>
Injured	JJ	injured
Gaza	NP	Gaza
teen	NN	teen
arrives	VBZ	arrive
in	IN	in
US	PP	us
for	IN	for
medical	JJ	medical
treatment	NN	treatment
after	IN	after
arm	NN	arm
amputations	NNS	amputation
<p>
Diaa	NP	<unknown>
,	,	,
age	NN	age
15	CD	@card@
,	,	,
arrives	VBZ	arrive
in	IN	in
Chicago	NP	Chicago
on	IN	on
Sunday	NP	Sunday
,	,	,
Nov.	NP	Nov.
17	CD	@card@
,	,	,
2024	CD	@card@
to	TO	to
seek	VB	seek
medical	JJ	medical
care	NN	care
in	IN	in
the	DT	the
U.S.	NP	U.S.
after	IN	after
being	VBG	be
injured	VBN	injure
in	IN	in
Gaza	NP	Gaza
.	SENT	.
He	PP	he
will	MD	will
be	VB	be
receiving	VBG	receive
treatment	NN	treatment
in	IN	in
Portland	NP	Portland
.	SENT	.
<p>
KATU	NP	<unknown>
<p>
A	NP	A
teenager	NN	teenager
who	WP	who
was	VBD	be
seriously	RB	seriously
injured	VBN	injure
in	IN	in
Gaza	NP	Gaza
amid	IN	amid
the	DT	the
Israel-Hamas	JJ	<unknown>
war	NN	war
has	VBZ	have
arrived	VBN	arrive
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
for	IN	for
treatment	NN	treatment
.	SENT	.
<p>
Diaa	NP	<unknown>
Al-Haqq	NP	<unknown>
,	,	,
15	CD	@card@
,	,	,
was	VBD	be
injured	VBN	injure
when	WRB	when
an	DT	an
alleged	JJ	alleged
Israeli	JJ	Israeli
missile	NN	missile
attack	NN	attack
hit	VBD	hit
a	DT	a
caf	NN	caf
?	SENT	?
in	IN	in
Gaza	NP	Gaza
,	,	,
the	DT	the
Palestinian	NP	Palestinian
Children	NP	Children
'	POS	'
s	NN	S
Relief	NP	Relief
Fund	NP	Fund
(	(	(
PCRF	NP	<unknown>
)	)	)
--	:	--
the	DT	the
nongovernmental	JJ	nongovernmental
organization	NN	organization
that	WDT	that
arranged	VBD	arrange
his	PP$	his
evacuation	NN	evacuation
--	:	--
told	VBD	tell
Portland	NP	Portland
,	,	,
Oregon	NP	Oregon
,	,	,
ABC	NP	ABC
affiliate	NN	affiliate
KATU	NP	<unknown>
.	SENT	.
Diaa	NP	<unknown>
'	POS	'
s	NN	S
arms	NNS	arm
were	VBD	be
severely	RB	severely
injured	VBN	injure
and	CC	and
he	PP	he
had	VBD	have
amputations	NNS	amputation
on	IN	on
both	DT	both
arms	NNS	arm
below	IN	below
his	PP$	his
elbows	NNS	elbow
.	SENT	.
<p>
Diaa	NP	<unknown>
and	CC	and
his	PP$	his
sister	NN	sister
,	,	,
Aya	NP	Aya
,	,	,
arrived	VBN	arrive
at	IN	at
O'Hare	NP	<unknown>
International	NP	International
Airport	NP	Airport
in	IN	in
Chicago	NP	Chicago
on	IN	on
Saturday	NP	Saturday
,	,	,
the	DT	the
local	JJ	local
PCRF	NP	<unknown>
chapter	NN	chapter
in	IN	in
Portland	NP	Portland
said	VBD	say
in	IN	in
a	DT	a
post	NN	post
on	IN	on
Instagram	NP	<unknown>
.	SENT	.
After	IN	after
a	DT	a
brief	JJ	brief
layover	NN	layover
,	,	,
Diaa	NP	<unknown>
arrived	VBD	arrive
in	IN	in
Portland	NP	Portland
,	,	,
where	WRB	where
he	PP	he
will	MD	will
be	VB	be
receiving	VBG	receive
medical	JJ	medical
care	NN	care
,	,	,
on	IN	on
Sunday	NP	Sunday
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
really	RB	really
excited	VBN	excite
that	IN	that
he	PP	he
'	POS	'
s	NN	S
able	JJ	able
to	TO	to
come	VB	come
here	RB	here
for	IN	for
treatment	NN	treatment
and	CC	and
be	VB	be
safely	RB	safely
hosted	VBN	host
within	IN	within
the	DT	the
Portland	NP	Portland
community	NN	community
in	IN	in
the	DT	the
coming	VBG	come
months	NNS	month
,	,	,
"	''	"
Niyyah	NP	<unknown>
Ruschaer-Haqq	NP	<unknown>
,	,	,
a	DT	a
nurse	NN	nurse
practitioner	NN	practitioner
in	IN	in
Portland	NP	Portland
,	,	,
told	VBD	tell
KATU	NP	<unknown>
.	SENT	.
<p>
Diaa	NP	<unknown>
,	,	,
age	NN	age
15	CD	@card@
,	,	,
arrives	VBZ	arrive
in	IN	in
Chicago	NP	Chicago
on	IN	on
Sunday	NP	Sunday
,	,	,
Nov.	NP	Nov.
17	CD	@card@
,	,	,
2024	CD	@card@
to	TO	to
seek	VB	seek
medical	JJ	medical
care	NN	care
in	IN	in
the	DT	the
U.S.	NP	U.S.
after	IN	after
being	VBG	be
injured	VBN	injure
in	IN	in
Gaza	NP	Gaza
.	SENT	.
He	PP	he
will	MD	will
be	VB	be
receiving	VBG	receive
treatment	NN	treatment
in	IN	in
Portland	NP	Portland
.	SENT	.
<p>
Diaa	NP	<unknown>
is	VBZ	be
one	CD	one
of	IN	of
two	CD	two
children	NNS	child
whose	WP$	whose
medical	JJ	medical
care	NN	care
will	MD	will
be	VB	be
supported	VBN	support
by	IN	by
the	DT	the
PCRF	NP	<unknown>
,	,	,
while	IN	while
the	DT	the
remaining	VBG	remain
six	CD	six
children	NNS	child
will	MD	will
have	VB	have
their	PP$	their
medical	JJ	medical
care	NN	care
supported	VBN	support
by	IN	by
other	JJ	other
organizations	NNS	organization
,	,	,
the	DT	the
PCRF	NP	<unknown>
said	VBD	say
.	SENT	.
<p>
The	DT	the
organization	NN	organization
said	VBD	say
Diaa	NP	<unknown>
dreamed	VBD	dream
of	IN	of
becoming	VBG	become
a	DT	a
professional	JJ	professional
photographer	NN	photographer
and	CC	and
loved	VBD	love
documenting	VBG	document
nature	NN	nature
,	,	,
according	VBG	accord
to	TO	to
KATU	NP	<unknown>
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
unclear	JJ	unclear
how	WRB	how
long	RB	long
Diaa	NP	<unknown>
will	MD	will
remain	VB	remain
in	IN	in
the	DT	the
U.S.	NP	U.S.
receiving	NN	receiving
care	NN	care
.	SENT	.
<p>
The	DT	the
PCRF	NP	<unknown>
did	VBD	do
not	RB	not
immediately	RB	immediately
respond	VB	respond
to	TO	to
ABC	NP	ABC
News	NP	News
'	POS	'
request	NN	request
for	IN	for
comment	NN	comment
.	SENT	.
<p>
Since	IN	since
the	DT	the
Israel-Hamas	JJ	<unknown>
war	NN	war
began	VBD	begin
on	IN	on
Oct.	NP	Oct.
7	CD	@card@
,	,	,
2023	CD	@card@
,	,	,
at	IN	at
least	JJS	least
12,000	CD	@card@
children	NNS	child
have	VBP	have
been	VBN	be
injured	VBN	injure
,	,	,
equating	VBG	equate
to	TO	to
almost	RB	almost
70	CD	@card@
every	DT	every
day	NN	day
,	,	,
according	VBG	accord
to	TO	to
UNICEF	NP	UNICEF
.	SENT	.
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
in	IN	in
Gaza	NP	Gaza
,	,	,
"	''	"
according	VBG	accord
to	TO	to
the	DT	the
humanitarian	JJ	humanitarian
aid	NN	aid
organization	NN	organization
.	SENT	.
<p>
Last	JJ	last
month	NN	month
,	,	,
UNICEF	NP	UNICEF
said	VBD	say
that	IN	that
between	IN	between
Jan.	NP	Jan.
1	CD	@card@
and	CC	and
May	NP	May
7	CD	@card@
of	IN	of
this	DT	this
year	NN	year
,	,	,
an	DT	an
average	NN	average
of	IN	of
296	CD	@card@
children	NNS	child
were	VBD	be
being	VBG	be
medically	RB	medically
evacuated	VBN	evacuate
from	IN	from
Gaza	NP	Gaza
each	DT	each
month	NN	month
.	SENT	.
However	RB	however
,	,	,
since	IN	since
the	DT	the
Rafah	NP	<unknown>
border	NN	border
crossing	VBG	cross
between	IN	between
Gaza	NP	Gaza
and	CC	and
Egypt	NP	Egypt
was	VBD	be
closed	VBN	close
on	IN	on
May	NP	May
7	CD	@card@
after	IN	after
Israeli	JJ	Israeli
forces	NNS	force
launched	VBD	launch
a	DT	a
ground	NN	ground
operation	NN	operation
,	,	,
just	RB	just
22	CD	@card@
children	NNS	child
have	VBP	have
been	VBN	be
medically	RB	medically
evacuated	VBN	evacuate
every	DT	every
month	NN	month
.	SENT	.
<p>
"	''	"
As	IN	as
a	DT	a
result	NN	result
,	,	,
children	NNS	child
in	IN	in
Gaza	NP	Gaza
are	VBP	be
dying	VBG	die
--	:	--
not	RB	not
just	RB	just
from	IN	from
the	DT	the
bombs	NNS	bomb
,	,	,
bullets	NNS	bullet
and	CC	and
shells	NNS	shell
that	WDT	that
strike	VBP	strike
them	PP	them
--	:	--
but	CC	but
because	IN	because
,	,	,
even	RB	even
when	WRB	when
'	POS	'
miracles	NNS	miracle
happen	VBP	happen
,	,	,
'	''	'
even	RB	even
when	WRB	when
the	DT	the
bombs	NNS	bomb
go	VBP	go
off	RP	off
and	CC	and
the	DT	the
homes	NNS	home
collapse	NN	collapse
and	CC	and
the	DT	the
casualties	NNS	casualty
mount	VBP	mount
,	,	,
but	CC	but
the	DT	the
children	NNS	child
survive	VBP	survive
,	,	,
they	PP	they
are	VBP	be
then	RB	then
prevented	VBN	prevent
from	IN	from
leaving	VBG	leave
Gaza	NP	Gaza
to	TO	to
receive	VB	receive
the	DT	the
urgent	JJ	urgent
care	NN	care
that	WDT	that
would	MD	would
save	VB	save
their	PP$	their
lives	NNS	life
,	,	,
"	''	"
UNICEF	NP	UNICEF
said	VBD	say
in	IN	in
an	DT	an
October	NP	October
press	NN	press
release	NN	release
.	SENT	.
<p>
Since	IN	since
Hamas	NP	<unknown>
launched	VBD	launch
its	PP$	its
surprise	JJ	surprise
terrorist	JJ	terrorist
attack	NN	attack
on	IN	on
Israel	NP	Israel
,	,	,
and	CC	and
Israel	NP	Israel
responded	VBD	respond
by	IN	by
declaring	VBG	declare
war	NN	war
,	,	,
at	IN	at
least	JJS	least
43,800	CD	@card@
people	NNS	people
have	VBP	have
been	VBN	be
killed	VBN	kill
in	IN	in
Gaza	NP	Gaza
and	CC	and
at	IN	at
