<h>
December	NP	December
03	CD	@card@
,	,	,
2024	CD	@card@
,	,	,
09:34	CD	@card@
PM	NP	PM
<p>
In	IN	in
his	PP$	his
speech	NN	speech
,	,	,
Maliki	NP	<unknown>
,	,	,
who	WP	who
is	VBZ	be
also	RB	also
Minister	NP	Minister
in	IN	in
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
'	POS	'
s	JJ	<unknown>
Office	NP	Office
and	CC	and
Second	NP	Second
Minister	NP	Minister
for	IN	for
Education	NP	Education
,	,	,
said	VBD	say
that	IN	that
more	JJR	more
is	VBZ	be
needed	VBN	need
to	TO	to
be	VB	be
done	VBN	do
to	TO	to
address	VB	address
the	DT	the
dire	JJ	dire
humanitarian	JJ	humanitarian
conditions	NNS	condition
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
While	IN	while
in	IN	in
Cairo	NP	Cairo
,	,	,
Maliki	NP	<unknown>
also	RB	also
met	VBD	meet
with	IN	with
the	DT	the
Palestinian	JJ	Palestinian
prime	JJ	prime
minister	NN	minister
and	CC	and
foreign	JJ	foreign
minister	NN	minister
,	,	,
Mohammed	NP	Mohammed
Mustafa	NP	Mustafa
,	,	,
Egypt	NP	Egypt
'	POS	'
s	JJ	<unknown>
foreign	JJ	foreign
minister	NN	minister
,	,	,
Badr	NP	<unknown>
Abdelatty	NP	Abdelatty
,	,	,
as	RB	as
well	RB	well
as	IN	as
other	JJ	other
foreign	JJ	foreign
dignitaries	NNS	dignitary
present	JJ	present
at	IN	at
the	DT	the
conference	NN	conference
.	SENT	.
<h>
Humanitarian	JJ	humanitarian
relief	NN	relief
and	CC	and
ceasefire	NN	ceasefire
<p>
During	IN	during
his	PP$	his
conference	NN	conference
speech	NN	speech
Maliki	NP	<unknown>
spoke	VBD	speak
about	IN	about
Singapore	NP	Singapore
'	POS	'
s	JJ	<unknown>
concerns	NNS	concern
about	IN	about
the	DT	the
humanitarian	JJ	humanitarian
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
,	,	,
its	PP$	its
call	NN	call
for	IN	for
an	DT	an
immediate	JJ	immediate
humanitarian	JJ	humanitarian
ceasefire	NN	ceasefire
,	,	,
and	CC	and
preparations	NNS	preparation
and	CC	and
hopes	NNS	hope
for	IN	for
the	DT	the
future	NN	future
,	,	,
should	MD	should
a	DT	a
ceasefire	NN	ceasefire
be	VB	be
called	VBN	call
.	SENT	.
<p>
These	DT	these
points	NNS	point
were	VBD	be
elaborated	VBN	elaborate
on	IN	on
during	IN	during
a	DT	a
doorstop	NN	doorstop
interview	NN	interview
that	IN	that
the	DT	the
minister	NN	minister
held	VBN	hold
after	IN	after
the	DT	the
conference	NN	conference
.	SENT	.
<p>
During	IN	during
the	DT	the
doorstop	NN	doorstop
,	,	,
he	PP	he
elaborated	VBD	elaborate
on	IN	on
the	DT	the
humanitarian	JJ	humanitarian
situation	NN	situation
,	,	,
noting	VBG	note
that	IN	that
winter	NN	winter
was	VBD	be
"	``	"
fast	RB	fast
approaching	VBG	approach
"	''	"
,	,	,
and	CC	and
that	IN	that
the	DT	the
people	NNS	people
in	IN	in
Gaza	NP	Gaza
would	MD	would
need	VB	need
better	JJR	good
shelter	NN	shelter
and	CC	and
warm	JJ	warm
clothing	NN	clothing
,	,	,
in	IN	in
addition	NN	addition
to	TO	to
the	DT	the
already	RB	already
insufficient	JJ	insufficient
food	NN	food
and	CC	and
essential	JJ	essential
supplies	NNS	supply
.	SENT	.
<p>
Maliki	NP	<unknown>
also	RB	also
noted	VBD	note
that	IN	that
this	DT	this
was	VBD	be
true	JJ	true
for	IN	for
the	DT	the
remaining	VBG	remain
hostages	NNS	hostage
in	IN	in
Gaza	NP	Gaza
,	,	,
who	WP	who
were	VBD	be
taken	VBN	take
hostage	NN	hostage
during	IN	during
the	DT	the
Oct.	NP	Oct.
7	CD	@card@
2023	CD	@card@
attacks	NNS	attack
on	IN	on
Israel	NP	Israel
by	IN	by
Hamas	NP	<unknown>
more	RBR	more
than	IN	than
a	DT	a
year	NN	year
ago	RB	ago
.	SENT	.
<p>
During	IN	during
the	DT	the
doorstop	NN	doorstop
,	,	,
he	PP	he
reiterated	VBD	reiterate
Singapore	NP	Singapore
'	POS	'
s	JJ	<unknown>
call	NN	call
for	IN	for
an	DT	an
immediate	JJ	immediate
humanitarian	JJ	humanitarian
ceasefire	NN	ceasefire
,	,	,
and	CC	and
also	RB	also
the	DT	the
immediate	JJ	immediate
,	,	,
safe	JJ	safe
,	,	,
and	CC	and
unconditional	JJ	unconditional
release	NN	release
of	IN	of
all	DT	all
remaining	VBG	remain
hostages	NNS	hostage
.	SENT	.
<h>
S$18	NP	<unknown>
million	CD	million
for	IN	for
relief	NN	relief
efforts	NNS	effort
<p>
During	IN	during
his	PP$	his
speech	NN	speech
and	CC	and
the	DT	the
doorstop	NN	doorstop
,	,	,
he	PP	he
said	VBD	say
that	IN	that
Singaporeans	NNS	Singaporean
and	CC	and
the	DT	the
Singapore	NP	Singapore
government	NN	government
had	VBD	have
collectively	RB	collectively
donated	VBN	donate
more	JJR	more
than	IN	than
S$18	NP	<unknown>
million	CD	million
in	IN	in
cash	NN	cash
and	CC	and
in-kind	JJ	in-kind
donations	NNS	donation
for	IN	for
relief	NN	relief
efforts	NNS	effort
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
Maliki	NP	<unknown>
had	VBD	have
gone	VBN	go
to	TO	to
Egypt	NP	Egypt
in	IN	in
November	NP	November
2023	CD	@card@
to	TO	to
hand	VB	hand
over	IN	over
the	DT	the
first	JJ	first
tranche	NN	tranche
of	IN	of
that	DT	that
aid	NN	aid
,	,	,
while	IN	while
Foreign	NP	Foreign
Minister	NP	Minister
Vivian	NP	Vivian
Balakrishnan	NP	Balakrishnan
was	VBD	be
present	JJ	present
for	IN	for
the	DT	the
handover	NN	handover
of	IN	of
the	DT	the
third	JJ	third
tranche	NN	tranche
,	,	,
which	WDT	which
had	VBD	have
been	VBN	be
accompanied	VBN	accompany
by	IN	by
an	DT	an
