<p>
London	NP	London
--	:	--
The	DT	the
International	NP	International
Criminal	NP	Criminal
Court	NP	Court
on	IN	on
Friday	NP	Friday
condemned	VBD	condemn
sanctions	NNS	sanction
imposed	VBN	impose
on	IN	on
its	PP$	its
officials	NNS	official
by	IN	by
President	NP	President
Trump	NP	Trump
.	SENT	.
The	DT	the
United	NP	United
Nations	NPS	Nations
court	NN	court
,	,	,
which	WDT	which
is	VBZ	be
in	IN	in
the	DT	the
Hague	NP	Hague
,	,	,
Netherlands	NP	Netherlands
,	,	,
said	VBD	say
the	DT	the
U.S.	NP	U.S.
measures	NNS	measure
were	VBD	be
intended	VBN	intend
to	TO	to
"	``	"
harm	VB	harm
(	(	(
the	DT	the
Court	NP	Court
'	POS	'
s	NN	S
)	)	)
independent	JJ	independent
and	CC	and
impartial	JJ	impartial
judicial	JJ	judicial
work	NN	work
.	SENT	.
"	''	"
<p>
"	``	"
The	DT	the
Court	NP	Court
stands	VBZ	stand
firmly	RB	firmly
by	IN	by
its	PP$	its
personnel	NNS	personnel
and	CC	and
pledges	NNS	pledge
to	TO	to
continue	VB	continue
providing	VBG	provide
justice	NN	justice
and	CC	and
hope	VBP	hope
to	TO	to
millions	NNS	million
of	IN	of
innocent	JJ	innocent
victims	NNS	victim
of	IN	of
atrocities	NNS	atrocity
across	IN	across
the	DT	the
world	NN	world
,	,	,
in	IN	in
all	DT	all
Situations	NNS	situation
before	IN	before
it	PP	it
,	,	,
"	''	"
the	DT	the
ICC	NP	ICC
said	VBD	say
in	IN	in
a	DT	a
statement	NN	statement
.	SENT	.
"	``	"
We	PP	we
call	VBP	call
on	IN	on
our	PP$	our
125	CD	@card@
States	NP	States
Parties	NNS	party
,	,	,
civil	JJ	civil
society	NN	society
and	CC	and
all	DT	all
nations	NNS	nation
of	IN	of
the	DT	the
world	NN	world
to	TO	to
stand	VB	stand
united	VBN	unite
for	IN	for
justice	NN	justice
and	CC	and
fundamental	JJ	fundamental
human	JJ	human
rights	NNS	right
.	SENT	.
"	''	"
<p>
Mr.	NP	Mr.
Trump	NP	Trump
claimed	VBD	claim
in	IN	in
his	PP$	his
executive	JJ	executive
order	NN	order
on	IN	on
Thursday	NP	Thursday
that	IN	that
the	DT	the
ICC	NP	ICC
had	VBD	have
"	``	"
engaged	VBN	engage
in	IN	in
illegitimate	JJ	illegitimate
and	CC	and
