<p>
MORE	JJR	more
than	IN	than
2,000	CD	@card@
people	NNS	people
rallied	VBN	rally
in	IN	in
Glasgow	NP	Glasgow
on	IN	on
Saturday	NP	Saturday
,	,	,
marching	VBG	march
for	IN	for
peace	NN	peace
and	CC	and
in	IN	in
memory	NN	memory
of	IN	of
Gaza	NP	Gaza
'	POS	'
s	NN	S
lost	VBD	lose
fathers	NNS	father
.	SENT	.
<p>
Torrential	JJ	torrential
rain	NN	rain
did	VBD	do
little	RB	little
to	TO	to
dampen	VB	dampen
the	DT	the
spirit	NN	spirit
and	CC	and
the	DT	the
solidarity	NN	solidarity
of	IN	of
those	DT	those
who	WP	who
gathered	VBD	gather
at	IN	at
Glasgow	NP	Glasgow
Green	NP	Green
for	IN	for
the	DT	the
national	JJ	national
demonstration	NN	demonstration
organised	VBN	organise
by	IN	by
the	DT	the
Gaza	NP	Gaza
Genocide	NN	genocide
Emergency	NP	Emergency
Committee	NP	Committee
.	SENT	.
<p>
The	DT	the
march	NN	march
went	VBD	go
ahead	RB	ahead
without	IN	without
one	CD	one
of	IN	of
the	DT	the
committee	NN	committee
'	POS	'
s	JJ	<unknown>
most	RBS	most
prominent	JJ	prominent
campaigners	NNS	campaigner
,	,	,
Mick	NP	Mick
Napier	NP	Napier
,	,	,
arrested	VBD	arrest
the	DT	the
day	NN	day
before	IN	before
on	IN	on
allegations	NNS	allegation
he	PP	he
had	VBD	have
breached	VBN	breach
his	PP$	his
bail	NN	bail
terms	NNS	term
at	IN	at
a	DT	a
protest	NN	protest
at	IN	at
Barclays	NP	Barclays
Bank	NP	Bank
in	IN	in
the	DT	the
city	NN	city
a	DT	a
week	NN	week
earlier	RBR	earlier
.	SENT	.
<p>
The	DT	the
arrest	NN	arrest
is	VBZ	be
his	PP$	his
second	NN	second
this	DT	this
month	NN	month
on	IN	on
such	JJ	such
allegations	NNS	allegation
;	:	;
the	DT	the
first	RB	first
led	VBN	lead
to	TO	to
Police	NP	Police
Scotland	NP	Scotland
having	VBG	have
to	TO	to
release	VB	release
him	PP	him
and	CC	and
apologise	VB	apologise
after	IN	after
an	DT	an
hours-long	JJ	hours-long
stand-off	NN	stand-off
with	IN	with
supporters	NNS	supporter
.	SENT	.
<p>
The	DT	the
latest	JJS	late
arrest	NN	arrest
left	VBD	leave
him	PP	him
detained	VBD	detain
until	IN	until
Monday	NP	Monday
,	,	,
in	IN	in
what	WDT	what
supporters	NNS	supporter
branded	VBD	brand
a	DT	a
calculated	VBN	calculate
act	NN	act
to	TO	to
disrupt	VB	disrupt
the	DT	the
solidarity	NN	solidarity
movement	NN	movement
.	SENT	.
<p>
Winning	VBG	win
honks	NNS	honk
of	IN	of
support	NN	support
from	IN	from
drivers	NNS	driver
,	,	,
the	DT	the
march	NN	march
grew	VBD	grow
in	IN	in
size	NN	size
and	CC	and
strength	NN	strength
as	IN	as
it	PP	it
wound	VBD	wind
through	IN	through
the	DT	the
Merchant	NP	Merchant
City	NP	City
to	TO	to
the	DT	the
Buchanan	NP	Buchanan
Street	NP	Street
steps	NNS	step
for	IN	for
speeches	NNS	speech
.	SENT	.
<p>
