<h>
Deadly	JJ	deadly
Israeli	JJ	Israeli
shelling	VBG	shell
reported	VBD	report
near	IN	near
Gaza	NP	Gaza
hospital	NN	hospital
<p>
Israeli	NP	Israeli
shelling	VBG	shell
near	IN	near
a	DT	a
southern	JJ	southern
Gaza	NP	Gaza
hospital	NN	hospital
has	VBZ	have
killed	VBN	kill
41	CD	@card@
people	NNS	people
over	IN	over
the	DT	the
past	JJ	past
two	CD	two
days	NNS	day
,	,	,
the	DT	the
Palestinian	NP	Palestinian
Red	NP	Red
Crescent	NP	Crescent
said	VBD	say
,	,	,
after	IN	after
Israel	NP	Israel
stepped	VBD	step
up	RP	up
its	PP$	its
attacks	NNS	attack
in	IN	in
the	DT	the
centre	NN	centre
and	CC	and
south	RB	south
of	IN	of
the	DT	the
besieged	JJ	besieged
territory	NN	territory
.	SENT	.
<p>
Smoke	NN	smoke
billows	NNS	billow
following	VBG	follow
Israeli	JJ	Israeli
strikes	NNS	strike
in	IN	in
the	DT	the
southern	JJ	southern
Lebanese	JJ	Lebanese
village	NN	village
of	IN	of
Majdal	NP	<unknown>
Zoun	NP	<unknown>
near	IN	near
the	DT	the
border	NN	border
on	IN	on
December	NP	December
15	CD	@card@
,	,	,
2023	CD	@card@
,	,	,
amid	IN	amid
ongoing	JJ	ongoing
cross-border	JJ	cross-border
tensions	NNS	tension
as	IN	as
fighting	NN	fighting
continues	VBZ	continue
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
militants	NNS	militant
in	IN	in
Gaza	NP	Gaza
.	SENT	.
Picture	NN	picture
:	:	:
AFP	NP	AFP
<p>
UNDEFINED	JJ	undefined
-	NN	<unknown>
Israeli	JJ	Israeli
shelling	VBG	shell
near	IN	near
a	DT	a
southern	JJ	southern
Gaza	NP	Gaza
hospital	NN	hospital
has	VBZ	have
killed	VBN	kill
41	CD	@card@
people	NNS	people
over	IN	over
the	DT	the
past	JJ	past
two	CD	two
days	NNS	day
,	,	,
the	DT	the
Palestinian	NP	Palestinian
Red	NP	Red
Crescent	NP	Crescent
said	VBD	say
,	,	,
after	IN	after
Israel	NP	Israel
stepped	VBD	step
up	RP	up
its	PP$	its
attacks	NNS	attack
in	IN	in
the	DT	the
centre	NN	centre
and	CC	and
south	RB	south
of	IN	of
the	DT	the
besieged	JJ	besieged
territory	NN	territory
.	SENT	.
<p>
The	DT	the
UN	NP	UN
humanitarian	JJ	humanitarian
office	NN	office
said	VBD	say
Thursday	NP	Thursday
that	IN	that
an	DT	an
estimated	VBN	estimate
100,000	CD	@card@
more	RBR	more
displaced	VBN	displace
people	NNS	people
had	VBD	have
arrived	VBN	arrive
in	IN	in
the	DT	the
already-teeming	JJ	<unknown>
southern	JJ	southern
