<h>
Year	NN	year
after	IN	after
Hamas	JJ	<unknown>
attack	NN	attack
,	,	,
no	DT	no
end	NN	end
to	TO	to
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
wrath	NN	wrath
on	IN	on
Gaza	NP	Gaza
<h>
Hamas	NP	<unknown>
'	POS	'
smaller	JJR	small
ally	NN	ally
Islamic	NP	Islamic
Jihad	NP	Jihad
said	VBD	say
it	PP	it
hit	VBD	hit
Sderot	NP	<unknown>
,	,	,
Nir	NP	Nir
Am	NP	Am
and	CC	and
other	JJ	other
Israeli	JJ	Israeli
towns	NNS	town
near	IN	near
Gaza	NP	Gaza
with	IN	with
rockets	NNS	rocket
.	SENT	.
The	DT	the
Israeli	JJ	Israeli
military	NN	military
said	VBD	say
it	PP	it
intercepted	VBD	intercept
five	CD	five
rockets	NNS	rocket
fired	VBN	fire
from	IN	from
Gaza	NP	Gaza
.	SENT	.
Hamas-led	JJ	<unknown>
militants	NNS	militant
stormed	VBN	storm
through	IN	through
Israeli	JJ	Israeli
towns	NNS	town
and	CC	and
kibbutz	NN	kibbutz
villages	NNS	village
near	IN	near
the	DT	the
border	NN	border
on	IN	on
October	NP	October
7	CD	@card@
,	,	,
2023	CD	@card@
,	,	,
killing	VBG	kill
1,200	CD	@card@
people	NNS	people
and	CC	and
taking	VBG	take
about	RB	about
250	CD	@card@
as	IN	as
hostages	NNS	hostage
,	,	,
according	VBG	accord
to	TO	to
Israeli	JJ	Israeli
tallies	NNS	tally
.	SENT	.
<p>
AgenciesPalestinians	NNS	AgenciesPalestinian
walk	VBP	walk
down	RP	down
a	DT	a
dirt	NN	dirt
road	NN	road
lined	VBN	line
with	IN	with
rubble	NN	rubble
in	IN	in
Gaza	NP	Gaza
'	POS	'
s	JJ	<unknown>
Shujaiya	NP	<unknown>
area	NN	area
<p>
CAIRO/GAZA/BEIRUT	NP	<unknown>
:	:	:
Israel	NP	Israel
stepped	VBD	step
up	RP	up
air	NN	air
and	CC	and
ground	NN	ground
attacks	NNS	attack
on	IN	on
Hamas	NP	<unknown>
in	IN	in
Gaza	NP	Gaza
,	,	,
killing	VBG	kill
at	IN	at
least	JJS	least
52	CD	@card@
people	NNS	people
according	VBG	accord
to	TO	to
Palestinian	JJ	Palestinian
medics	NNS	medic
,	,	,
on	IN	on
the	DT	the
first	JJ	first
anniversary	NN	anniversary
of	IN	of
a	DT	a
war	NN	war
that	WDT	that
has	VBZ	have
left	VBN	leave
most	JJS	most
of	IN	of
the	DT	the
territory	NN	territory
in	IN	in
ruins	NNS	ruin
and	CC	and
shattered	VBD	shatter
the	DT	the
lives	NNS	life
of	IN	of
its	PP$	its
people	NNS	people
.	SENT	.
<p>
For	IN	for
its	PP$	its
part	NN	part
on	IN	on
Monday	NP	Monday
,	,	,
Hamas	NP	<unknown>
said	VBD	say
it	PP	it
struck	VBD	strike
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
commercial	JJ	commercial
capital	NN	capital
Tel	NP	Tel
Aviv	NP	Aviv
with	IN	with
a	DT	a
missile	NN	missile
salvo	NN	salvo
,	,	,
setting	VBG	set
off	RP	off
sirens	NNS	siren
in	IN	in
central	JJ	central
Israel	NP	Israel
.	SENT	.
Two	CD	two
people	NNS	people
were	VBD	be
lightly	RB	lightly
injured	VBN	injure
,	,	,
according	VBG	accord
to	TO	to
the	DT	the
Israeli	JJ	Israeli
ambulance	NN	ambulance
service	NN	service
.	SENT	.
<p>
Hamas	NP	<unknown>
'	POS	'
smaller	JJR	small
ally	NN	ally
Islamic	NP	Islamic
Jihad	NP	Jihad
said	VBD	say
it	PP	it
hit	VBD	hit
Sderot	NP	<unknown>
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
rockets	VBZ	rocket
.	SENT	.
The	DT	the
Israeli	JJ	Israeli
military	NN	military
said	VBD	say
it	PP	it
intercepted	VBD	intercept
five	CD	five
rockets	NNS	rocket
fired	VBN	fire
from	IN	from
Gaza	NP	Gaza
.	SENT	.
Hamas-led	JJ	<unknown>
militants	NNS	militant
stormed	VBN	storm
through	IN	through
Israeli	JJ	Israeli
towns	NNS	town
and	CC	and
kibbutz	NN	kibbutz
villages	NNS	village
near	IN	near
the	DT	the
border	NN	border
on	IN	on
October	NP	October
7	CD	@card@
,	,	,
2023	CD	@card@
,	,	,
killing	VBG	kill
1,200	CD	@card@
people	NNS	people
and	CC	and
taking	VBG	take
about	RB	about
250	CD	@card@
as	IN	as
hostages	NNS	hostage
,	,	,
according	VBG	accord
to	TO	to
Israeli	JJ	Israeli
tallies	NNS	tally
.	SENT	.
<p>
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
subsequent	JJ	subsequent
offensive	NN	offensive
in	IN	in
Gaza	NP	Gaza
has	VBZ	have
killed	VBN	kill
nearly	RB	nearly
42,000	CD	@card@
Palestinians	NPS	Palestinians
,	,	,
displaced	VBD	displace
nearly	RB	nearly
all	PDT	all
its	PP$	its
2.3	CD	@card@
million	CD	million
people	NNS	people
and	CC	and
wrought	VB	wrought
a	DT	a
humanitarian	JJ	humanitarian
crisis	NN	crisis
with	IN	with
hunger	NN	hunger
widespread	JJ	widespread
and	CC	and
healthcare	NN	<unknown>
and	CC	and
critical	JJ	critical
infrastructure	NN	infrastructure
breaking	VBG	break
down	RP	down
.	SENT	.
<p>
On	IN	on
Monday	NP	Monday
,	,	,
Israeli	JJ	Israeli
tanks	NNS	tank
advanced	VBD	advance
into	IN	into
Jabalia	NP	<unknown>
,	,	,
the	DT	the
largest	JJS	large
of	IN	of
Gaza	NP	Gaza
Strip	NP	Strip
'	POS	'
s	JJ	<unknown>
eight	CD	eight
historic	JJ	historic
urban	JJ	urban
refugee	NN	refugee
camps	NNS	camp
,	,	,
after	IN	after
encircling	VBG	encircle
it	PP	it
,	,	,
residents	NNS	resident
said	VBD	say
.	SENT	.
Soon	RB	soon
after	IN	after
the	DT	the
rocket	NN	rocket
volley	NN	volley
,	,	,
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
expanded	JJ	expanded
evacuation	NN	evacuation
orders	NNS	order
in	IN	in
Jabalia	NP	<unknown>
to	TO	to
cover	VB	cover
areas	NNS	area
in	IN	in
the	DT	the
northern	JJ	northern
towns	NNS	town
of	IN	of
Beit	NP	Beit
Hanoun	NP	<unknown>
and	CC	and
Beit	NP	Beit
Lahiya	NP	<unknown>
.	SENT	.
Residents	NNS	resident
said	VBD	say
Israeli	JJ	Israeli
forces	NNS	force
pounded	VBN	pound
Jabalia	NP	<unknown>
from	IN	from
the	DT	the
air	NN	air
and	CC	and
the	DT	the
ground	NN	ground
,	,	,
and	CC	and
medics	NNS	medic
said	VBD	say
several	JJ	several
Palestinians	NNS	Palestinian
had	VBD	have
been	VBN	be
killed	VBN	kill
.	SENT	.
<p>
The	DT	the
Israeli	JJ	Israeli
military	NN	military
said	VBD	say
it	PP	it
killed	VBD	kill
dozens	NNS	dozen
of	IN	of
militants	NNS	militant
and	CC	and
dismantled	VBN	dismantle
military	JJ	military
infrastructure	NN	infrastructure
in	IN	in
Jabalia	NP	<unknown>
.	SENT	.
<p>
Hezbollah	NP	Hezbollah
strikes	NNS	strike
HaifaMeanwhile	NP	HaifaMeanwhile
,	,	,
Hezbollah	NP	Hezbollah
fired	VBD	fire
rockets	NNS	rocket
at	IN	at
Israel	NP	Israel
'	POS	'
s	NNS	<unknown>
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
looked	VBD	look
poised	VBN	poise
to	TO	to
expand	VB	expand
ground	NN	ground
incursions	NNS	incursion
into	IN	into
southern	JJ	southern
Lebanon	NP	Lebanon
.	SENT	.
Iran-backed	NP	<unknown>
Hezbollah	NP	Hezbollah
,	,	,
an	DT	an
ally	NN	ally
of	IN	of
Hamas	NP	<unknown>
,	,	,
said	VBD	say
it	PP	it
targeted	VBD	target
a	DT	a
military	JJ	military
base	NN	base
south	NN	south
of	IN	of
Haifa	NP	Haifa
with	IN	with
'	''	'
Fadi	NP	Fadi
1	CD	@card@
'	POS	'
missiles	NNS	missile
and	CC	and
launched	VBD	launch
another	DT	another
strike	NN	strike
on	IN	on
Tiberias	NP	Tiberias
,	,	,
65	CD	@card@
km	NN	km
away	RB	away
.	SENT	.
<p>
The	DT	the
Lebanese	JJ	Lebanese
group	NN	group
added	VBD	add
that	IN	that
it	PP	it
targeted	VBD	target
areas	NNS	area
north	RB	north
of	IN	of
Haifa	NP	Haifa
with	IN	with
missiles	NNS	missile
in	IN	in
a	DT	a
second	JJ	second
assault	NN	assault
later	RBR	later
on	IN	on
Monday	NP	Monday
.	SENT	.
<p>
The	DT	the
Israeli	JJ	Israeli
military	NN	military
said	VBD	say
the	DT	the
air	NN	air
force	NN	force
was	VBD	be
carrying	VBG	carry
out	RP	out
extensive	JJ	extensive
bombings	NNS	bombing
of	IN	of
Hezbollah	NP	Hezbollah
targets	NNS	target
in	IN	in
south	JJ	south
Lebanon	NP	Lebanon
,	,	,
and	CC	and
that	IN	that
two	CD	two
Israeli	JJ	Israeli
soldiers	NNS	soldier
were	VBD	be
killed	VBN	kill
in	IN	in
border-area	NN	<unknown>
combat	NN	combat
,	,	,
taking	VBG	take
the	DT	the
military	JJ	military
death	NN	death
toll	NN	toll
inside	IN	inside
Lebanon	NP	Lebanon
so	RB	so
far	RB	far
to	TO	to
11	CD	@card@
.	SENT	.
<p>
Lebanon	NP	Lebanon
'	POS	'
s	JJ	<unknown>
health	NN	health
ministry	NN	ministry
said	VBD	say
10	CD	@card@
firefighters	NNS	firefighter
were	VBD	be
killed	VBN	kill
in	IN	in
an	DT	an
Israeli	JJ	Israeli
airstrike	NN	airstrike
on	IN	on
a	DT	a
municipal	JJ	municipal
building	NN	building
in	IN	in
the	DT	the
border-area	NN	<unknown>
town	NN	town
of	IN	of
Bint	NN	bint
Jbeil	NP	<unknown>
,	,	,
and	CC	and
that	IN	that
other	JJ	other
aerial	JJ	aerial
attacks	NNS	attack
on	IN	on
Sunday	NP	Sunday
killed	VBD	kill
22	CD	@card@
people	NNS	people
.	SENT	.
