<h>
Secondary	JJ	secondary
Menu	NN	menu
<h>
UNRWA	NP	<unknown>
ban	NN	ban
would	MD	would
have	VB	have
severe	JJ	severe
humanitarian	JJ	humanitarian
consequences	NNS	consequence
:	:	:
Security	NP	Security
Council	NP	Council
<p>
United	NP	United
Nations	NPS	Nations
,	,	,
October	NP	October
31	CD	@card@
(	(	(
IANS	NPS	Ian
)	)	)
:	:	:
The	DT	the
Security	NP	Security
Council	NP	Council
has	VBZ	have
said	VBN	say
that	IN	that
the	DT	the
UN	NP	UN
Relief	NP	Relief
and	CC	and
Works	NP	Works
Agency	NP	Agency
for	IN	for
Palestine	NP	Palestine
Refugees	NNS	refugee
in	IN	in
the	DT	the
Near	NP	Near
East	NP	East
(	(	(
UNRWA	NP	<unknown>
)	)	)
"	``	"
remains	VBZ	remain
the	DT	the
backbone	NN	backbone
of	IN	of
all	DT	all
humanitarian	JJ	humanitarian
response	NN	response
in	IN	in
Gaza	NP	Gaza
"	''	"
and	CC	and
no	DT	no
organisation	NN	organisation
can	MD	can
replace	VB	replace
its	PP$	its
role	NN	role
,	,	,
warning	VBG	warn
that	IN	that
any	DT	any
interruption	NN	interruption
or	CC	or
suspension	NN	suspension
of	IN	of
its	PP$	its
work	NN	work
would	MD	would
have	VB	have
severe	JJ	severe
humanitarian	JJ	humanitarian
consequences	NNS	consequence
for	IN	for
Palestinian	JJ	Palestinian
refugees	NNS	refugee
and	CC	and
implications	NNS	implication
for	IN	for
the	DT	the
region	NN	region
.	SENT	.
<p>
The	DT	the
Israeli	JJ	Israeli
parliament	NN	parliament
passed	VBN	pass
on	IN	on
Monday	NP	Monday
two	CD	two
legislations	NNS	legislation
to	TO	to
prohibit	VB	prohibit
UNRWA	NP	<unknown>
from	IN	from
operating	VBG	operate
in	IN	in
the	DT	the
country	NN	country
,	,	,
and	CC	and
ban	VB	ban
Israeli	JJ	Israeli
authorities	NNS	authority
from	IN	from
any	DT	any
contact	NN	contact
with	IN	with
the	DT	the
agency	NN	agency
.	SENT	.
<p>
In	IN	in
a	DT	a
press	NN	press
statement	NN	statement
on	IN	on
Wednesday	NP	Wednesday
,	,	,
the	DT	the
members	NNS	member
of	IN	of
the	DT	the
Security	NP	Security
Council	NP	Council
emphasised	VBD	emphasise
the	DT	the
vital	JJ	vital
role	NN	role
of	IN	of
UNRWA	NP	<unknown>
in	IN	in
providing	VBG	provide
life-saving	JJ	life-saving
humanitarian	JJ	humanitarian
assistance	NN	assistance
to	TO	to
Palestinian	JJ	Palestinian
refugees	NNS	refugee
through	IN	through
essential	JJ	essential
education	NN	education
,	,	,
health	NN	health
,	,	,
relief	NN	relief
and	CC	and
social	JJ	social
services	NNS	service
programmes	NNS	programme
and	CC	and
emergency	NN	emergency
assistance	NN	assistance
in	IN	in
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territory	NN	territory
,	,	,
Jordan	NP	Jordan
,	,	,
Lebanon	NP	Lebanon
and	CC	and
Syria	NP	Syria
.	SENT	.
<p>
They	PP	they
underscored	VBD	underscore
that	IN	that
UNRWA	NP	<unknown>
"	``	"
remains	VBZ	remain
the	DT	the
backbone	NN	backbone
of	IN	of
all	DT	all
humanitarian	JJ	humanitarian
response	NN	response
in	IN	in
Gaza	NP	Gaza
"	''	"
,	,	,
and	CC	and
affirmed	VBD	affirm
that	IN	that
no	DT	no
organisation	NN	organisation
can	MD	can
replace	VB	replace
or	CC	or
substitute	VB	substitute
its	PP$	its
capacity	NN	capacity
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
need	NN	need
of	IN	of
life-saving	JJ	life-saving
humanitarian	JJ	humanitarian
assistance	NN	assistance
,	,	,
Xinhua	NP	Xinhua
news	NN	news
agency	NN	agency
reported	VBD	report
.	SENT	.
<p>
The	DT	the
council	NN	council
members	NNS	member
strongly	RB	strongly
warned	VBD	warn
against	IN	against
any	DT	any
attempts	NNS	attempt
to	TO	to
dismantle	VB	dismantle
or	CC	or
diminish	VB	diminish
UNRWA	NP	<unknown>
'	POS	'
s	NN	S
operations	NNS	operation
and	CC	and
mandate	NN	mandate
,	,	,
recognizing	VBG	recognize
that	IN	that
any	DT	any
interruption	NN	interruption
or	CC	or
suspension	NN	suspension
of	IN	of
its	PP$	its
work	NN	work
would	MD	would
have	VB	have
severe	JJ	severe
humanitarian	JJ	humanitarian
consequences	NNS	consequence
for	IN	for
millions	NNS	million
of	IN	of
Palestinian	JJ	Palestinian
refugees	NNS	refugee
and	CC	and
also	RB	also
implications	NNS	implication
for	IN	for
the	DT	the
region	NN	region
.	SENT	.
<p>
The	DT	the
council	NN	council
members	NNS	member
expressed	VBD	express
their	PP$	their
grave	JJ	grave
concern	NN	concern
over	IN	over
the	DT	the
legislations	NNS	legislation
adopted	VBN	adopt
by	IN	by
the	DT	the
Israeli	JJ	Israeli
parliament	NN	parliament
,	,	,
and	CC	and
urged	VBD	urge
the	DT	the
Israeli	JJ	Israeli
government	NN	government
to	TO	to
abide	VB	abide
by	IN	by
its	PP$	its
international	JJ	international
obligations	NNS	obligation
,	,	,
respect	VB	respect
the	DT	the
privileges	NNS	privilege
and	CC	and
immunities	NNS	immunity
of	IN	of
UNRWA	NP	<unknown>
and	CC	and
live	VB	live
up	RP	up
to	TO	to
its	PP$	its
responsibility	NN	responsibility
to	TO	to
allow	VB	allow
and	CC	and
facilitate	VB	facilitate
full	JJ	full
,	,	,
rapid	JJ	rapid
,	,	,
safe	JJ	safe
and	CC	and
unhindered	JJ	unhindered
humanitarian	JJ	humanitarian
assistance	NN	assistance
in	IN	in
all	PDT	all
its	PP$	its
forms	NNS	form
into	IN	into
and	CC	and
throughout	IN	throughout
the	DT	the
entire	JJ	entire
Gaza	NP	Gaza
Strip	NP	Strip
.	SENT	.
<p>
They	PP	they
demanded	VBD	demand
all	DT	all
parties	NNS	party
to	TO	to
enable	VB	enable
UNRWA	NP	<unknown>
to	TO	to
carry	VB	carry
out	RP	out
its	PP$	its
mandate	NN	mandate
in	IN	in
all	DT	all
areas	NNS	area
of	IN	of
operation	NN	operation
,	,	,
with	IN	with
full	JJ	full
respect	NN	respect
for	IN	for
the	DT	the
humanitarian	JJ	humanitarian
principles	NNS	principle
of	IN	of
humanity	NN	humanity
,	,	,
neutrality	NN	neutrality
,	,	,
impartiality	NN	impartiality
and	CC	and
independence	NN	independence
,	,	,
and	CC	and
to	TO	to
respect	VB	respect
international	JJ	international
humanitarian	JJ	humanitarian
law	NN	law
including	VBG	include
the	DT	the
protection	NN	protection
of	IN	of
UN	NP	UN
and	CC	and
humanitarian	JJ	humanitarian
facilities	NNS	facility
.	SENT	.
<p>
The	DT	the
council	NN	council
members	NNS	member
called	VBN	call
upon	IN	upon
all	DT	all
parties	NNS	party
to	TO	to
take	VB	take
necessary	JJ	necessary
steps	NNS	step
to	TO	to
allow	VB	allow
and	CC	and
facilitate	VB	facilitate
humanitarian	NN	humanitarian
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
humanitarian	JJ	humanitarian
law	NN	law
.	SENT	.
<h>
Weekly	NP	Weekly
Poll	NP	Poll
Question	NP	Question
<h>
Connect	VBP	connect
with	IN	with
us	PP	us
<h>
Intro	NN	intro
footer	NN	footer
<p>
The	DT	the
Morung	NP	<unknown>
Express	NP	Express
<p>
The	DT	the
Morung	NP	<unknown>
Express	NP	Express
is	VBZ	be
a	DT	a
people-oriented	JJ	people-oriented
alternative	NN	alternative
newspaper	NN	newspaper
based	VBN	base
in	IN	in
Nagaland	NP	Nagaland
that	WDT	that
was	VBD	be
conceived	VBN	conceive
from	IN	from
the	DT	the
Naga	NP	Naga
people	NNS	people
'	POS	'
s	JJ	<unknown>
historical	JJ	historical
realities	NNS	reality
and	CC	and
is	VBZ	be
guided	VBN	guide
by	IN	by
their	PP$	their
voices	NNS	voice
and	CC	and
experiences	NNS	experience
.	SENT	.
It	PP	it
emerged	VBD	emerge
from	IN	from
the	DT	the
well-recognized	JJ	well-recognized
concept	NN	concept
that	IN	that
the	DT	the
core	NN	core
of	IN	of
a	DT	a
free	JJ	free
press	NN	press
is	VBZ	be
based	VBN	base
on	IN	on
"	``	"
qualitative	JJ	qualitative
and	CC	and
investigative	JJ	investigative
"	''	"
journalism	NN	journalism
.	SENT	.
Ensuring	VBG	ensure
this	DT	this
is	VBZ	be
essential	JJ	essential
for	IN	for
contributing	VBG	contribute
to	TO	to
an	DT	an
informed	JJ	informed
Naga	NP	Naga
public	NN	public
that	WDT	that
makes	VBZ	make
sound	JJ	sound
decisions	NNS	decision
on	IN	on
issues	NNS	issue
that	WDT	that
affect	VBP	affect
all	DT	all
spheres	NNS	sphere
of	IN	of
life	NN	life
.	SENT	.
