<h>
Middle	NP	Middle
East	NP	East
conflict	NN	conflict
:	:	:
Hamas	RB	<unknown>
likely	JJ	likely
to	TO	to
release	VB	release
33	CD	@card@
hostages	NNS	hostage
during	IN	during
first	JJ	first
phase	NN	phase
of	IN	of
emerging	VBG	emerge
ceasefire	NN	ceasefire
deal	NN	deal
with	IN	with
Israel	NP	Israel
<p>
Hamas	NP	<unknown>
is	VBZ	be
likely	JJ	likely
to	TO	to
release	VB	release
33	CD	@card@
hostages	NNS	hostage
during	IN	during
the	DT	the
first	JJ	first
phase	NN	phase
of	IN	of
the	DT	the
emerging	VBG	emerge
ceasefire	NN	ceasefire
agreement	NN	agreement
between	IN	between
Israel	NP	Israel
and	CC	and
Palestine	NP	Palestine
that	WDT	that
is	VBZ	be
being	VBG	be
finalised	VBN	finalise
by	IN	by
negotiators	NNS	negotiator
in	IN	in
Qatar	NP	Qatar
,	,	,
media	NN	media
reports	NNS	report
said	VBD	say
,	,	,
a	DT	a
move	NN	move
that	WDT	that
may	MD	may
halt	VB	halt
the	DT	the
ongoing	JJ	ongoing
violence	NN	violence
in	IN	in
the	DT	the
region	NN	region
for	IN	for
the	DT	the
past	JJ	past
15	CD	@card@
months	NNS	month
.	SENT	.
<p>
Hamas	NP	<unknown>
reportedly	RB	reportedly
holds	VBZ	hold
94	CD	@card@
hostages	NNS	hostage
out	RB	out
of	IN	of
the	DT	the
251	CD	@card@
people	NNS	people
it	PP	it
had	VBD	have
taken	VBN	take
from	IN	from
Israel	NP	Israel
during	IN	during
its	PP$	its
October	NP	October
7	CD	@card@
,	,	,
2023	CD	@card@
attacks	NNS	attack
.	SENT	.
<p>
Israel	NP	Israel
believes	VBZ	believe
that	IN	that
most	JJS	most
of	IN	of
the	DT	the
33	CD	@card@
hostages	NNS	hostage
to	TO	to
be	VB	be
released	VBN	release
in	IN	in
the	DT	the
first	JJ	first
phase	NN	phase
of	IN	of
the	DT	the
deal	NN	deal
are	VBP	be
alive	JJ	alive
,	,	,
a	DT	a
