<p>
At	IN	at
least	JJS	least
eight	CD	eight
Palestinians	NNS	Palestinian
have	VBP	have
been	VBN	be
killed	VBN	kill
and	CC	and
35	CD	@card@
injured	VBN	injure
by	IN	by
Israeli	JJ	Israeli
security	NN	security
forces	NNS	force
during	IN	during
a	DT	a
major	JJ	major
operation	NN	operation
in	IN	in
Jenin	NP	<unknown>
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
,	,	,
the	DT	the
Palestinian	JJ	Palestinian
health	NN	health
ministry	NN	ministry
says	VBZ	say
.	SENT	.
<p>
Israel	NP	Israel
'	POS	'
s	NN	S
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
said	VBD	say
the	DT	the
military	NN	military
,	,	,
police	NN	police
and	CC	and
Shin	NP	Shin
Bet	NP	Bet
security	NN	security
service	NN	service
had	VBD	have
launched	VBN	launch
an	DT	an
"	``	"
extensive	JJ	extensive
and	CC	and
significant	JJ	significant
"	''	"
operation	NN	operation
to	TO	to
"	``	"
defeat	VB	defeat
terrorism	NN	terrorism
"	''	"
in	IN	in
Jenin	NP	<unknown>
,	,	,
which	WDT	which
is	VBZ	be
seen	VBN	see
as	IN	as
a	DT	a
stronghold	NN	stronghold
of	IN	of
Palestinian	JJ	Palestinian
armed	JJ	armed
groups	NNS	group
.	SENT	.
<p>
Palestinian	JJ	Palestinian
media	NNS	medium
said	VBD	say
Israeli	JJ	Israeli
forces	NNS	force
moved	VBN	move
into	IN	into
Jenin	NP	<unknown>
and	CC	and
its	PP$	its
refugee	NN	refugee
camp	NN	camp
following	VBG	follow
several	JJ	several
drone	NN	drone
strikes	NNS	strike
.	SENT	.
<p>
It	PP	it
comes	VBZ	come
just	RB	just
three	CD	three
days	NNS	day
after	IN	after
the	DT	the
start	NN	start
of	IN	of
a	DT	a
ceasefire	NN	ceasefire
between	IN	between
Hamas	NP	<unknown>
and	CC	and
Israel	NP	Israel
in	IN	in
Gaza	NP	Gaza
and	CC	and
highlights	VBZ	highlight
the	DT	the
threat	NN	threat
of	IN	of
more	JJR	more
violence	NN	violence
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
.	SENT	.
<p>
A	DT	a
statement	NN	statement
from	IN	from
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
prime	JJ	prime
minister	NN	minister
said	VBD	say
the	DT	the
operation	NN	operation
,	,	,
dubbed	VBN	dub
"	``	"
Iron	NP	Iron
Wall	NP	Wall
"	''	"
,	,	,
was	VBD	be
an	DT	an
"	``	"
additional	JJ	additional
step	NN	step
in	IN	in
achieving	VBG	achieve
the	DT	the
objective	NN	objective
we	PP	we
have	VBP	have
set	VBN	set
:	:	:
bolstering	VBG	bolster
security	NN	security
"	''	"
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
.	SENT	.
<p>
"	``	"
We	PP	we
are	VBP	be
acting	VBG	act
methodically	RB	methodically
and	CC	and
with	IN	with
determination	NN	determination
against	IN	against
the	DT	the
Iranian	JJ	Iranian
axis	NN	axis
wherever	WRB	wherever
it	PP	it
reaches	VBZ	reach
:	:	:
in	IN	in
Gaza	NP	Gaza
,	,	,
Lebanon	NP	Lebanon
,	,	,
Syria	NP	Syria
,	,	,
Yemen	NP	Yemen
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
active	JJ	active
,	,	,
"	''	"
he	PP	he
added	VBD	add
.	SENT	.
<p>
Israel	NP	Israel
accuses	VBZ	accuse
Iran	NP	Iran
of	IN	of
smuggling	VBG	smuggle
weapons	NNS	weapon
and	CC	and
funds	NNS	fund
to	TO	to
Hamas	NP	<unknown>
,	,	,
PIJ	NP	PIJ
and	CC	and
other	JJ	other
armed	JJ	armed
groups	NNS	group
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
to	TO	to
foment	VB	foment
unrest	NN	unrest
.	SENT	.
<p>
Israeli	JJ	Israeli
media	NNS	medium
cited	VBD	cite
a	DT	a
military	JJ	military
source	NN	source
as	IN	as
saying	VBG	say
that	IN	that
the	DT	the
goals	NNS	goal
of	IN	of
the	DT	the
operation	NN	operation
were	VBD	be
to	TO	to
preserve	VB	preserve
its	PP$	its
"	``	"
freedom	NN	freedom
of	IN	of
action	NN	action
"	''	"
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
