<h>
Main	JJ	main
navigation	NN	navigation
<h>
Breadcrumb	NN	breadcrumb
<h>
ICC	NP	ICC
speak	VBP	speak
out	RP	out
against	IN	against
Trump	NP	Trump
sanctions	VBZ	sanction
<p>
The	DT	the
International	NP	International
Criminal	NP	Criminal
Court	NP	Court
has	VBZ	have
issued	VBN	issue
a	DT	a
stern	JJ	stern
rebuke	NN	rebuke
after	IN	after
its	PP$	its
officials	NNS	official
had	VBD	have
sanctions	NNS	sanction
imposed	VBN	impose
on	IN	on
them	PP	them
by	IN	by
newly	RB	newly
elected	VBN	elect
US	NP	US
President	NP	President
Donald	NP	Donald
Trump	NP	Trump
for	IN	for
having	VBG	have
issued	VBN	issue
an	DT	an
arrest	NN	arrest
warrant	NN	warrant
for	IN	for
Israel	NP	Israel
'	POS	'
s	NN	S
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
and	CC	and
former	JJ	former
Israeli	JJ	Israeli
Defence	NN	defence
Minister	NP	Minister
Yoav	NP	<unknown>
Gallant	NN	gallant
.	SENT	.
<p>
Feb	NN	Feb
7	CD	@card@
,	,	,
2025	CD	@card@
<p>
The	DT	the
International	NP	International
Criminal	NP	Criminal
Court	NP	Court
has	VBZ	have
issued	VBN	issue
a	DT	a
stern	JJ	stern
rebuke	NN	rebuke
after	IN	after
its	PP$	its
officials	NNS	official
had	VBD	have
sanctions	NNS	sanction
imposed	VBN	impose
on	IN	on
them	PP	them
by	IN	by
newly	RB	newly
elected	VBN	elect
US	NP	US
President	NP	President
Donald	NP	Donald
Trump	NP	Trump
for	IN	for
having	VBG	have
issued	VBN	issue
an	DT	an
arrest	NN	arrest
warrant	NN	warrant
for	IN	for
Israel	NP	Israel
'	POS	'
s	NN	S
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
and	CC	and
former	JJ	former
Israeli	JJ	Israeli
Defence	NN	defence
Minister	NP	Minister
Yoav	NP	<unknown>
Gallant	NN	gallant
.	SENT	.
<p>
The	DT	the
International	NP	International
Criminal	NP	Criminal
Court	NP	Court
has	VBZ	have
issued	VBN	issue
a	DT	a
stern	JJ	stern
rebuke	NN	rebuke
after	IN	after
its	PP$	its
officials	NNS	official
had	VBD	have
sanctions	NNS	sanction
imposed	VBN	impose
on	IN	on
them	PP	them
by	IN	by
newly	RB	newly
elected	VBN	elect
US	NP	US
President	NP	President
Donald	NP	Donald
Trump	NP	Trump
for	IN	for
having	VBG	have
issued	VBN	issue
an	DT	an
arrest	NN	arrest
warrant	NN	warrant
for	IN	for
Israel	NP	Israel
'	POS	'
s	NN	S
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
and	CC	and
former	JJ	former
Israeli	JJ	Israeli
Defence	NN	defence
Minister	NP	Minister
Yoav	NP	<unknown>
Gallant	NN	gallant
.	SENT	.
<p>
The	DT	the
arrest	NN	arrest
warrant	NN	warrant
by	IN	by
the	DT	the
court	NN	court
follows	VBZ	follow
a	DT	a
ruling	NN	ruling
in	IN	in
which	WDT	which
judges	NNS	judge
deemed	VBD	deem
there	RB	there
to	TO	to
be	VB	be
"	``	"
reasonable	JJ	reasonable
grounds	NNS	ground
"	''	"
to	TO	to
indicate	VB	indicate
that	IN	that
Netanyahu	NP	<unknown>
and	CC	and
Gallant	JJ	gallant
bear	NN	bear
"	''	"
criminal	JJ	criminal
responsibility	NN	responsibility
for	IN	for
