<p>
Los	NP	Los
Angeles	NP	Angeles
:	:	:
The	DT	the
Oscars	NNS	Oscar
award	NN	award
for	IN	for
Best	JJS	good
Documentary	NN	documentary
this	DT	this
year	NN	year
went	VBD	go
to	TO	to
'	''	'
No	DT	no
Other	JJ	other
Land	NP	Land
'	POS	'
,	,	,
a	DT	a
documentary	NN	documentary
that	WDT	that
shows	VBZ	show
the	DT	the
displacement	NN	displacement
of	IN	of
Palestinians	NPS	Palestinians
from	IN	from
the	DT	the
Israel-occupied	NP	<unknown>
West	NP	West
Bank	NP	Bank
.	SENT	.
It	PP	it
was	VBD	be
made	VBN	make
by	IN	by
a	DT	a
Palestinian-Israeli	NP	Palestinian-Israeli
collective	NN	collective
,	,	,
highlighting	VBG	highlight
the	DT	the
forced	VBN	force
displacement	NN	displacement
of	IN	of
Palestinians	NPS	Palestinians
in	IN	in
Masafer	NP	Masafer
Yatta	NP	<unknown>
.	SENT	.
It	PP	it
defeated	VBD	defeat
several	JJ	several
top	JJ	top
contenders	NNS	contender
like	IN	like
Black	NP	Black
Box	NP	Box
Diaries	NNS	diary
,	,	,
Porcelain	NN	porcelain
War	NN	war
,	,	,
and	CC	and
Sugarcane	NP	<unknown>
.	SENT	.
<p>
During	IN	during
the	DT	the
acceptance	NN	acceptance
speech	NN	speech
,	,	,
Co-director	NN	co-director
Basel	NP	Basel
Adra	NP	Adra
emphasised	VBD	emphasise
on	IN	on
the	DT	the
"	``	"
harsh	JJ	harsh
reality	NN	reality
"	''	"
of	IN	of
the	DT	the
region	NN	region
,	,	,
and	CC	and
called	VBD	call
on	IN	on
the	DT	the
world	NN	world
to	TO	to
stop	VB	stop
the	DT	the
"	``	"
ethnic	JJ	ethnic
cleansing	NN	cleansing
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
"	''	"
.	SENT	.
<p>
"	''	"
Speaking	VBG	speak
on	IN	on
behalf	NN	behalf
of	IN	of
my	PP$	my
fellow	JJ	fellow
Palestinians	NPS	Palestinians
,	,	,
this	DT	this
film	NN	film
reflects	VBZ	reflect
the	DT	the
harsh	JJ	harsh
reality	NN	reality
we	PP	we
'	POS	'
ve	NN	ve
endured	VBD	endure
for	IN	for
many	JJ	many
years	NNS	year
,	,	,
"	''	"
Adra	NP	Adra
said	VBD	say
,	,	,
adding	VBG	add
"	``	"
We	PP	we
call	VBP	call
on	IN	on
the	DT	the
world	NN	world
to	TO	to
take	VB	take
serious	JJ	serious
action	NN	action
to	TO	to
stop	VB	stop
the	DT	the
injustice	NN	injustice
and	CC	and
ethnic	JJ	ethnic
cleansing	NN	cleansing
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
.	SENT	.
"	``	"
His	PP$	his
speech	NN	speech
,	,	,
and	CC	and
this	DT	this
part	NN	part
of	IN	of
it	PP	it
especially	RB	especially
,	,	,
has	VBZ	have
gone	VBN	go
viral	JJ	viral
on	IN	on
social	JJ	social
media	NNS	medium
.	SENT	.
<p>
"	``	"
There	EX	there
is	VBZ	be
a	DT	a
different	JJ	different
path	NN	path
.	SENT	.
A	DT	a
political	JJ	political
solution	NN	solution
.	SENT	.
Without	IN	without
ethnic	JJ	ethnic
supremacy	NN	supremacy
,	,	,
with	IN	with
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Yuval	NP	Yuval
Abraham	NP	Abraham
,	,	,
the	DT	the
other	JJ	other
co-director	NN	co-director
.	SENT	.
<p>
The	DT	the
documentary	NN	documentary
,	,	,
made	VBN	make
between	IN	between
2019	CD	@card@
and	CC	and
2023	CD	@card@
,	,	,
reflects	VBZ	reflect
fear	NN	fear
and	CC	and
violence	NN	violence
,	,	,
something	NN	something
that	IN	that
Adra	NP	Adra
said	VBD	say
he	PP	he
does	VBZ	do
want	VB	want
his	PP$	his
daughter	NN	daughter
to	TO	to
witness	NN	witness
.	SENT	.
<h>
How	WRB	how
Netizens	NP	<unknown>
Reacted	VBD	react
to	TO	to
Adra	NP	Adra
'	POS	'
s	JJ	<unknown>
Speech	NN	speech
<p>
Internet	NN	Internet
spoke	VBD	speak
both	DT	both
sides	NNS	side
while	IN	while
reacting	VBG	react
to	TO	to
Adra	NP	Adra
'	POS	'
s	NN	S
speech	NN	speech
.	SENT	.
However	RB	however
,	,	,
there	EX	there
was	VBD	be
an	DT	an
atmosphere	NN	atmosphere
of	IN	of
praise	NN	praise
for	IN	for
the	DT	the
director	NN	director
for	IN	for
taking	VBG	take
a	DT	a
stance	NN	stance
on	IN	on
such	PDT	such
a	DT	a
global	JJ	global
stage	NN	stage
.	SENT	.
