<p>
Following	VBG	follow
major	JJ	major
backlash	NN	backlash
by	IN	by
students	NNS	student
,	,	,
the	DT	the
University	NP	University
of	IN	of
Sydney	NP	Sydney
has	VBZ	have
apologised	VBN	apologise
for	IN	for
allegedly	RB	allegedly
telling	VBG	tell
an	DT	an
international	JJ	international
transgender	NN	transgender
student	NN	student
,	,	,
who	WP	who
is	VBZ	be
from	IN	from
Malaysia	NP	Malaysia
,	,	,
that	WDT	that
she	PP	she
could	MD	could
be	VB	be
suspended	VBN	suspend
for	IN	for
leaving	VBG	leave
accusatory	JJ	accusatory
statements	NNS	statement
about	IN	about
the	DT	the
university	NN	university
'	POS	'
s	JJ	<unknown>
alleged	JJ	alleged
involvement	NN	involvement
in	IN	in
the	DT	the
genocide	NN	genocide
in	IN	in
Gaza	NP	Gaza
,	,	,
on	IN	on
campus	NN	campus
whiteboards	NNS	whiteboard
.	SENT	.
<p>
According	VBG	accord
to	TO	to
a	DT	a
report	NN	report
by	IN	by
The	DT	the
Guardian	NP	Guardian
,	,	,
the	DT	the
university	NN	university
claimed	VBD	claim
that	IN	that
the	DT	the
threat	NN	threat
of	IN	of
suspension	NN	suspension
,	,	,
which	WDT	which
was	VBD	be
included	VBN	include
in	IN	in
a	DT	a
misconduct	NN	misconduct
notice	NN	notice
,	,	,
was	VBD	be
a	DT	a
result	NN	result
of	IN	of
an	DT	an
'	''	'
administrative	JJ	administrative
error	NN	error
'	POS	'
.	SENT	.
The	DT	the
misconduct	NN	misconduct
proceedings	NNS	proceeding
,	,	,
though	RB	though
,	,	,
are	VBP	be
still	RB	still
ongoing	JJ	ongoing
.	SENT	.
<p>
This	DT	this
comes	VBZ	come
after	IN	after
the	DT	the
student	NN	student
,	,	,
known	VBN	know
simply	RB	simply
as	IN	as
Luna	NP	Luna
,	,	,
had	VBD	have
allegedly	RB	allegedly
written	VBN	write
statements	NNS	statement
with	IN	with
a	DT	a
green	JJ	green
marker	NN	marker
on	IN	on
whiteboards	NNS	whiteboard
around	IN	around
the	DT	the
university	NN	university
.	SENT	.
<p>
Among	IN	among
the	DT	the
messages	NNS	message
were	VBD	be
,	,	,
"	''	"
From	IN	from
the	DT	the
river	NN	river
to	TO	to
the	DT	the
sea	NN	sea
,	,	,
Palestine	NP	Palestine
will	MD	will
be	VB	be
free	JJ	free
"	''	"
,	,	,
as	RB	as
well	RB	well
as	IN	as
accusations	NNS	accusation
that	IN	that
the	DT	the
university	NN	university
is	VBZ	be
involved	VBN	involve
in	IN	in
weapons	NNS	weapon
manufacturing	NN	manufacturing
and	CC	and
"	``	"
supported	VBN	support
genocide	NN	genocide
in	IN	in
Gaza	NP	Gaza
"	''	"
.	SENT	.
She	PP	she
also	RB	also
apparently	RB	apparently
included	VBN	include
statistics	NNS	statistic
on	IN	on
the	DT	the
death	NN	death
toll	NN	toll
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
"	``	"
The	DT	the
green	JJ	green
marker	NN	marker
that	IN	that
you	PP	you
used	VBD	use
above	IN	above
was	VBD	be
not	RB	not
a	DT	a
whiteboard	NN	whiteboard
marker	NN	marker
,	,	,
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
whiteboards	NNS	whiteboard
,	,	,
"	''	"
the	DT	the
University	NP	University
'	POS	'
s	JJ	<unknown>
Office	NN	office
of	IN	of
the	DT	the
Academic	NP	Academic
Registrar	NP	Registrar
wrote	VBD	write
in	IN	in
their	PP$	their
misconduct	NN	misconduct
notice	NN	notice
.	SENT	.
<p>
She	PP	she
was	VBD	be
given	VBN	give
until	IN	until
February	NP	February
14	CD	@card@
(	(	(
Friday	NP	Friday
)	)	)
to	TO	to
respond	VB	respond
or	CC	or
face	VB	face
a	DT	a
preliminary	JJ	preliminary
meeting	NN	meeting
.	SENT	.
Should	MD	should
she	PP	she
admit	VB	admit
to	TO	to
the	DT	the
misconduct	NN	misconduct
,	,	,
she	PP	she
would	MD	would
potentially	RB	potentially
face	VB	face
"	``	"
exclusion	NN	exclusion
"	''	"
or	CC	or
a	DT	a
"	``	"
suspension	NN	suspension
"	''	"
from	IN	from
the	DT	the
university	NN	university
or	CC	or
a	DT	a
reprimand	NN	reprimand
.	SENT	.
<h>
The	DT	the
student	NN	student
'	POS	'
s	JJ	<unknown>
response	NN	response
<p>
Considering	VBG	consider
the	DT	the
risk	NN	risk
of	IN	of
deportation	NN	deportation
out	RP	out
of	IN	of
Australia	NP	Australia
due	JJ	due
to	TO	to
the	DT	the
potential	JJ	potential
suspension	NN	suspension
,	,	,
the	DT	the
student	NN	student
requested	VBD	request
an	DT	an
extension	NN	extension
to	TO	to
March	NP	March
21	CD	@card@
(	(	(
Friday	NP	Friday
)	)	)
so	RB	so
that	IN	that
she	PP	she
can	MD	can
obtain	VB	obtain
a	DT	a
bridging	VBG	bridge
visa	NN	visa
,	,	,
which	WDT	which
will	MD	will
allow	VB	allow
her	PP	her
to	TO	to
stay	VB	stay
in	IN	in
Australia	NP	Australia
lawfully	RB	lawfully
while	IN	while
the	DT	the
issue	NN	issue
is	VBZ	be
resolved	VBN	resolve
.	SENT	.
<p>
"	''	"
If	IN	if
the	DT	the
student	NN	student
affairs	NNS	affair
unit	NN	unit
suspends	VBZ	suspend
my	PP$	my
studies	NNS	study
,	,	,
I	PP	I
will	MD	will
be	VB	be
at	IN	at
immediate	JJ	immediate
risk	NN	risk
of	IN	of
deportation	NN	deportation
from	IN	from
Australia	NP	Australia
.	SENT	.
As	IN	as
a	DT	a
transgender	NN	transgender
woman	NN	woman
,	,	,
I	PP	I
have	VBP	have
been	VBN	be
denied	VBN	deny
access	NN	access
to	TO	to
gender-affirming	JJ	<unknown>
care	NN	care
,	,	,
including	VBG	include
hormone	NN	hormone
replacement	NN	replacement
therapy	NN	therapy
in	IN	in
Malaysia	NP	Malaysia
and	CC	and
can	MD	can
only	RB	only
access	VB	access
essential	JJ	essential
health	NN	health
care	NN	care
in	IN	in
Australia	NP	Australia
,	,	,
"	''	"
she	PP	she
explained	VBD	explain
.	SENT	.
<p>
Luna	NP	Luna
stated	VBD	state
that	IN	that
she	PP	she
was	VBD	be
"	``	"
under	IN	under
extreme	JJ	extreme
duress	NN	duress
"	''	"
and	CC	and
was	VBD	be
seeking	VBG	seek
asylum	NN	asylum
"	``	"
due	RB	due
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Malaysia	NN	Malaysia
"	''	"
.	SENT	.
With	IN	with
the	DT	the
security	NN	security
of	IN	of
a	DT	a
bridging	VBG	bridge
visa	NN	visa
,	,	,
she	PP	she
would	MD	would
be	VB	be
"	``	"
able	JJ	able
to	TO	to
assess	VB	assess
this	DT	this
matter	NN	matter
in	IN	in
a	DT	a
clear-headed	JJ	clear-headed
fashion	NN	fashion
,	,	,
without	IN	without
worrying	VBG	worry
about	IN	about
being	VBG	be
deported	VBN	deport
to	TO	to
danger	NN	danger
"	''	"
.	SENT	.
<p>
The	DT	the
university	NN	university
apologised	VBD	apologise
<p>
The	DT	the
university	NN	university
later	RBR	later
issued	VBD	issue
a	DT	a
statement	NN	statement
acknowledging	VBG	acknowledge
the	DT	the
student	NN	student
'	POS	'
s	NN	S
concerns	NNS	concern
and	CC	and
apologised	VBN	apologise
for	IN	for
the	DT	the
"	``	"
administrative	JJ	administrative
error	NN	error
relating	VBG	relate
to	TO	to
the	DT	the
likely	JJ	likely
penalties	NNS	penalty
that	WDT	that
would	MD	would
be	VB	be
imposed	VBN	impose
"	''	"
.	SENT	.
<p>
"	''	"
The	DT	the
error	NN	error
is	VBZ	be
being	VBG	be
rectified	VBN	rectify
,	,	,
and	CC	and
the	DT	the
student	NN	student
will	MD	will
be	VB	be
