<p>
Ramallah	NP	Ramallah
,	,	,
March	NP	March
25	CD	@card@
:	:	:
Kaja	NP	Kaja
Kallas	NP	Kallas
,	,	,
the	DT	the
European	NP	European
Union	NP	Union
'	POS	'
s	NN	S
(	(	(
EU	NP	EU
)	)	)
high	JJ	high
representative	NN	representative
for	IN	for
foreign	JJ	foreign
affairs	NNS	affair
and	CC	and
security	NN	security
policy	NN	policy
,	,	,
said	VBD	say
that	IN	that
the	DT	the
EU	NP	EU
supports	VBZ	support
the	DT	the
Gaza	NP	Gaza
reconstruction	NN	reconstruction
plan	NN	plan
approved	VBN	approve
by	IN	by
an	DT	an
emergency	NN	emergency
Arab	JJ	Arab
summit	NN	summit
earlier	RBR	earlier
this	DT	this
month	NN	month
.	SENT	.
<p>
During	IN	during
a	DT	a
press	NN	press
conference	NN	conference
after	IN	after
her	PP$	her
meeting	NN	meeting
with	IN	with
Palestinian	NP	Palestinian
Prime	NP	Prime
Minister	NP	Minister
Mohammad	NP	Mohammad
Mustafa	NP	Mustafa
,	,	,
Kallas	NP	Kallas
said	VBD	say
that	IN	that
she	PP	she
"	``	"
discussed	VBN	discuss
with	IN	with
the	DT	the
prime	JJ	prime
minister	NN	minister
the	DT	the
Arab	JJ	Arab
plan	NN	plan
for	IN	for
Gaza	NP	Gaza
,	,	,
which	WDT	which
the	DT	the
EU	NP	EU
strongly	RB	strongly
supports	VBZ	support
,	,	,
"	''	"
and	CC	and
that	IN	that
the	DT	the
EU	NP	EU
"	``	"
will	MD	will
have	VB	have
a	DT	a
role	NN	role
in	IN	in
the	DT	the
reconstruction	NN	reconstruction
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
.	SENT	.
"	``	"
<p>
The	DT	the
EU	NP	EU
believes	VBZ	believe
that	IN	that
"	``	"
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
should	MD	should
govern	VB	govern
Gaza	NP	Gaza
,	,	,
"	''	"
and	CC	and
will	MD	will
"	``	"
provide	VB	provide
support	VB	support
to	TO	to
the	DT	the
Palestinian	JJ	Palestinian
government	NN	government
to	TO	to
assist	VB	assist
it	PP	it
in	IN	in
assuming	VBG	assume
its	PP$	its
duties	NNS	duty
in	IN	in
the	DT	the
Strip	NP	Strip
,	,	,
"	''	"
Kallas	NP	Kallas
said	VBD	say
.	SENT	.
<p>
"	``	"
The	DT	the
EU	NP	EU
'	POS	'
s	JJ	<unknown>
relationship	NN	relationship
with	IN	with
Palestine	NP	Palestine
is	VBZ	be
growing	VBG	grow
stronger	JJR	strong
,	,	,
and	CC	and
in	IN	in
less	JJR	less
than	IN	than
a	DT	a
month	NN	month
,	,	,
a	DT	a
high-level	JJ	high-level
political	JJ	political
dialogue	NN	dialogue
will	MD	will
be	VB	be
held	VBN	hold
in	IN	in
Brussels	NP	Brussels
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
with	IN	with
Palestine	NP	Palestine
,	,	,
which	WDT	which
will	MD	will
be	VB	be
an	DT	an
important	JJ	important
basis	NN	basis
for	IN	for
strengthening	VBG	strengthen
cooperation	NN	cooperation
on	IN	on
multiple	JJ	multiple
levels	NNS	level
for	IN	for
years	NNS	year
to	TO	to
come	VB	come
,	,	,
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
West	NP	West
Bank	NP	Bank
,	,	,
saying	VBG	say
they	PP	they
"	``	"
are	VBP	be
destroying	VBG	destroy
the	DT	the
two-state	NN	two-state
solution	NN	solution
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
only	JJ	only
path	NN	path
to	TO	to
sustainable	JJ	sustainable
peace	NN	peace
.	SENT	.
"	''	"
<p>
Mustafa	NP	Mustafa
described	VBD	describe
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
renewed	JJ	renewed
assault	NN	assault
on	IN	on
Gaza	NP	Gaza
as	IN	as
"	``	"
grave	JJ	grave
violations	NNS	violation
of	IN	of
international	JJ	international
law	NN	law
and	CC	and
the	DT	the
rights	NNS	right
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
,	,	,
"	''	"
and	CC	and
urged	VBD	urge
continued	JJ	continued
international	JJ	international
pressure	NN	pressure
on	IN	on
Israel	NP	Israel
to	TO	to
end	VB	end
its	PP$	its
assault	NN	assault
,	,	,
while	IN	while
ensuring	VBG	ensure
accountability	NN	accountability
for	IN	for
its	PP$	its
actions	NNS	action
,	,	,
Xinhua	NP	Xinhua
news	NN	news
agency	NN	agency
reported	VBD	report
.	SENT	.
<p>
He	PP	he
also	RB	also
called	VBD	call
for	IN	for
support	NN	support
from	IN	from
the	DT	the
EU	NP	EU
to	TO	to
rebuild	VB	rebuild
Gaza	NP	Gaza
.	SENT	.
Also	RB	also
on	IN	on
Monday	NP	Monday
,	,	,
Kallas	NP	Kallas
met	VBD	meet
separately	RB	separately
with	IN	with
Palestinian	NP	Palestinian
President	NP	President
Mahmoud	NP	Mahmoud
Abbas	NP	Abbas
,	,	,
during	IN	during
which	WDT	which
Abbas	NP	Abbas
stressed	VBD	stress
the	DT	the
need	NN	need
to	TO	to
open	VB	open
the	DT	the
border	NN	border
crossings	NNS	crossing
to	TO	to
allow	VB	allow
the	DT	the
urgent	JJ	urgent
entry	NN	entry
of	IN	of
humanitarian	JJ	humanitarian
aid	NN	aid
into	IN	into
Gaza	NP	Gaza
,	,	,
to	TO	to
ensure	VB	ensure
that	IN	that
the	DT	the
State	NN	state
of	IN	of
Palestine	NP	Palestine
assumes	VBZ	assume
its	PP$	its
full	JJ	full
responsibilities	NNS	responsibility
in	IN	in
the	DT	the
enclave	NN	enclave
,	,	,
and	CC	and
to	TO	to
secure	VB	secure
a	DT	a
complete	JJ	complete
Israeli	JJ	Israeli
withdrawal	NN	withdrawal
from	IN	from
the	DT	the
Strip	NP	Strip
,	,	,
Palestinian	JJ	Palestinian
official	JJ	official
news	NN	news
agency	NN	agency
WAFA	NP	Wafa
reported	VBD	report
.	SENT	.
<p>
Since	IN	since
March	NP	March
2	CD	@card@
,	,	,
Israel	NP	Israel
has	VBZ	have
cut	VBN	cut
off	RP	off
the	DT	the
entry	NN	entry
of	IN	of
all	DT	all
lifesaving	JJ	lifesaving
supplies	NNS	supply
,	,	,
including	VBG	include
food	NN	food
,	,	,
medicines	NNS	medicine
,	,	,
fuel	NN	fuel
,	,	,
and	CC	and
cooking	VBG	cook
gas	NN	gas
,	,	,
into	IN	into
Gaza	NP	Gaza
.	SENT	.
It	PP	it
has	VBZ	have
also	RB	also
cut	VBN	cut
power	NN	power
to	TO	to
southern	JJ	southern
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
for	IN	for
some	DT	some
600,000	CD	@card@
people	NNS	people
.	SENT	.
<p>
On	IN	on
March	NP	March
18	CD	@card@
,	,	,
Israel	NP	Israel
resumed	VBD	resume
strikes	NNS	strike
in	IN	in
Gaza	NP	Gaza
after	IN	after
its	PP$	its
ceasefire	NN	ceasefire
deal	NN	deal
with	IN	with
Hamas	NNS	<unknown>
that	WDT	that
began	VBD	begin
on	IN	on
January	NP	January
19	CD	@card@
unraveled	VBD	unravel
.	SENT	.
Israeli	JJ	Israeli
troops	NNS	troop
later	RBR	later
launched	VBD	launch
ground	NN	ground
operations	NNS	operation
in	IN	in
southern	JJ	southern
,	,	,
northern	JJ	northern
,	,	,
and	CC	and
central	JJ	central
Gaza	NP	Gaza
.	SENT	.
According	VBG	accord
to	TO	to
Gaza-based	JJ	<unknown>
health	NN	health
authorities	NNS	authority
,	,	,
the	DT	the
death	NN	death
toll	NN	toll
from	IN	from
the	DT	the
renewed	JJ	renewed
Israeli	JJ	Israeli
assault	NN	assault
on	IN	on
the	DT	the
enclave	NN	enclave
has	VBZ	have
topped	VBN	top
730	CD	@card@
.	SENT	.
<h>
Follow	VB	follow
us	PP	us
<h>
About	IN	about
Us	PP	us
<p>
The	DT	the
Shillong	NP	Shillong
Times	NP	Times
first	RB	first
appeared	VBD	appear
as	IN	as
a	DT	a
tabloid	JJ	tabloid
weekly	NN	weekly
on	IN	on
10th	JJ	10th
August	NP	August
1945	CD	@card@
under	IN	under
the	DT	the
editorship	NN	editorship
of	IN	of
Late	NP	Late
Sudhindra	NP	Sudhindra
Bhusan	NP	Bhusan
Chaudhuri	NP	Chaudhuri
.	SENT	.
In	IN	in
1958	CD	@card@
it	PP	it
was	VBD	be
converted	VBN	convert
to	TO	to
a	DT	a
Daily	NP	Daily
.	SENT	.
Owing	VBG	owe
to	TO	to
financial	JJ	financial
constraints	NNS	constraint
,	,	,
within	IN	within
six	CD	six
months	NNS	month
it	PP	it
reverted	VBD	revert
back	RB	back
to	TO	to
a	DT	a
weekly	JJ	weekly
.	SENT	.
