lemma	target_count	comparison_count	target_per_1k	comparison_per_1k	expected	LL	%DIFF	status
laborer	7	19	280.0	0.72	0.02	67.29	198.98	POSKW
separation	9	132	360.0	4.98	0.13	58.72	194.54	POSKW
fence	10	446	400.0	16.83	0.43	44.01	183.85	POSKW
hurl	6	103	240.0	3.89	0.1	37.34	193.63	POSKW
stepped-up	5	45	200.0	1.7	0.05	37.25	196.63	POSKW
explosive	11	854	440.0	32.22	0.82	37.0	172.71	POSKW
frontier	6	129	240.0	4.87	0.13	34.76	192.05	POSKW
impoverished	5	68	200.0	2.57	0.07	33.34	194.93	POSKW
violent	11	1116	440.0	42.11	1.06	31.64	165.06	POSKW
focal	5	87	200.0	3.28	0.09	30.99	193.54	POSKW
blockade	13	1920	520.0	72.44	1.82	28.8	151.09	POSKW
youth	7	397	280.0	14.98	0.38	27.63	179.69	POSKW
revere	4	61	160.0	2.3	0.06	25.8	194.33	POSKW
provocation	5	157	200.0	5.92	0.15	25.34	188.49	POSKW
bar	8	731	320.0	27.58	0.7	24.52	168.26	POSKW
east	9	1055	360.0	39.81	1.0	23.57	160.17	POSKW
sanctuary	4	92	160.0	3.47	0.09	22.65	191.51	POSKW
tire	4	95	160.0	3.58	0.09	22.41	191.24	POSKW
noble	4	96	160.0	3.62	0.09	22.33	191.14	POSKW
roil	4	104	160.0	3.92	0.1	21.72	190.42	POSKW
mideast	5	231	200.0	8.72	0.22	21.67	183.3	POSKW
throw	8	905	320.0	34.15	0.86	21.45	161.43	POSKW
balloon	4	108	160.0	4.08	0.11	21.43	190.07	POSKW
entrench	4	108	160.0	4.08	0.11	21.43	190.07	POSKW
volatile	5	243	200.0	9.17	0.23	21.19	182.47	POSKW
often	11	1933	440.0	72.94	1.83	21.14	143.12	POSKW
device	7	662	280.0	24.98	0.63	21.02	167.24	POSKW
incendiary	4	123	160.0	4.64	0.12	20.43	188.72	POSKW
waiver	3	41	120.0	1.55	0.04	19.98	194.91	POSKW
clash	8	1066	320.0	40.22	1.01	19.15	155.34	POSKW
quietly	4	155	160.0	5.85	0.15	18.67	185.89	POSKW
visa-free	2	7	80.0	0.26	0.01	18.35	198.68	POSKW
unseen	3	57	120.0	2.15	0.06	18.09	192.96	POSKW
reopen	5	349	200.0	13.17	0.33	17.8	175.29	POSKW
hoped-for	2	9	80.0	0.34	0.01	17.45	198.31	POSKW
ultranationalist	3	64	120.0	2.41	0.06	17.42	192.11	POSKW
entry	8	1214	320.0	45.81	1.15	17.35	149.91	POSKW
farmland	3	65	120.0	2.45	0.06	17.33	191.99	POSKW
israeli-palestinian	6	611	240.0	23.05	0.58	17.22	164.94	POSKW
nationalist	4	189	160.0	7.13	0.18	17.17	182.93	POSKW
holy	6	621	240.0	23.43	0.59	17.04	164.42	POSKW
normalize	4	207	160.0	7.81	0.2	16.48	181.38	POSKW
separate	9	1708	360.0	64.45	1.62	16.16	139.27	POSKW
reciprocity	2	13	80.0	0.49	0.01	16.11	197.56	POSKW
wring	2	14	80.0	0.53	0.02	15.84	197.38	POSKW
unemployment	3	88	120.0	3.32	0.09	15.59	189.23	POSKW
decade	10	2205	400.0	83.2	2.09	15.54	131.13	POSKW
closure	5	463	200.0	17.47	0.44	15.21	167.87	POSKW
stone	4	246	160.0	9.28	0.24	15.18	178.07	POSKW
sensitive	5	467	200.0	17.62	0.44	15.13	167.61	POSKW
raise	12	3249	480.0	122.59	3.07	14.86	118.62	POSKW
designation	3	102	120.0	3.85	0.1	14.75	187.57	POSKW
overhaul	3	103	120.0	3.89	0.1	14.69	187.45	POSKW
holiday	5	509	200.0	19.21	0.48	14.35	164.95	POSKW
onerous	2	21	80.0	0.79	0.02	14.32	196.08	POSKW
bloodshed	5	521	200.0	19.66	0.5	14.14	164.2	POSKW
salary	3	121	120.0	4.57	0.12	13.77	185.34	POSKW
counterterrorism	3	127	120.0	4.79	0.12	13.5	184.64	POSKW
program	6	889	240.0	33.54	0.84	13.26	150.95	POSKW
