Effect	group	N	Mean fac3	SD fac3
group	global_north_2023_09	25	4.04000000	2.90803485
group	global_north_2023_10	815	1.93742331	2.97776539
group	global_north_2023_11	815	2.32883436	3.24470319
group	global_north_2023_12	815	1.93006135	3.12338676
group	global_north_2024_01	815	1.81717791	2.80131583
group	global_north_2024_02	815	1.72638037	2.66978333
group	global_north_2024_03	815	1.64294479	2.52045610
group	global_north_2024_04	815	3.51411043	6.08312482
group	global_north_2024_05	815	6.67361963	7.83201886
group	global_north_2024_06	709	3.56558533	5.42465082
group	global_north_2024_07	749	3.16688919	4.39465810
group	global_north_2024_08	768	2.66145833	4.41639401
group	global_north_2024_09	689	2.34542816	3.66151181
group	global_north_2024_10	815	2.68343558	4.21887743
group	global_north_2024_11	815	2.25644172	3.33019166
group	global_north_2024_12	815	1.82699387	3.02986894
group	global_north_2025_01	815	1.71411043	2.98735824
group	global_north_2025_02	815	1.49447853	3.10854516
group	global_north_2025_03	815	5.98404908	9.09280520
group	global_north_2025_04	815	4.00981595	6.64471502
group	global_north_2025_05	815	2.63558282	5.42480064
group	global_north_2025_06	815	2.91042945	4.49056633
group	global_south_2023_09	10	2.40000000	2.67498702
group	global_south_2023_10	815	0.82453988	1.84134512
group	global_south_2023_11	815	1.14969325	2.17528484
group	global_south_2023_12	486	0.85390947	1.65013437
group	global_south_2024_01	385	0.94545455	1.59414174
group	global_south_2024_02	253	0.97233202	2.04978350
group	global_south_2024_03	292	0.88356164	1.96886513
group	global_south_2024_04	333	1.93393393	4.59457070
group	global_south_2024_05	439	2.91116173	6.01928698
group	global_south_2024_06	300	1.19000000	2.45914443
group	global_south_2024_07	405	1.38271605	2.30135507
group	global_south_2024_08	493	1.44624746	3.35374610
group	global_south_2024_09	393	1.26463104	2.33784218
group	global_south_2024_10	687	1.02911208	2.05231071
group	global_south_2024_11	461	1.30802603	2.14995465
group	global_south_2024_12	322	0.94409938	1.70302442
group	global_south_2025_01	601	0.93677205	2.19377807
group	global_south_2025_02	498	0.76104418	1.99323012
group	global_south_2025_03	398	4.19346734	8.48410917
group	global_south_2025_04	405	2.80246914	4.96577333
group	global_south_2025_05	461	1.49891540	3.99326865
group	global_south_2025_06	481	1.95426195	3.65461859
