<h>
1st	JJ	1st
Saudi	JJ	Saudi
envoy	NN	envoy
to	TO	to
the	DT	the
Palestinians	NPS	Palestinians
in	IN	in
West	NP	West
Bank	NP	Bank
,	,	,
Israeli	JJ	Israeli
minister	NN	minister
in	IN	in
Riyadh	NP	Riyadh
amid	IN	amid
normalization	NN	normalization
push	NN	push
<p>
Saudi	NP	Saudi
Arabia	NP	Arabia
'	POS	'
s	NN	S
newly	RB	newly
appointed	VBN	appoint
envoy	NN	envoy
to	TO	to
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
has	VBZ	have
presented	VBN	present
his	PP$	his
credentials	NNS	credential
to	TO	to
Palestinian	NP	Palestinian
President	NP	President
Mahmoud	NP	Mahmoud
Abbas	NP	Abbas
<p>
ByJULIA	NP	<unknown>
FRANKEL	NP	Frankel
Associated	NP	Associated
Press	NP	Press
and	CC	and
ISABEL	NP	Isabel
DEBRE	NP	<unknown>
Associated	NP	Associated
Press	NP	Press
<p>
September	NP	September
26	CD	@card@
,	,	,
2023	CD	@card@
,	,	,
7:18	CD	@card@
AM	NP	AM
<p>
Nayef	NP	<unknown>
al-Sudairi	NP	<unknown>
,	,	,
Saudi	NP	Saudi
Arabia	NP	Arabia
'	POS	'
s	NN	S
the	DT	the
first-ever	JJ	first-ever
Saudi	JJ	Saudi
ambassador	NN	ambassador
to	TO	to
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
,	,	,
right	RB	right
,	,	,
and	CC	and
Palestinian	NP	Palestinian
Minister	NP	Minister
of	IN	of
Foreign	NP	Foreign
Affairs	NPS	Affairs
and	CC	and
Expatriates	NNS	expatriate
,	,	,
Dr.	NP	Dr.
Riyad	NP	Riyad
Al-Maliki	NP	<unknown>
,	,	,
left	VBD	leave
,	,	,
make	VBP	make
a	DT	a
joint	JJ	joint
statement	NN	statement
after	IN	after
their	PP$	their
meeting	NN	meeting
in	IN	in
Ramallah	NP	Ramallah
,	,	,
Tuesday	NP	Tuesday
,	,	,
Sept.	NP	Sept.
26	CD	@card@
,	,	,
2023	CD	@card@
.	SENT	.
Al-Sudairi	NP	<unknown>
visited	VBD	visit
the	DT	the
Palestinian	JJ	Palestinian
territories	NNS	territory
Tuesday	NP	Tuesday
to	TO	to
discuss	VB	discuss
the	DT	the
burgeoning	VBG	burgeon
Saudi-Israeli	NP	Saudi-Israeli
normalization	NN	normalization
deal	NN	deal
,	,	,
which	WDT	which
the	DT	the
kingdom	NN	kingdom
has	VBZ	have
said	VBN	say
will	MD	will
hinge	VB	hinge
on	IN	on
what	WP	what
concessions	NNS	concession
Israel	NP	Israel
is	VBZ	be
willing	JJ	willing
to	TO	to
grant	VB	grant
the	DT	the
Palestinians	NPS	Palestinians
.	SENT	.
(	(	(
AP	NP	AP
Photo/Majdi	NP	<unknown>
Mohammed	NP	Mohammed
)	)	)
<p>
The	DT	the
Associated	NP	Associated
Press	NP	Press
<p>
RAMALLAH	NP	Ramallah
,	,	,
West	NP	West
Bank	NP	Bank
--	:	--
Saudi	NP	Saudi
Arabia	NP	Arabia
'	POS	'
s	NN	S
newly	RB	newly
appointed	VBN	appoint
envoy	NN	envoy
to	TO	to
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
presented	VBD	present
his	PP$	his
credentials	NNS	credential
to	TO	to
President	NP	President
Mahmoud	NP	Mahmoud
Abbas	NP	Abbas
during	IN	during
his	PP$	his
first	JJ	first
visit	NN	visit
to	TO	to
the	DT	the
Israeli-occupied	JJ	Israeli-occupied
West	NP	West
Bank	NP	Bank
on	IN	on
Tuesday	NP	Tuesday
,	,	,
a	DT	a
move	NN	move
linked	VBN	link
to	TO	to
recent	JJ	recent
American	JJ	American
efforts	NNS	effort
to	TO	to
normalize	VB	normalize
ties	NNS	tie
between	IN	between
Saudi	NP	Saudi
Arabia	NP	Arabia
and	CC	and
Israel	NP	Israel
.	SENT	.
<p>
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
first	JJ	first
time	NN	time
that	IN	that
the	DT	the
Saudi	JJ	Saudi
delegation	NN	delegation
has	VBZ	have
visited	VBN	visit
the	DT	the
West	NP	West
Bank	NP	Bank
since	IN	since
1967	CD	@card@
--	:	--
came	VBD	come
as	IN	as
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
tourism	NN	tourism
minister	NN	minister
became	VBD	become
the	DT	the
first	JJ	first
senior	JJ	senior
Israeli	JJ	Israeli
official	NN	official
to	TO	to
make	VB	make
a	DT	a
public	JJ	public
visit	NN	visit
to	TO	to
Saudi	NP	Saudi
Arabia	NP	Arabia
.	SENT	.
<p>
In	IN	in
a	DT	a
clear	JJ	clear
sign	NN	sign
that	IN	that
a	DT	a
landmark	JJ	landmark
diplomatic	JJ	diplomatic
deal	NN	deal
between	IN	between
Israel	NP	Israel
and	CC	and
Saudi	NP	Saudi
Arabia	NP	Arabia
has	VBZ	have
gained	VBN	gain
momentum	NN	momentum
,	,	,
Israel	NP	Israel
'	POS	'
s	NN	S
Tourism	NP	Tourism
Minister	NP	Minister
Haim	NP	Haim
Katz	NP	Katz
on	IN	on
Tuesday	NP	Tuesday
led	VBD	lead
an	DT	an
Israeli	JJ	Israeli
delegation	NN	delegation
to	TO	to
Riyadh	NP	Riyadh
to	TO	to
take	VB	take
part	NN	part
in	IN	in
a	DT	a
conference	NN	conference
hosted	VBD	host
by	IN	by
the	DT	the
United	NP	United
Nations	NPS	Nations
World	NP	World
Tourism	NP	Tourism
Organization	NP	Organization
.	SENT	.
Katz	NP	Katz
'	POS	'
s	NN	S
office	NN	office
described	VBD	describe
his	PP$	his
visit	NN	visit
as	IN	as
unprecedented	JJ	unprecedented
for	IN	for
an	DT	an
Israeli	JJ	Israeli
minister	NN	minister
and	CC	and
said	VBD	say
he	PP	he
would	MD	would
hold	VB	hold
discussions	NNS	discussion
with	IN	with
officials	NNS	official
from	IN	from
across	IN	across
the	DT	the
Middle	NP	Middle
East	NP	East
.	SENT	.
<p>
Meanwhile	RB	meanwhile
the	DT	the
visit	NN	visit
by	IN	by
al-Sudairi	NP	<unknown>
to	TO	to
Ramallah	NP	Ramallah
,	,	,
the	DT	the
seat	NN	seat
of	IN	of
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
,	,	,
is	VBZ	be
widely	RB	widely
seen	VBN	see
as	IN	as
an	DT	an
attempt	NN	attempt
by	IN	by
the	DT	the
kingdom	NN	kingdom
to	TO	to
address	VB	address
the	DT	the
key	JJ	key
sticking	JJ	sticking
point	NN	point
in	IN	in
the	DT	the
Saudi-Israeli	NP	Saudi-Israeli
normalization	NN	normalization
deal	NN	deal
:	:	:
Saudi	NP	Saudi
Arabia	NP	Arabia
'	POS	'
s	JJ	<unknown>
stance	NN	stance
toward	IN	toward
the	DT	the
Palestinians	NPS	Palestinians
.	SENT	.
The	DT	the
Saudi	NP	Saudi
government	NN	government
has	VBZ	have
said	VBN	say
it	PP	it
will	MD	will
only	RB	only
normalize	VB	normalize
ties	NNS	tie
with	IN	with
Israel	NP	Israel
if	IN	if
there	EX	there
is	VBZ	be
major	JJ	major
progress	NN	progress
toward	IN	toward
the	DT	the
creation	NN	creation
of	IN	of
a	DT	a
Palestinian	JJ	Palestinian
state	NN	state
.	SENT	.
<p>
To	TO	to
kick	VB	kick
off	RP	off
his	PP$	his
two-day	JJ	two-day
trip	NN	trip
,	,	,
al-Sudairi	NP	<unknown>
,	,	,
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
met	VBN	meet
with	IN	with
Abbas	NP	Abbas
,	,	,
the	DT	the
head	NN	head
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
Authority	NP	Authority
that	WDT	that
exercises	VBZ	exercise
limited	JJ	limited
autonomy	NN	autonomy
in	IN	in
parts	NNS	part
of	IN	of
the	DT	the
West	NP	West
Bank	NP	Bank
,	,	,
and	CC	and
other	JJ	other
senior	JJ	senior
officials	NNS	official
.	SENT	.
Before	IN	before
presenting	VBG	present
his	PP$	his
credentials	NNS	credential
,	,	,
he	PP	he
sought	VBD	seek
to	TO	to
assure	VB	assure
the	DT	the
Palestinians	NNS	Palestinian
that	IN	that
Saudi	NP	Saudi
Arabia	NP	Arabia
was	VBD	be
"	``	"
working	VBG	work
to	TO	to
establish	VB	establish
a	DT	a
Palestinian	JJ	Palestinian
state	NN	state
with	IN	with
east	JJ	east
Jerusalem	NP	Jerusalem
as	IN	as
its	PP$	its
capital	NN	capital
,	,	,
"	''	"
without	IN	without
elaborating	VBG	elaborate
.	SENT	.
<p>
"	''	"
God	NP	God
willing	JJ	willing
,	,	,
next	JJ	next
time	NN	time
this	DT	this
meeting	NN	meeting
will	MD	will
take	VB	take
place	NN	place
in	IN	in
Jerusalem	NP	Jerusalem
,	,	,
"	''	"
al-Sudairi	NP	<unknown>
told	VBD	tell
journalists	NNS	journalist
after	IN	after
the	DT	the
meeting	NN	meeting
.	SENT	.
<p>
Nearly	RB	nearly
two	CD	two
decades	NNS	decade
ago	RB	ago
,	,	,
Saudi	NP	Saudi
Arabia	NP	Arabia
and	CC	and
other	JJ	other
Arab	JJ	Arab
leaders	NNS	leader
endorsed	VBD	endorse
the	DT	the
Arab	NP	Arab
Peace	NP	Peace
Initiative	NP	Initiative
,	,	,
pledging	VBG	pledge
that	IN	that
there	EX	there
would	MD	would
be	VB	be
no	DT	no
diplomatic	JJ	diplomatic
recognition	NN	recognition
of	IN	of
Israel	NP	Israel
without	IN	without
a	DT	a
just	JJ	just
settlement	NN	settlement
to	TO	to
the	DT	the
Israeli-Palestinian	JJ	Israeli-Palestinian
conflict	NN	conflict
.	SENT	.
<p>
Even	RB	even
as	IN	as
Palestinians	NPS	Palestinians
still	RB	still
live	VBP	live
under	IN	under
an	DT	an
open-ended	JJ	open-ended
Israeli	JJ	Israeli
military	JJ	military
occupation	NN	occupation
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
,	,	,
now	RB	now
in	IN	in
its	PP$	its
57th	JJ	57th
year	NN	year
,	,	,
and	CC	and
under	IN	under
an	DT	an
Israeli-Egyptian	NP	Israeli-Egyptian
blockade	NN	blockade
in	IN	in
Gaza	NP	Gaza
,	,	,
efforts	NNS	effort
by	IN	by
the	DT	the
United	NP	United
States	NPS	States
to	TO	to
establish	VB	establish
formal	JJ	formal
relations	NNS	relation
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
between	IN	between
Israel	NP	Israel
and	CC	and
Saudi	NP	Saudi
Arabia	NP	Arabia
have	VBP	have
escalated	VBN	escalate
.	SENT	.
Last	JJ	last
week	NN	week
,	,	,
Netanyahu	NP	<unknown>
and	CC	and
President	NP	President
Biden	NP	Biden
discussed	VBD	discuss
the	DT	the
prospect	NN	prospect
of	IN	of
an	DT	an
agreement	NN	agreement
