<h>
Mom	NN	mom
says	VBZ	say
sons	NNS	son
snatched	VBN	snatch
by	IN	by
Hamas	JJ	<unknown>
while	NN	while
on	IN	on
the	DT	the
phone	NN	phone
with	IN	with
her	PP$	her
<p>
ABC	NP	ABC
News	NP	News
'	POS	'
Linsey	NP	Linsey
Davis	NP	Davis
interviews	VBZ	interview
an	DT	an
Israeli	JJ	Israeli
woman	NN	woman
who	WP	who
had	VBD	have
two	CD	two
children	NNS	child
abducted	VBN	abduct
by	IN	by
Hamas	JJ	<unknown>
militants	NNS	militant
.	SENT	.
<p>
ABC	NP	ABC
News	NP	News
<p>
Since	IN	since
her	PP$	her
two	CD	two
sons	NNS	son
,	,	,
ages	NNS	age
12	CD	@card@
and	CC	and
16	CD	@card@
,	,	,
were	VBD	be
abducted	VBN	abduct
Saturday	NP	Saturday
by	IN	by
Hamas	NP	<unknown>
militants	NNS	militant
who	WP	who
burst	VBP	burst
into	IN	into
safe	JJ	safe
room	NN	room
at	IN	at
their	PP$	their
father	NN	father
'	POS	'
s	NN	S
home	NN	home
,	,	,
an	DT	an
Israeli	JJ	Israeli
mother	NN	mother
says	VBZ	say
she	PP	she
has	VBZ	have
been	VBN	be
unable	JJ	unable
to	TO	to
sleep	VB	sleep
or	CC	or
eat	VB	eat
,	,	,
haunted	VBN	haunt
by	IN	by
the	DT	the
last	JJ	last
words	NNS	word
she	PP	she
heard	VBD	hear
before	IN	before
a	DT	a
phone	NN	phone
call	NN	call
from	IN	from
her	PP$	her
children	NNS	child
was	VBD	be
cut	VBN	cut
off	RP	off
--	:	--
her	PP$	her
youngest	JJS	young
boy	NN	boy
,	,	,
pleading	VBG	plead
with	IN	with
the	DT	the
gunman	NN	gunman
not	RB	not
to	TO	to
take	VB	take
him	PP	him
.	SENT	.
<p>
The	DT	the
mother	NN	mother
,	,	,
who	WP	who
spoke	VBD	speak
to	TO	to
ABC	NP	ABC
News	NP	News
'	POS	'
Linsey	NP	Linsey
Davis	NP	Davis
,	,	,
described	VBD	describe
the	DT	the
horrific	JJ	horrific
moment	NN	moment
her	PP$	her
life	NN	life
was	VBD	be
turned	VBN	turn
upside	RB	upside
down	RB	down
and	CC	and
the	DT	the
agony	NN	agony
and	CC	and
helplessness	NN	helplessness
she	PP	she
has	VBZ	have
experienced	VBN	experience
since	RB	since
.	SENT	.
She	PP	she
says	VBZ	say
she	PP	she
is	VBZ	be
holding	VBG	hold
onto	IN	onto
hope	NN	hope
that	IN	that
she	PP	she
will	MD	will
be	VB	be
reunited	VBN	reunite
with	IN	with
her	PP$	her
children	NNS	child
but	CC	but
ca	MD	ca
n't	RB	n't
shake	VB	shake
thoughts	NNS	thought
of	IN	of
them	PP	them
being	VBG	be
held	VBN	hold
in	IN	in
some	DT	some
"	``	"
dirty	JJ	dirty
pit	NN	pit
.	SENT	.
"	''	"
<p>
