<h>
Topline	NP	Topline
<p>
Israel	NP	Israel
approved	VBD	approve
Egypt	NP	Egypt
delivering	VBG	deliver
humanitarian	JJ	humanitarian
aid	NN	aid
to	TO	to
Gaza	NP	Gaza
on	IN	on
Wednesday	NP	Wednesday
shortly	RB	shortly
after	IN	after
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
arrived	VBD	arrive
and	CC	and
the	DT	the
U.S.	NP	U.S.
and	CC	and
other	JJ	other
countries	NNS	country
applied	VBD	apply
pressure	NN	pressure
to	TO	to
allow	VB	allow
the	DT	the
aid	NN	aid
,	,	,
reports	NNS	report
say	VBP	say
.	SENT	.
<p>
This	DT	this
picture	NN	picture
taken	VBN	take
on	IN	on
October	NP	October
11	CD	@card@
,	,	,
2023	CD	@card@
shows	NNS	show
an	DT	an
aerial	JJ	aerial
view	NN	view
of	IN	of
buildings	NNS	building
destroyed	VBN	destroy
by	IN	by
Israeli	JJ	Israeli
air	NN	air
...	:	...
+	SYM	+
strikes	VBZ	strike
in	IN	in
the	DT	the
Jabalia	NP	<unknown>
camp	NN	camp
for	IN	for
Palestinian	JJ	Palestinian
refugees	NNS	refugee
in	IN	in
Gaza	NP	Gaza
City	NP	City
.	SENT	.
(	(	(
Photo	NP	Photo
by	IN	by
YAHYA	NP	Yahya
HASSOUNA/AFP	NP	<unknown>
via	IN	via
Getty	NP	Getty
Images	NNS	image
)	)	)
<p>
AFP	NP	AFP
via	IN	via
Getty	NP	Getty
Images	NNS	image
<h>
Key	NP	Key
Facts	NPS	Facts
<p>
Israel	NP	Israel
will	MD	will
allow	VB	allow
"	``	"
food	NN	food
,	,	,
water	NN	water
and	CC	and
medicine	NN	medicine
"	''	"
for	IN	for
civilians	NNS	civilian
in	IN	in
the	DT	the
southern	JJ	southern
Gaza	NP	Gaza
Strip	NP	Strip
"	``	"
as	RB	as
long	JJ	long
as	IN	as
these	DT	these
supplies	NNS	supply
do	VBP	do
not	RB	not
reach	VB	reach
Hamas	JJ	<unknown>
,	,	,
"	''	"
according	VBG	accord
to	TO	to
a	DT	a
statement	NN	statement
from	IN	from
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
'	POS	'
s	NN	S
office	NN	office
;	:	;
the	DT	the
statement	NN	statement
said	VBD	say
any	DT	any
supplies	NNS	supply
that	WDT	that
do	VBP	do
reach	NN	reach
Hamas	NNS	<unknown>
will	MD	will
be	VB	be
"	``	"
thwarted	VBN	thwart
"	''	"
and	CC	and
did	VBD	do
not	RB	not
list	VB	list
fuel	NN	fuel
as	IN	as
one	CD	one
of	IN	of
the	DT	the
allowed	VBN	allow
supplies	NNS	supply
.	SENT	.
<p>
Netanyahu	NP	<unknown>
continued	VBD	continue
to	TO	to
say	VB	say
Gaza	NP	Gaza
will	MD	will
not	RB	not
receive	VB	receive
any	DT	any
humanitarian	JJ	humanitarian
aid	NN	aid
from	IN	from
Israel	NP	Israel
until	IN	until
its	PP$	its
hostages	NNS	hostage
are	VBP	be
returned	VBN	return
,	,	,
Haaretzreported	NP	<unknown>
.	SENT	.
<p>
Israel	NP	Israel
'	POS	'
s	NN	S
decision	NN	decision
was	VBD	be
made	VBN	make
after	IN	after
a	DT	a
meeting	NN	meeting
with	IN	with
Biden	NP	Biden
in	IN	in
which	WDT	which
he	PP	he
said	VBD	say
he	PP	he
supported	VBD	support
the	DT	the
decision	NN	decision
and	CC	and
said	VBD	say
aid	NN	aid
would	MD	would
be	VB	be
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
.	SENT	.
<h>
Crucial	JJ	crucial
Quote	NN	quote
<p>
The	DT	the
prime	JJ	prime
minister	NN	minister
'	POS	'
s	NN	S
office	NN	office
said	VBD	say
in	IN	in
the	DT	the
statement	NN	statement
that	IN	that
their	PP$	their
decision	NN	decision
was	VBD	be
made	VBN	make
"	''	"
in	IN	in
light	NN	light
of	IN	of
the	DT	the
overwhelming	JJ	overwhelming
and	CC	and
vital	JJ	vital
American	JJ	American
support	NN	support
for	IN	for
the	DT	the
war	NN	war
effort	NN	effort
and	CC	and
in	IN	in
light	NN	light
of	IN	of
US	NP	US
President	NP	President
Biden	NP	Biden
'	POS	'
s	JJ	<unknown>
demand	NN	demand
for	IN	for
basic	JJ	basic
humanitarian	JJ	humanitarian
aid	NN	aid
.	SENT	.
"	''	"
<h>
Key	JJ	Key
Background	NN	background
<p>
The	DT	the
decision	NN	decision
to	TO	to
allow	VB	allow
aid	NN	aid
from	IN	from
Egypt	NP	Egypt
comes	VBZ	come
11	CD	@card@
days	NNS	day
after	IN	after
Hamas	NP	<unknown>
launched	VBD	launch
an	DT	an
attack	NN	attack
on	IN	on
Israel	NP	Israel
,	,	,
killing	VBG	kill
more	JJR	more
than	IN	than
1,400	CD	@card@
Israelis	NNS	Israeli
.	SENT	.
In	IN	in
that	DT	that
time	NN	time
,	,	,
more	JJR	more
than	IN	than
3,000	CD	@card@
Palestinians	NPS	Palestinians
have	VBP	have
been	VBN	be
killed	VBN	kill
and	CC	and
thousands	NNS	thousand
more	RBR	more
injured	VBN	injure
as	IN	as
Israel	NP	Israel
declared	VBD	declare
war	NN	war
on	IN	on
Hamas	NNS	<unknown>
shortly	RB	shortly
after	IN	after
the	DT	the
attack	NN	attack
earlier	RBR	earlier
this	DT	this
month	NN	month
.	SENT	.
As	IN	as
part	NN	part
of	IN	of
its	PP$	its
declaration	NN	declaration
of	IN	of
war	NN	war
,	,	,
Israel	NP	Israel
cut	VBD	cut
off	RP	off
fuel	NN	fuel
,	,	,
water	NN	water
and	CC	and
other	JJ	other
utilities	NNS	utility
it	PP	it
supplied	VBD	supply
to	TO	to
Gaza	NP	Gaza
,	,	,
leaving	VBG	leave
civilians	NNS	civilian
without	IN	without
resources	NNS	resource
as	IN	as
attacks	NNS	attack
continued	VBD	continue
.	SENT	.
Biden	NP	Biden
arrived	VBD	arrive
in	IN	in
Israel	NP	Israel
early	JJ	early
Wednesday	NP	Wednesday
to	TO	to
meet	VB	meet
with	IN	with
Netanyahu	NP	<unknown>
and	CC	and
other	JJ	other
leaders	NNS	leader
,	,	,
though	IN	though
his	PP$	his
planned	JJ	planned
trip	NN	trip
to	TO	to
Jordan	NP	Jordan
to	TO	to
meet	VB	meet
with	IN	with
Arab	JJ	Arab
and	CC	and
Palestinian	JJ	Palestinian
leaders	NNS	leader
was	VBD	be
canceled	VBN	cancel
Tuesday	NP	Tuesday
after	IN	after
a	DT	a
hospital	NN	hospital
explosion	NN	explosion
in	IN	in
Gaza	NP	Gaza
that	IN	that
Palestinian	JJ	Palestinian
authorities	NNS	authority
are	VBP	be
blaming	VBG	blame
on	IN	on
Israel	NP	Israel
.	SENT	.
Israel	NP	Israel
denies	VBZ	deny
involvement	NN	involvement
in	IN	in
the	DT	the
attack	NN	attack
and	CC	and
says	VBZ	say
the	DT	the
explosion	NN	explosion
was	VBD	be
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
group	NN	group
Palestinian	JJ	Palestinian
Islamic	NP	Islamic
Jihad	NP	Jihad
.	SENT	.
Since	IN	since
his	PP$	his
arrival	NN	arrival
in	IN	in
Israel	NP	Israel
,	,	,
Biden	NP	Biden
said	VBD	say
he	PP	he
'	''	'
d	SYM	d
seen	VBN	see
evidence	NN	evidence
from	IN	from
the	DT	the
Pentagon	NP	Pentagon
indicating	VBG	indicate
that	IN	that
the	DT	the
Israeli	JJ	Israeli
military	NN	military
did	VBD	do
not	RB	not
cause	VB	cause
the	DT	the
explosion	NN	explosion
,	,	,
Bloomberg	NP	Bloomberg
reported	VBD	report
.	SENT	.
<h>
Tangent	JJ	tangent
<p>
Biden	NP	Biden
announced	VBD	announce
Wednesday	NP	Wednesday
he	PP	he
will	MD	will
ask	VB	ask
Congress	NP	Congress
this	DT	this
week	NN	week
to	TO	to
approve	VB	approve
an	DT	an
"	``	"
unprecedented	JJ	unprecedented
support	NN	support
package	NN	package
for	IN	for
Israel	NP	Israel
'	POS	'
s	NN	S
defense	NN	defense
.	SENT	.
"	``	"
There	EX	there
were	VBD	be
multiple	JJ	multiple
reports	NNS	report
Tuesday	NP	Tuesday
that	IN	that
Biden	NP	Biden
was	VBD	be
eyeing	VBG	eye
a	DT	a
$100	JJ	<unknown>
billion	NN	billion
request	NN	request
for	IN	for
defense	NN	defense
aid	NN	aid
for	IN	for
defense	NN	defense
aid	NN	aid
for	IN	for
Israel	NP	Israel
,	,	,
Ukraine	NP	Ukraine
and	CC	and
Taiwan	NP	Taiwan
.	SENT	.
An	DT	an
unnamed	JJ	unnamed
congressional	JJ	congressional
source	NN	source
said	VBD	say
Israel	NP	Israel
asked	VBD	ask
the	DT	the
U.S.	NP	U.S.
for	IN	for
$10	JJ	$@card@
billion	NNS	billion
,	,	,
Reuters	NP	Reuters
reported	VBD	report
.	SENT	.
Israel	NP	Israel
already	RB	already
receives	VBZ	receive
$3.8	JJ	<unknown>
billion	NNS	billion
