<h>
POLITICO	NN	politico
Live	VBP	live
<h>
Follow	VB	follow
us	PP	us
<h>
Treasury	NP	Treasury
hits	NNS	hit
Hamas	NP	<unknown>
,	,	,
Iran	NP	Iran
with	IN	with
sanctions	NNS	sanction
<p>
Crypto	NP	<unknown>
'	POS	'
s	JJ	<unknown>
role	NN	role
in	IN	in
financing	VBG	finance
Hamas	NP	<unknown>
'	POS	'
activity	NN	activity
has	VBZ	have
emerged	VBN	emerge
as	IN	as
a	DT	a
hot	JJ	hot
issue	NN	issue
for	IN	for
lawmakers	NNS	lawmaker
.	SENT	.
<p>
Treasury	NP	Treasury
imposed	VBD	impose
a	DT	a
raft	NN	raft
of	IN	of
sanctions	NNS	sanction
on	IN	on
senior	JJ	senior
Hamas	JJ	<unknown>
officials	NNS	official
and	CC	and
others	NNS	other
linked	VBN	link
to	TO	to
financing	VBG	finance
the	DT	the
group	NN	group
as	IN	as
well	RB	well
as	RB	as
on	IN	on
individuals	NNS	individual
accused	VBN	accuse
of	IN	of
aiding	VBG	aid
Iran	NP	Iran
'	POS	'
s	JJ	<unknown>
development	NN	development
of	IN	of
ballistic	JJ	ballistic
missiles	NNS	missile
.	SENT	.
Chip	NP	Chip
Somodevilla/Getty	NP	Somodevilla/Getty
Images	VBZ	image
<p>
The	DT	the
U.S.	NP	U.S.
Treasury	NP	Treasury
on	IN	on
Wednesday	NP	Wednesday
imposed	VBD	impose
a	DT	a
raft	NN	raft
of	IN	of
sanctions	NNS	sanction
on	IN	on
senior	JJ	senior
Hamas	JJ	<unknown>
officials	NNS	official
and	CC	and
others	NNS	other
linked	VBN	link
to	TO	to
financing	VBG	finance
the	DT	the
group	NN	group
as	IN	as
well	RB	well
as	RB	as
on	IN	on
individuals	NNS	individual
accused	VBN	accuse
of	IN	of
aiding	VBG	aid
Iran	NP	Iran
'	POS	'
s	JJ	<unknown>
development	NN	development
of	IN	of
ballistic	JJ	ballistic
missiles	NNS	missile
.	SENT	.
<p>
The	DT	the
first	JJ	first
set	NN	set
of	IN	of
sanctions	NNS	sanction
involves	VBZ	involve
two	CD	two
Hamas	JJ	<unknown>
officials	NNS	official
along	IN	along
with	IN	with
a	DT	a
Gaza-based	JJ	<unknown>
crypto	NN	<unknown>
exchange	NN	exchange
and	CC	and
its	PP$	its
operators	NNS	operator
as	RB	as
well	RB	well
as	IN	as
six	CD	six
individuals	NNS	individual
who	WP	who
help	VBP	help
manage	VB	manage
the	DT	the
militant	JJ	militant
group	NN	group
'	POS	'
s	JJ	<unknown>
investment	NN	investment
portfolio	NN	portfolio
across	IN	across
Gaza	NP	Gaza
,	,	,
Algeria	NP	Algeria
,	,	,
Sudan	NP	Sudan
,	,	,
Turkey	NP	Turkey
and	CC	and
