<p>
U.K	NP	U.K
sex	NN	sex
workers	NNS	worker
announced	VBD	announce
their	PP$	their
solidarity	NN	solidarity
with	IN	with
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
against	IN	against
Israels	NPS	Israel
"	``	"
genocidal	JJ	genocidal
violence	NN	violence
"	''	"
this	DT	this
week	NN	week
.	SENT	.
(	(	(
NurPhoto	NP	NurPhoto
/	SYM	/
Contributor	NN	contributor
)	)	)
<p>
The	DT	the
official	JJ	official
X	NN	X
account	NN	account
for	IN	for
the	DT	the
Sex	NN	sex
Workers	NP	Workers
'	POS	'
Union	NP	Union
shared	VBD	share
a	DT	a
statement	NN	statement
to	TO	to
the	DT	the
platform	NN	platform
Thursday	NP	Thursday
titled	VBD	title
,	,	,
"	``	"
Our	PP$	our
statement	NN	statement
of	IN	of
solidarity	NN	solidarity
with	IN	with
Palestine	NP	Palestine
.	SENT	.
"	``	"
The	DT	the
post	NN	post
received	VBD	receive
nearly	RB	nearly
five	CD	five
million	CD	million
views	NNS	view
in	IN	in
less	JJR	less
than	IN	than
two	CD	two
days	NNS	day
.	SENT	.
<p>
The	DT	the
document	NN	document
,	,	,
which	WDT	which
contained	VBD	contain
the	DT	the
organization	NN	organization
'	POS	'
s	NN	S
logo	NN	logo
and	CC	and
an	DT	an
image	NN	image
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
flag	NN	flag
,	,	,
claimed	VBD	claim
that	IN	that
"	``	"
genocidal	JJ	genocidal
violence	NN	violence
"	''	"
is	VBZ	be
being	VBG	be
"	``	"
enacted	VBN	enact
upon	IN	upon
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
by	IN	by
the	DT	the
settler	NN	settler
colony	NN	colony
of	IN	of
Israel	NP	Israel
.	SENT	.
"	``	"
<p>
It	PP	it
stated	VBD	state
,	,	,
"	``	"
We	PP	we
can	MD	can
not	RB	not
stand	VB	stand
back	RB	back
and	CC	and
watch	VB	watch
as	IN	as
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
continues	VBZ	continue
to	TO	to
enforce	VB	enforce
an	DT	an
illegal	JJ	illegal
occupation	NN	occupation
,	,	,
blockade	NN	blockade
and	CC	and
apartheid	NN	apartheid
,	,	,
forcing	VBG	force
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
to	TO	to
live	VB	live
within	IN	within
the	DT	the
largest	JJS	large
open	JJ	open
air	NN	air
prison	NN	prison
in	IN	in
lands	NNS	land
they	PP	they
have	VBP	have
been	VBN	be
continually	RB	continually
dispossessed	VBN	dispossess
from	IN	from
.	SENT	.
"	''	"
<p>
"	''	"
The	DT	the
escalating	VBG	escalate
violence	NN	violence
,	,	,
specifically	RB	specifically
the	DT	the
indiscriminate	JJ	indiscriminate
destruction	NN	destruction
of	IN	of
Gaza	NP	Gaza
,	,	,
of	IN	of
homes	NNS	home
,	,	,
hospitals	NNS	hospital
,	,	,
schools	NNS	school
,	,	,
churches	NNS	church
,	,	,
mosques	NNS	mosque
,	,	,
and	CC	and
the	DT	the
Rafah	NP	<unknown>
crossing	NN	crossing
,	,	,
as	RB	as
well	RB	well
as	IN	as
the	DT	the
collective	JJ	collective
punishment	NN	punishment
of	IN	of
the	DT	the
civilian	JJ	civilian
population	NN	population
of	IN	of
Palestine	NP	Palestine
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
direct	JJ	direct
action	NN	action
.	SENT	.
"	''	"
<p>
The	DT	the
statement	NN	statement
did	VBD	do
express	JJ	express
sympathy	NN	sympathy
for	IN	for
some	DT	some
Israelis	NPS	Israelis
,	,	,
stating	VBG	state
,	,	,
"	``	"
We	PP	we
mourn	VBP	mourn
for	IN	for
the	DT	the
loss	NN	loss
of	IN	of
civilian	JJ	civilian
lives	NNS	life
,	,	,
of	IN	of
Palestinians	NPS	Palestinians
,	,	,
Israelis	NPS	Israelis
and	CC	and
foreign	JJ	foreign
nationals	NNS	national
,	,	,
who	WP	who
have	VBP	have
been	VBN	be
made	VBN	make
victims	NNS	victim
of	IN	of
the	DT	the
ongoing	JJ	ongoing
occupation	NN	occupation
and	CC	and
conflict	NN	conflict
.	SENT	.
"	''	"
<p>
Towards	IN	towards
the	DT	the
end	NN	end
of	IN	of
the	DT	the
document	NN	document
,	,	,
the	DT	the
union	NN	union
added	VBD	add
,	,	,
"	``	"
As	IN	as
sex	NN	sex
workers	NNS	worker
,	,	,
we	PP	we
stand	VBP	stand
against	IN	against
the	DT	the
violence	NN	violence
of	IN	of
borders	NNS	border
,	,	,
imperial	JJ	imperial
and	CC	and
colonial	JJ	colonial
violence	NN	violence
,	,	,
and	CC	and
all	DT	all
state	NN	state
sanctioned	VBN	sanction
violence	NN	violence
against	IN	against
oppressed	VBN	oppress
and	CC	and
marginalized	VBN	marginalize
peoples	NNS	people
.	SENT	.
"	''	"
<p>
It	PP	it
concluded	VBD	conclude
with	IN	with
the	DT	the
pro-Palestinian	NP	pro-Palestinian
slogan	NN	slogan
that	IN	that
Israelis	NPS	Israelis
and	CC	and
their	PP$	their
allies	NNS	ally
understand	VBP	understand
as	IN	as
a	DT	a
call	NN	call
to	TO	to
eradicate	VB	eradicate
the	DT	the
Jewish	JJ	Jewish
state	NN	state
of	IN	of
Israel	NP	Israel
,	,	,
declaring	VBG	declare
,	,	,
"	''	"
From	IN	from
the	DT	the
river	NN	river
to	TO	to
the	DT	the
sea	NN	sea
,	,	,
Palestine	NP	Palestine
will	MD	will
be	VB	be
free	JJ	free
.	SENT	.
"	''	"
<p>
The	DT	the
post	NN	post
received	VBD	receive
a	DT	a
"	``	"
Community	NN	community
Note	NN	note
"	''	"
fact-check	NN	fact-check
from	IN	from
X	NP	X
shortly	RB	shortly
after	IN	after
going	VBG	go
up	RP	up
,	,	,
which	WDT	which
read	VBD	read
,	,	,
"	``	"
Gaza	NP	Gaza
has	VBZ	have
not	RB	not
been	VBN	be
occupied	VBN	occupy
since	IN	since
2005	CD	@card@
.	SENT	.
"	``	"
The	DT	the
note	NN	note
also	RB	also
stated	VBN	state
,	,	,
"	''	"
Added	VBD	add
context	NN	context
:	:	:
The	DT	the
majority	NN	majority
of	IN	of
Jews	NPS	Jews
perceive	VBP	perceive
'	''	'
From	IN	from
the	DT	the
River	NN	river
to	TO	to
the	DT	the
Sea	NP	Sea
'	POS	'
as	IN	as
a	DT	a
call	NN	call
for	IN	for
genocide	NN	genocide
and	CC	and
dissolution	NN	dissolution
of	IN	of
Israel	NP	Israel
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
