<h>
More	JJR	more
Videos	NNS	video
<p>
BEIT	NP	Beit
HANOUN	NP	<unknown>
,	,	,
--	:	--
The	DT	the
Israeli	JJ	Israeli
military	NN	military
said	VBD	say
Sunday	NP	Sunday
it	PP	it
has	VBZ	have
discovered	VBN	discover
a	DT	a
large	JJ	large
tunnel	NN	tunnel
shaft	NN	shaft
in	IN	in
Gaza	NP	Gaza
close	NN	close
to	TO	to
what	WP	what
was	VBD	be
once	RB	once
a	DT	a
busy	JJ	busy
crossing	NN	crossing
into	IN	into
Israel	NP	Israel
,	,	,
raising	VBG	raise
new	JJ	new
questions	NNS	question
about	IN	about
how	WRB	how
Israeli	JJ	Israeli
surveillance	NN	surveillance
missed	VBD	miss
such	JJ	such
conspicuous	JJ	conspicuous
preparations	NNS	preparation
by	IN	by
Hamas	NNS	<unknown>
for	IN	for
the	DT	the
militants	NNS	militant
'	POS	'
deadly	JJ	deadly
Oct.	NP	Oct.
7	CD	@card@
assault	NN	assault
.	SENT	.
<p>
The	DT	the
entryway	NN	entryway
to	TO	to
the	DT	the
tunnel	NN	tunnel
is	VBZ	be
just	RB	just
a	DT	a
few	JJ	few
hundred	CD	hundred
meters	NNS	meter
(	(	(
yards	NNS	yard
)	)	)
from	IN	from
the	DT	the
heavily	RB	heavily
fortified	VBN	fortify
Erez	NP	<unknown>
crossing	NN	crossing
and	CC	and
a	DT	a
nearby	JJ	nearby
Israeli	JJ	Israeli
military	JJ	military
base	NN	base
.	SENT	.
<p>
The	DT	the
military	NN	military
said	VBD	say
it	PP	it
stretches	VBZ	stretch
for	IN	for
over	IN	over
4	CD	@card@
kilometers	NNS	kilometer
(	(	(
2.5	CD	@card@
miles	NNS	mile
)	)	)
,	,	,
links	VBZ	link
up	RP	up
with	IN	with
a	DT	a
sprawling	JJ	sprawling
tunnel	NN	tunnel
network	NN	network
across	IN	across
Gaza	NP	Gaza
and	CC	and
is	VBZ	be
wide	JJ	wide
enough	RB	enough
for	IN	for
cars	NNS	car
to	TO	to
pass	VB	pass
through	RP	through
.	SENT	.
The	DT	the
army	NN	army
said	VBD	say
Sunday	NP	Sunday
that	IN	that
the	DT	the
tunnel	NN	tunnel
facilitated	VBD	facilitate
the	DT	the
transit	NN	transit
of	IN	of
vehicles	NNS	vehicle
,	,	,
militants	NNS	militant
,	,	,
and	CC	and
supplies	NNS	supply
in	IN	in
preparation	NN	preparation
for	IN	for
the	DT	the
Oct.	NP	Oct.
7	CD	@card@
attack	NN	attack
.	SENT	.
<p>
That	DT	that
day	NN	day
,	,	,
militants	NNS	militant
used	VBD	use
a	DT	a
rocket-propelled	VBN	rocket-propel
grenade	NN	grenade
to	TO	to
break	VB	break
past	IN	past
the	DT	the
portion	NN	portion
of	IN	of
wall	NN	wall
close	NN	close
to	TO	to
the	DT	the
Erez	NP	<unknown>
crossing	NN	crossing
and	CC	and
stormed	VBD	storm
the	DT	the
base	NN	base
,	,	,
killing	VBG	kill
at	IN	at
least	JJS	least
three	CD	three
soldiers	NNS	soldier
and	CC	and
kidnapping	VBG	kidnap
some	DT	some
back	NN	back
to	TO	to
Gaza	NP	Gaza
,	,	,
the	DT	the
army	NN	army
said	VBD	say
.	SENT	.
It	PP	it
was	VBD	be
one	CD	one
of	IN	of
several	JJ	several
places	NNS	place
along	IN	along
the	DT	the
border	NN	border
wall	NN	wall
where	WRB	where
militants	NNS	militant
easily	RB	easily
blew	VBD	blow
past	NN	past
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
some	DT	some
1,200	CD	@card@
people	NNS	people
and	CC	and
took	VBD	take
about	RB	about
240	CD	@card@
others	NNS	other
hostage	NN	hostage
.	SENT	.
<p>
The	DT	the
unprecedented	JJ	unprecedented
attack	NN	attack
triggered	VBD	trigger
a	DT	a
devastating	JJ	devastating
war	NN	war
that	WDT	that
has	VBZ	have
raged	VBN	rage
for	IN	for
over	IN	over
10	CD	@card@
weeks	NNS	week
and	CC	and
claimed	VBN	claim
over	IN	over
18,000	CD	@card@
lives	NNS	life
in	IN	in
the	DT	the
Hamas-ruled	NP	<unknown>
Gaza	NP	Gaza
Strip	NP	Strip
,	,	,
according	VBG	accord
to	TO	to
Palestinian	JJ	Palestinian
health	NN	health
officials	NNS	official
.	SENT	.
Israel	NP	Israel
says	VBZ	say
destruction	NN	destruction
of	IN	of
Hamas	NP	<unknown>
'	POS	'
tunnel	NN	tunnel
network	NN	network
is	VBZ	be
a	DT	a
major	JJ	major
objective	NN	objective
and	CC	and
that	IN	that
much	RB	much
of	IN	of
the	DT	the
underground	JJ	underground
network	NN	network
runs	VBZ	run
beneath	IN	beneath
schools	NNS	school
,	,	,
hospitals	NNS	hospital
and	CC	and
residential	JJ	residential
areas	NNS	area
.	SENT	.
<p>
Israel	NP	Israel
'	POS	'
s	NN	S
military	NN	military
,	,	,
intelligence	NN	intelligence
and	CC	and
political	JJ	political
officials	NNS	official
have	VBP	have
come	VBN	come
under	IN	under
heavy	JJ	heavy
criticism	NN	criticism
for	IN	for
failing	VBG	fail
to	TO	to
detect	VB	detect
the	DT	the
attack	NN	attack
ahead	RB	ahead
of	IN	of
time	NN	time
.	SENT	.
<p>
Maj.	NP	<unknown>
Nir	NP	Nir
Dinar	NN	dinar
,	,	,
a	DT	a
military	JJ	military
spokesperson	NN	spokesperson
,	,	,
said	VBD	say
that	IN	that
Israeli	JJ	Israeli
security	NN	security
services	NNS	service
did	VBD	do
not	RB	not
know	VB	know
about	IN	about
the	DT	the
tunnel	NN	tunnel
before	IN	before
Oct.	NP	Oct.
7	CD	@card@
because	IN	because
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
border	NN	border
defenses	NNS	defense
only	RB	only
detected	VBD	detect
tunnels	NNS	tunnel
meant	VBD	mean
to	TO	to
enter	VB	enter
Israel	NP	Israel
.	SENT	.
<p>
"	``	"
As	RB	as
far	RB	far
as	IN	as
I	PP	I
know	VBP	know
,	,	,
this	DT	this
tunnel	NN	tunnel
does	VBZ	do
n't	RB	n't
cross	VB	cross
from	IN	from
Gaza	NP	Gaza
into	IN	into
Israel	NP	Israel
and	CC	and
stops	NNS	stop
within	IN	within
400	CD	@card@
meters	NNS	meter
from	IN	from
the	DT	the
border	NN	border
,	,	,
which	WDT	which
means	VBZ	mean
the	DT	the
indicators	NNS	indicator
wo	MD	wo
n't	RB	n't
indicate	VB	indicate
that	IN	that
a	DT	a
tunnel	NN	tunnel
is	VBZ	be
being	VBG	be
built	VBN	build
,	,	,
"	''	"
Dinar	NN	dinar
said	VBD	say
.	SENT	.
He	PP	he
added	VBD	add
that	IN	that
the	DT	the
entrance	NN	entrance
,	,	,
a	DT	a
circular	JJ	circular
cement	NN	cement
opening	NN	opening
leading	VBG	lead
to	TO	to
a	DT	a
cavernous	JJ	cavernous
passageway	NN	passageway
,	,	,
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
drones	VBZ	drone
and	CC	and
satellite	NN	satellite
images	NNS	image
.	SENT	.
<p>
While	IN	while
the	DT	the
military	NN	military
was	VBD	be
aware	JJ	aware
that	IN	that
Hamas	NP	<unknown>
had	VBD	have
an	DT	an
extensive	JJ	extensive
tunnel	NN	tunnel
network	NN	network
,	,	,
Dinar	NN	dinar
said	VBD	say
they	PP	they
did	VBD	do
not	RB	not
think	VB	think
the	DT	the
militants	NNS	militant
would	MD	would
be	VB	be
able	JJ	able
to	TO	to
carry	VB	carry
out	RP	out
their	PP$	their
plans	NNS	plan
for	IN	for
a	DT	a
large-scale	JJ	large-scale
attack	NN	attack
.	SENT	.
<p>
"	``	"
It	PP	it
'	POS	'
s	NNS	<unknown>
no	DT	no
surprise	NN	surprise
that	IN	that
this	DT	this
was	VBD	be
the	DT	the
Hamas	JJ	<unknown>
strategy	NN	strategy
