<h>
American-Israeli	JJ	American-Israeli
citizen	NN	citizen
taken	VBN	take
hostage	NN	hostage
by	IN	by
Hamas	JJ	<unknown>
dies	NNS	die
in	IN	in
Gaza	NP	Gaza
<p>
An	DT	an
American	JJ	American
citizen	NN	citizen
who	WP	who
was	VBD	be
taken	VBN	take
hostage	NN	hostage
by	IN	by
Hamas	NNS	<unknown>
during	IN	during
the	DT	the
7	CD	@card@
October	NP	October
attacks	NNS	attack
on	IN	on
Israel	NP	Israel
has	VBZ	have
died	VBN	die
in	IN	in
captivity	NN	captivity
in	IN	in
Gaza	NP	Gaza
,	,	,
according	VBG	accord
to	TO	to
a	DT	a
group	NN	group
representing	VBG	represent
hostages	NNS	hostage
'	POS	'
families	NNS	family
.	SENT	.
<p>
Gadi	NP	<unknown>
Haggai	NP	<unknown>
,	,	,
a	DT	a
73-year-old	JJ	73-year-old
US	NP	US
and	CC	and
Israeli	JJ	Israeli
dual	JJ	dual
national	JJ	national
,	,	,
was	VBD	be
out	RB	out
for	IN	for
a	DT	a
walk	NN	walk
with	IN	with
his	PP$	his
wife	NN	wife
Judith	NP	Judith
Weinstein	NP	Weinstein
Haggai	NP	<unknown>
,	,	,
70	CD	@card@
,	,	,
in	IN	in
the	DT	the
Kibbutz	NN	kibbutz
Nir	NN	Nir
Oz	NP	Oz
where	WRB	where
they	PP	they
lived	VBD	live
that	DT	that
morning	NN	morning
when	WRB	when
Hamas	NN	<unknown>
militants	NNS	militant
stormed	VBD	storm
across	IN	across
the	DT	the
border	NN	border
into	IN	into
Israel	NP	Israel
,	,	,
the	DT	the
Missing	JJ	missing
Persons	NP	Persons
Families	NNS	family
Forum	NP	Forum
said	VBD	say
.	SENT	.
<p>
The	DT	the
couple	NN	couple
was	VBD	be
reportedly	RB	reportedly
shot	VBN	shoot
at	IN	at
,	,	,
with	IN	with
Gadi	NP	<unknown>
Haggai	NP	<unknown>
left	VBD	leave
critically	RB	critically
injured	VBN	injure
.	SENT	.
<p>
Neither	CC	neither
of	IN	of
them	PP	them
has	VBZ	have
been	VBN	be
seen	VBN	see
or	CC	or
heard	VBN	hear
from	IN	from
since	IN	since
.	SENT	.
<p>
The	DT	the
Israeli	JJ	Israeli
military	NN	military
told	VBD	tell
Haggai	NP	<unknown>
'	POS	'
s	JJ	<unknown>
family	NN	family
members	NNS	member
10	CD	@card@
days	NNS	day
