<p>
Two	CD	two
weeks	NNS	week
ahead	RB	ahead
of	IN	of
Palestine	NP	Palestine
'	POS	'
s	JJ	<unknown>
opening	NN	opening
game	NN	game
at	IN	at
the	DT	the
2023	CD	@card@
Asian	NP	Asian
Cup	NP	Cup
in	IN	in
Qatar	NP	Qatar
,	,	,
the	DT	the
team	NN	team
is	VBZ	be
struggling	VBG	struggle
to	TO	to
focus	VB	focus
as	IN	as
war	NN	war
rages	NNS	rage
on	IN	on
in	IN	in
Gaza	NP	Gaza
,	,	,
where	WRB	where
thousands	NNS	thousand
have	VBP	have
been	VBN	be
killed	VBN	kill
.	SENT	.
<p>
Some	DT	some
players	NNS	player
have	VBP	have
lost	VBN	lose
loved	VBN	love
ones	NNS	one
in	IN	in
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
relentless	JJ	relentless
bombardment	NN	bombardment
of	IN	of
the	DT	the
besieged	JJ	besieged
territory	NN	territory
in	IN	in
response	NN	response
to	TO	to
Hamas	NP	<unknown>
'	POS	'
s	JJ	<unknown>
October	NP	October
7	CD	@card@
attack	NN	attack
on	IN	on
southern	JJ	southern
Israel	NP	Israel
.	SENT	.
<p>
Much	RB	much
of	IN	of
Gaza	NP	Gaza
has	VBZ	have
been	VBN	be
reduced	VBN	reduce
to	TO	to
rubble	NN	rubble
,	,	,
including	VBG	include
stadiums	NNS	stadium
,	,	,
in	IN	in
air	NN	air
and	CC	and
artillery	NN	artillery
strikes	NNS	strike
and	CC	and
a	DT	a
ground	NN	ground
offensive	NN	offensive
,	,	,
and	CC	and
football	NN	football
fields	NNS	field
have	VBP	have
been	VBN	be
used	VBN	use
as	IN	as
makeshift	JJ	makeshift
graves	NNS	grave
for	IN	for
some	DT	some
of	IN	of
the	DT	the
dead	NN	dead
as	IN	as
many	JJ	many
cemeteries	NNS	cemetery
are	VBP	be
either	RB	either
full	JJ	full
or	CC	or
inaccessible	JJ	inaccessible
.	SENT	.
<p>
"	``	"
Everyone	NN	everyone
is	VBZ	be
glued	VBN	glue
to	TO	to
the	DT	the
news	NN	news
,	,	,
before	IN	before
and	CC	and
after	IN	after
training	NN	training
,	,	,
be	VB	be
it	PP	it
on	IN	on
the	DT	the
bus	NN	bus
or	CC	or
at	IN	at
the	DT	the
hotel	NN	hotel
,	,	,
"	''	"
the	DT	the
team	NN	team
'	POS	'
s	NN	S
coach	NN	coach
,	,	,
Makram	NP	Makram
Daboub	NP	<unknown>
,	,	,
said	VBD	say
from	IN	from
Saudi	NP	Saudi
Arabia	NP	Arabia
where	WRB	where
the	DT	the
players	NNS	player
were	VBD	be
training	VBG	train
.	SENT	.
<p>
Qatar	NP	Qatar
hosts	VBZ	host
the	DT	the
2023	CD	@card@
Asian	NP	Asian
Cup	NP	Cup
from	IN	from
January	NP	January
12	CD	@card@
to	TO	to
February	NP	February
10	CD	@card@
,	,	,
and	CC	and
Palestine	NP	Palestine
will	MD	will
play	VB	play
its	PP$	its
opening	NN	opening
game	NN	game
on	IN	on
January	NP	January
14	CD	@card@
against	IN	against
Iran	NP	Iran
.	SENT	.
<p>
The	DT	the
players	NNS	player
have	VBP	have
"	``	"
a	DT	a
constant	JJ	constant
feeling	NN	feeling
of	IN	of
anxiety	NN	anxiety
for	IN	for
their	PP$	their
families	NNS	family
"	''	"
,	,	,
Daboub	NP	<unknown>
,	,	,
a	DT	a
former	NN	former
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
The	DT	the
Palestinian	JJ	Palestinian
Football	NP	Football
Association	NP	Association
had	VBD	have
celebrated	VBN	celebrate
in	IN	in
June	NP	June
last	JJ	last
year	NN	year
when	WRB	when
the	DT	the
national	JJ	national
team	NN	team
won	NN	won
--	:	--
for	IN	for
the	DT	the
third	JJ	third
time	NN	time
--	:	--
a	DT	a
spot	NN	spot
in	IN	in
the	DT	the
Asian	JJ	Asian
cup	NN	cup
.	SENT	.
<p>
But	CC	but
with	IN	with
no	DT	no
end	NN	end
in	IN	in
sight	NN	sight
to	TO	to
the	DT	the
Gaza	NP	Gaza
war	NN	war
,	,	,
the	DT	the
team	NN	team
now	RB	now
feels	VBZ	feel
crushed	VBN	crush
as	IN	as
they	PP	they
try	VBP	try
to	TO	to
prepare	VB	prepare
for	IN	for
the	DT	the
upcoming	JJ	upcoming
competition	NN	competition
.	SENT	.
<p>
"	``	"
We	PP	we
have	VBP	have
physical	JJ	physical
,	,	,
technical	JJ	technical
and	CC	and
tactical	JJ	tactical
problems	NNS	problem
due	JJ	due
to	TO	to
the	DT	the
suspension	NN	suspension
of	IN	of
the	DT	the
tournament	NN	tournament
...	:	...
as	RB	as
well	RB	well
as	IN	as
psychological	JJ	psychological
issues	NNS	issue
,	,	,
"	''	"
said	VBD	say
Daboub	NP	<unknown>
.	SENT	.
<p>
Since	IN	since
the	DT	the
October	NP	October
7	CD	@card@
Hamas	JJ	<unknown>
attacks	NNS	attack
on	IN	on
Israel	NP	Israel
,	,	,
football	NN	football
matches	NNS	match
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
Israeli-occupied	JJ	Israeli-occupied
West	NP	West
Bank	NP	Bank
have	VBP	have
been	VBN	be
suspended	VBN	suspend
.	SENT	.
<p>
Many	JJ	many
players	NNS	player
are	VBP	be
struggling	VBG	struggle
,	,	,
particularly	RB	particularly
those	DT	those
like	JJ	like
Mahmoud	NP	Mahmoud
Wadi	NN	wadi
and	CC	and
Mohammed	NP	Mohammed
Saleh	NP	Saleh
who	WP	who
have	VBP	have
family	NN	family
trapped	VBN	trap
in	IN	in
Gaza	NP	Gaza
where	WRB	where
their	PP$	their
homes	NNS	home
have	VBP	have
been	VBN	be
destroyed	VBN	destroy
,	,	,
said	VBD	say
Daboub	NP	<unknown>
.	SENT	.
<p>
"	``	"
They	PP	they
are	VBP	be
suffering	VBG	suffer
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
Others	NNS	other
have	VBP	have
relatives	NNS	relative
who	WP	who
have	VBP	have
had	VBN	have
to	TO	to
flee	VB	flee
relentless	JJ	relentless
Israeli	JJ	Israeli
bombardment	NN	bombardment
in	IN	in
the	DT	the
north	NN	north
of	IN	of
the	DT	the
