<h>
Chicago	NP	Chicago
City	NP	City
Council	NP	Council
member	NN	member
on	IN	on
hot	JJ	hot
seat	NN	seat
over	IN	over
rally	NN	rally
appearance	NN	appearance
where	WRB	where
U.S.	NP	U.S.
flag	NN	flag
was	VBD	be
burned	VBN	burn
<h>
Ald.	NP	<unknown>
Byron	NP	Byron
Sigcho-Lopez	NP	Sigcho-Lopez
says	VBZ	say
he	PP	he
arrived	VBD	arrive
at	IN	at
the	DT	the
Friday	NP	Friday
rally	NN	rally
outside	IN	outside
City	NP	City
Hall	NP	Hall
after	IN	after
the	DT	the
flag	NN	flag
was	VBD	be
burned	VBN	burn
to	TO	to
protest	VB	protest
U.S.	NP	U.S.
support	NN	support
for	IN	for
Israel	NP	Israel
,	,	,
but	CC	but
some	DT	some
of	IN	of
his	PP$	his
colleagues	NNS	colleague
do	VBP	do
n't	RB	n't
buy	VB	buy
it	PP	it
and	CC	and
want	VBP	want
him	PP	him
censured	VBD	censure
.	SENT	.
<p>
Ald.	NP	<unknown>
Byron	NP	Byron
Sigcho-Lopez	NP	Sigcho-Lopez
(	(	(
25th	JJ	25th
)	)	)
speaks	VBZ	speak
during	IN	during
a	DT	a
Friday	NP	Friday
evening	NN	evening
rally	NN	rally
outside	IN	outside
City	NP	City
Hall	NP	Hall
after	IN	after
an	DT	an
American	JJ	American
flag	NN	flag
was	VBD	be
burned	VBN	burn
to	TO	to
protest	VB	protest
U.S.	NP	U.S.
support	NN	support
for	IN	for
Israel	NP	Israel
.	SENT	.
<p>
Provided	VBN	provide
by	IN	by
Matthew	NP	Matthew
Kaplan	NP	Kaplan
<p>
City	NP	City
Council	NP	Council
members	NNS	member
are	VBP	be
talking	VBG	talk
about	IN	about
censuring	VBG	censure
one	CD	one
of	IN	of
their	PP$	their
own	JJ	own
for	IN	for
appearing	VBG	appear
at	IN	at
a	DT	a
rally	NN	rally
outside	IN	outside
City	NP	City
Hall	NP	Hall
where	WRB	where
an	DT	an
American	JJ	American
flag	NN	flag
was	VBD	be
burned	VBN	burn
to	TO	to
protest	VB	protest
U.S.	NP	U.S.
support	NN	support
for	IN	for
Israel	NP	Israel
.	SENT	.
<p>
Ald.	NP	<unknown>
