<h>
UN	NP	UN
chief	JJ	chief
to	TO	to
Israel	NP	Israel
:	:	:
196	CD	@card@
aid	NN	aid
workers	NNS	worker
have	VBP	have
been	VBN	be
killed	VBN	kill
,	,	,
why	WRB	why
?	SENT	?
<p>
Reuters	NP	Reuters
<p>
Global	NP	Global
outrage	NN	outrage
at	IN	at
the	DT	the
humanitarian	JJ	humanitarian
crisis	NN	crisis
in	IN	in
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territory	NN	territory
of	IN	of
2.3mln	JJ	<unknown>
people	NNS	people
escalated	VBN	escalate
after	IN	after
three	CD	three
Israeli	JJ	Israeli
airstrikes	NNS	airstrike
on	IN	on
Monday	NP	Monday
killed	VBD	kill
seven	CD	seven
people	NNS	people
working	VBG	work
for	IN	for
U.S.-based	JJ	U.S.-based
food	NN	food
charity	NN	charity
World	NP	World
Central	NP	Central
Kitchen	NP	Kitchen
<p>
UNITED	NP	UNITED
NATIONS	NNS	nation
-	NN	<unknown>
U.N	NP	U.N
.	SENT	.
Secretary-General	NP	Secretary-General
Antonio	NP	Antonio
Guterres	NP	Guterres
on	IN	on
Friday	NP	Friday
called	VBD	call
for	IN	for
independent	JJ	independent
investigations	NNS	investigation
into	IN	into
the	DT	the
deaths	NNS	death
of	IN	of
all	DT	all
196	CD	@card@
aid	NN	aid
workers	NNS	worker
killed	VBN	kill
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
during	IN	during
the	DT	the
Israel-Hamas	JJ	<unknown>
war	NN	war
and	CC	and
said	VBD	say
he	PP	he
hopes	VBZ	hope
Israel	NP	Israel
quickly	RB	quickly
and	CC	and
effectively	RB	effectively
boosts	VBZ	boost
aid	NN	aid
access	NN	access
.	SENT	.
<p>
Global	JJ	global
outrage	NN	outrage
at	IN	at
the	DT	the
humanitarian	JJ	humanitarian
crisis	NN	crisis
in	IN	in
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territory	NN	territory
of	IN	of
2.3	CD	@card@
million	CD	million
people	NNS	people
escalated	VBN	escalate
after	IN	after
three	CD	three
Israeli	JJ	Israeli
airstrikes	NNS	airstrike
on	IN	on
Monday	NP	Monday
killed	VBD	kill
seven	CD	seven
people	NNS	people
working	VBG	work
for	IN	for
