<h>
Senior	JJ	Senior
UK	NP	UK
jurists	NNS	jurist
have	VBP	have
joined	VBN	join
calls	NNS	call
to	TO	to
stop	VB	stop
arms	NNS	arm
sales	NNS	sale
to	TO	to
Israel	NP	Israel
.	SENT	.
Other	JJ	other
allies	NNS	ally
face	VBP	face
similar	JJ	similar
pressure	NN	pressure
<p>
More	JJR	more
than	IN	than
600	CD	@card@
British	JJ	British
jurists	NNS	jurist
are	VBP	be
calling	VBG	call
on	IN	on
the	DT	the
government	NN	government
to	TO	to
suspend	VB	suspend
arms	NNS	arm
sales	NNS	sale
to	TO	to
Israel	NP	Israel
<p>
ByJILL	NP	<unknown>
LAWLESS	JJ	lawless
Associated	NP	Associated
Press	NP	Press
<p>
April	NP	April
4	CD	@card@
,	,	,
2024	CD	@card@
,	,	,
7:15	CD	@card@
AM	VBP	be
<p>
1:08	CD	@card@
<p>
People	NNS	people
inspect	VBP	inspect
the	DT	the
site	NN	site
where	WRB	where
World	NP	World
Central	NP	Central
Kitchen	NP	Kitchen
workers	NNS	worker
were	VBD	be
killed	VBN	kill
in	IN	in
Deir	NP	Deir
al-Balah	NP	<unknown>
,	,	,
Gaza	NP	Gaza
Strip	NP	Strip
,	,	,
Tuesday	NP	Tuesday
,	,	,
April	NP	April
2	CD	@card@
,	,	,
2024	CD	@card@
.	SENT	.
World	NP	World
Central	NP	Central
Kitchen	NP	Kitchen
,	,	,
an	DT	an
aid	NN	aid
group	NN	group
,	,	,
says	VBZ	say
an	DT	an
Israeli	JJ	Israeli
strike	NN	strike
that	WDT	that
hit	VBD	hit
its	PP$	its
workers	NNS	worker
in	IN	in
Gaza	NP	Gaza
killed	VBD	kill
at	IN	at
least	JJS	least
seven	CD	seven
people	NNS	people
,	,	,
including	VBG	include
several	JJ	several
foreigners	NNS	foreigner
.	SENT	.
(	(	(
AP	NP	AP
Photo/Abdel	NP	Photo/Abdel
Kareem	NP	Kareem
Hana	NP	Hana
)	)	)
<p>
The	DT	the
Associated	NP	Associated
Press	NP	Press
<p>
LONDON	NP	LONDON
--	:	--
More	JJR	more
than	IN	than
600	CD	@card@
British	JJ	British
jurists	NNS	jurist
,	,	,
including	VBG	include
three	CD	three
retired	VBN	retire
judges	NNS	judge
from	IN	from
the	DT	the
U.K.	NP	U.K.
Supreme	NP	Supreme
Court	NP	Court
,	,	,
are	VBP	be
calling	VBG	call
on	IN	on
the	DT	the
government	NN	government
to	TO	to
suspend	VB	suspend
arms	NNS	arm
sales	NNS	sale
to	TO	to
Israel	NP	Israel
,	,	,
piling	VBG	pile
pressure	NN	pressure
on	IN	on
Prime	NP	Prime
Minister	NP	Minister
Rishi	NP	<unknown>
Sunak	NP	<unknown>
after	IN	after
the	DT	the
deaths	NNS	death
of	IN	of
three	CD	three
U.K.	NP	U.K.
aid	NN	aid
workers	NNS	worker
in	IN	in
an	DT	an
Israeli	JJ	Israeli
strike	NN	strike
.	SENT	.
<p>
Britain	NP	Britain
is	VBZ	be
just	RB	just
one	CD	one
of	IN	of
a	DT	a
number	NN	number
of	IN	of
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
longstanding	JJ	longstanding
allies	NNS	ally
whose	WP$	whose
governments	NNS	government
are	VBP	be
under	IN	under
growing	VBG	grow
pressure	NN	pressure
to	TO	to
halt	VB	halt
weapons	NNS	weapon
exports	NNS	export
because	IN	because
of	IN	of
the	DT	the
toll	NN	toll
of	IN	of
the	DT	the
six-month-old	JJ	six-month-old
war	NN	war
in	IN	in
Gaza	NP	Gaza
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Wednesday	NP	Wednesday
,	,	,
the	DT	the
lawyers	NNS	lawyer
and	CC	and
judges	NNS	judge
said	VBD	say
the	DT	the
U.K.	NP	U.K.
could	MD	could
be	VB	be
complicit	JJ	complicit
in	IN	in
"	``	"
grave	JJ	grave
breaches	NNS	breach
of	IN	of
international	JJ	international
law	NN	law
"	''	"
if	IN	if
it	PP	it
continues	VBZ	continue
to	TO	to
ship	VB	ship
weapons	NNS	weapon
.	SENT	.
<p>
Signatories	NNS	signatory
,	,	,
including	VBG	include
former	JJ	former
Supreme	NP	Supreme
Court	NP	Court
President	NP	President
Brenda	NP	Brenda
Hale	NP	Hale
,	,	,
said	VBD	say
Britain	NP	Britain
is	VBZ	be
legally	RB	legally
obliged	VBN	oblige
to	TO	to
heed	VB	heed
the	DT	the
International	NP	International
Court	NP	Court
of	IN	of
Justice	NP	Justice
'	POS	'
s	JJ	<unknown>
conclusion	NN	conclusion
that	IN	that
there	EX	there
is	VBZ	be
a	DT	a
"	``	"
plausible	JJ	plausible
risk	NN	risk
of	IN	of
genocide	NN	genocide
"	''	"
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
The	DT	the
letter	NN	letter
said	VBD	say
the	DT	the
"	``	"
sale	NN	sale
of	IN	of
weapons	NNS	weapon
and	CC	and
weapons	NNS	weapon
systems	NNS	system
to	TO	to
Israel	NP	Israel
...	:	...
falls	VBZ	fall
significantly	RB	significantly
short	JJ	short
of	IN	of
your	PP$	your
government	NN	government
'	POS	'
s	NN	S
obligations	NNS	obligation
under	IN	under
international	JJ	international
law	NN	law
.	SENT	.
"	''	"
<p>
Britain	NP	Britain
is	VBZ	be
a	DT	a
staunch	JJ	staunch
ally	NN	ally
of	IN	of
Israel	NP	Israel
,	,	,
but	CC	but
relations	NNS	relation
have	VBP	have
been	VBN	be
tested	VBN	test
by	IN	by
the	DT	the
mounting	VBG	mount
death	NN	death
toll	NN	toll
,	,	,
largely	RB	largely
civilian	JJ	civilian
,	,	,
from	IN	from
the	DT	the
war	NN	war
.	SENT	.
Calls	NNS	call
for	IN	for
an	DT	an
end	NN	end
to	TO	to
arms	NNS	arm
exports	NNS	export
have	VBP	have
escalated	VBN	escalate
since	IN	since
an	DT	an
Israeli	JJ	Israeli
airstrike	NN	airstrike
killed	VBD	kill
seven	CD	seven
aid	NN	aid
workers	NNS	worker
from	IN	from
the	DT	the
aid	NN	aid
charity	NN	charity
World	NP	World
Central	NP	Central
Kitchen	NP	Kitchen
,	,	,
three	CD	three
of	IN	of
them	PP	them
British	JJ	British
.	SENT	.
<p>
Israel	NP	Israel
says	VBZ	say
the	DT	the
attack	NN	attack
on	IN	on
the	DT	the
aid	NN	aid
workers	NNS	worker
was	VBD	be
a	DT	a
mistake	NN	mistake
caused	VBN	cause
by	IN	by
"	``	"
misidentification	NN	misidentification
.	SENT	.
"	``	"
<p>
The	DT	the
U.K.	NP	U.K.
'	POS	'
s	JJ	<unknown>
main	JJ	main
opposition	NN	opposition
parties	NNS	party
have	VBP	have
all	RB	all
said	VBN	say
the	DT	the
Conservative	JJ	Conservative
government	NN	government
should	MD	should
halt	VB	halt
weapons	NNS	weapon
sales	NNS	sale
to	TO	to
Israel	NP	Israel
if	IN	if
the	DT	the
country	NN	country
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Conservatives	NNS	conservative
have	VBP	have
urged	VBN	urge
the	DT	the
same	JJ	same
,	,	,
including	VBG	include
Alicia	NP	Alicia
Kearns	NP	Kearns
,	,	,
who	WP	who
heads	VBZ	head
the	DT	the
House	NP	House
of	IN	of
Commons	NP	Commons
foreign	JJ	foreign
affairs	NNS	affair
committee	NN	committee
.	SENT	.
<p>
Sunak	NP	<unknown>
has	VBZ	have
not	RB	not
committed	VBN	commit
to	TO	to
an	DT	an
arms	NNS	arm
export	NN	export
ban	NN	ban
,	,	,
but	CC	but
said	VBD	say
Wednesday	NP	Wednesday
that	IN	that
"	``	"
while	IN	while
of	IN	of
course	NN	course
we	PP	we
defend	VBP	defend
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
right	NN	right
to	TO	to
defend	VB	defend
itself	PP	itself
and	CC	and
its	PP$	its
people	NNS	people
against	IN	against
attacks	NNS	attack
from	IN	from
Hamas	NN	<unknown>
,	,	,
they	PP	they
have	VBP	have
to	TO	to
do	VB	do
that	IN	that
in	IN	in
accordance	NN	accordance
with	IN	with
international	JJ	international
humanitarian	JJ	humanitarian
law	NN	law
.	SENT	.
"	''	"
<p>
British	JJ	British
firms	NNS	firm
sell	VBP	sell
a	DT	a
relatively	RB	relatively
small	JJ	small
amount	NN	amount
of	IN	of
weapons	NNS	weapon
and	CC	and
components	NNS	component
to	TO	to
Israel	NP	Israel
.	SENT	.
Defense	NP	Defense
Secretary	NP	Secretary
Grant	NP	Grant
Shapps	NP	<unknown>
has	VBZ	have
said	VBN	say
that	IN	that
military	JJ	military
exports	NNS	export
to	TO	to
Israel	NP	Israel
amounted	VBD	amount
to	TO	to
42	CD	@card@
million	CD	million
pounds	NNS	pound
(	(	(
$53	NN	<unknown>
million	CD	million
)	)	)
in	IN	in
2022	CD	@card@
.	SENT	.
<p>
Other	JJ	other
allies	NNS	ally
of	IN	of
Israel	NP	Israel
are	VBP	be
also	RB	also
facing	VBG	face
calls	NNS	call
to	TO	to
cut	VB	cut
off	RP	off
the	DT	the
supply	NN	supply
of	IN	of
weapons	NNS	weapon
and	CC	and
to	TO	to
push	VB	push
for	IN	for
a	DT	a
cease-fire	NN	cease-fire
in	IN	in
the	DT	the
conflict	NN	conflict
,	,	,
which	WDT	which
has	VBZ	have
killed	VBN	kill
more	JJR	more
than	IN	than
32,000	CD	@card@
Palestinians	NNS	Palestinian
,	,	,
according	VBG	accord
to	TO	to
health	NN	health
authorities	NNS	authority
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
Spanish	NP	Spanish
Prime	NP	Prime
Minister	NP	Minister
Pedro	NP	Pedro
S	NP	S
?	SENT	?
nchez	NP	<unknown>
said	VBD	say
Thursday	NP	Thursday
that	IN	that
his	PP$	his
country	NN	country
had	VBD	have
stopped	VBN	stop
selling	VBG	sell
weapons	NNS	weapon
to	TO	to
Israel	NP	Israel
,	,	,
and	CC	and
urged	VBD	urge
other	JJ	other
nations	NNS	nation
to	TO	to
do	VB	do
the	DT	the
same	JJ	same
.	SENT	.
Sanchez	NP	Sanchez
said	VBD	say
Wednesday	NP	Wednesday
that	IN	that
his	PP$	his
government	NN	government
has	VBZ	have
