<p>
Palestinians	NPS	Palestinians
forced	VBD	force
from	IN	from
their	PP$	their
homes	NNS	home
in	IN	in
Khan	NP	Khan
Younis	NP	Younis
by	IN	by
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
military	JJ	military
offensive	NN	offensive
have	VBP	have
begun	VBN	begin
returning	VBG	return
in	IN	in
small	JJ	small
numbers	NNS	number
to	TO	to
the	DT	the
southern	JJ	southern
Gaza	NP	Gaza
city	NN	city
following	VBG	follow
the	DT	the
withdrawal	NN	withdrawal
of	IN	of
Israeli	JJ	Israeli
forces	NNS	force
,	,	,
with	IN	with
many	JJ	many
arriving	VBG	arrive
to	TO	to
find	VB	find
their	PP$	their
former	JJ	former
neighborhoods	NNS	neighborhood
looking	VBG	look
like	IN	like
wasteland	NN	wasteland
.	SENT	.
<p>
Video	JJ	video
footage	NN	footage
filmed	VBN	film
by	IN	by
a	DT	a
CNN	NP	CNN
stringer	NN	stringer
shows	VBZ	show
dozens	NNS	dozen
of	IN	of
returning	VBG	return
residents	NNS	resident
examining	VBG	examine
the	DT	the
ruins	NNS	ruin
of	IN	of
the	DT	the
city	NN	city
,	,	,
some	DT	some
of	IN	of
them	PP	them
standing	VBG	stand
atop	IN	atop
destroyed	VBN	destroy
buildings	NNS	building
,	,	,
sifting	VBG	sift
through	IN	through
heaps	NNS	heap
of	IN	of
rubble	NN	rubble
that	WDT	that
had	VBD	have
once	RB	once
been	VBN	be
homes	NNS	home
.	SENT	.
<p>
The	DT	the
Israeli	JJ	Israeli
military	NN	military
on	IN	on
Sunday	NP	Sunday
said	VBD	say
it	PP	it
had	VBD	have
withdrawn	VBN	withdraw
its	PP$	its
ground	NN	ground
forces	NNS	force
from	IN	from
Khan	NP	Khan
Younis	NP	Younis
after	IN	after
months	NNS	month
of	IN	of
fierce	JJ	fierce
fighting	NN	fighting
in	IN	in
what	WP	what
it	PP	it
described	VBD	describe
as	IN	as
a	DT	a
major	JJ	major
Hamas	NN	<unknown>
stronghold	NN	stronghold
.	SENT	.
Much	RB	much
of	IN	of
the	DT	the
city	NN	city
,	,	,
once	RB	once
home	NN	home
to	TO	to
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
people	NNS	people
,	,	,
has	VBZ	have
been	VBN	be
bulldozed	VBN	bulldoze
and	CC	and
the	DT	the
video	NN	video
shows	VBZ	show
the	DT	the
frames	NNS	frame
of	IN	of
homes	NNS	home
completely	RB	completely
ripped	VBD	rip
up	RP	up
alongside	IN	alongside
roads	NNS	road
strewn	VBN	strew
with	IN	with
rubble	NN	rubble
and	CC	and
debris	NN	debris
.	SENT	.
<p>
It	PP	it
shows	VBZ	show
the	DT	the
returning	VBG	return
residents	NNS	resident
retrieving	VBG	retrieve
what	WP	what
few	JJ	few
things	NNS	thing
they	PP	they
can	MD	can
salvage	VB	salvage
;	:	;
mattresses	NNS	mattress
,	,	,
carpets	NNS	carpet
,	,	,
kitchen	NN	kitchen
containers	NNS	container
and	CC	and
blocks	NNS	block
of	IN	of
wood	NN	wood
.	SENT	.
Some	DT	some
children	NNS	child
carry	VBP	carry
sofas	NNS	sofa
and	CC	and
chairs	NNS	chair
over	IN	over
their	PP$	their
backs	NNS	back
.	SENT	.
<p>
"	``	"
This	DT	this
is	VBZ	be
what	WP	what
has	VBZ	have
become	VBN	become
of	IN	of
Gaza	NP	Gaza
,	,	,
"	''	"
says	VBZ	say
one	CD	one
man	NN	man
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Other	JJ	other
former	JJ	former
residents	NNS	resident
traveled	VBD	travel
in	IN	in
on	IN	on
foot	NN	foot
,	,	,
some	DT	some
on	IN	on
bicycles	NNS	bicycle
,	,	,
some	RB	some
on	IN	on
pickup	NN	pickup
trucks	NNS	truck
and	CC	and
some	DT	some
on	IN	on
the	DT	the
back	NN	back
of	IN	of
donkeys	NNS	donkey
.	SENT	.
<p>
Former	JJ	former
residents	NNS	resident
retrieve	VBP	retrieve
belongings	NNS	belonging
from	IN	from
their	PP$	their
homes	NNS	home
in	IN	in
Khan	NP	Khan
Younis	NP	Younis
,	,	,
Gaza	NP	Gaza
,	,	,
on	IN	on
April	NP	April
7	CD	@card@
,	,	,
2024	CD	@card@
.	SENT	.
<p>
Ahmad	NP	Ahmad
Hasaballah/Getty	NP	Hasaballah/Getty
Images	NNS	image
<h>
'	POS	'
Devastation	NN	devastation
everywhere	RB	everywhere
'	''	'
<p>
Perched	VBN	perch
atop	IN	atop
a	DT	a
dusty	JJ	dusty
rug	NN	rug
with	IN	with
her	PP$	her
back	RB	back
resting	JJ	resting
on	IN	on
a	DT	a
large	JJ	large
cushion	NN	cushion
,	,	,
12-year-old	JJ	12-year-old
Aseel	NP	<unknown>
points	NNS	point
to	TO	to
a	DT	a
pile	NN	pile
of	IN	of
rubble	NN	rubble
in	IN	in
front	NN	front
of	IN	of
her	PP$	her
where	WRB	where
she	PP	she
says	VBZ	say
her	PP$	her
home	NN	home
used	VBN	use
to	TO	to
be	VB	be
.	SENT	.
<p>
"	``	"
There	EX	there
it	PP	it
was	VBD	be
,	,	,
it	PP	it
'	POS	'
s	NN	S
destroyed	VBD	destroy
,	,	,
"	``	"
she	PP	she
says	VBZ	say
.	SENT	.
<p>
"	``	"
Our	PP$	our
house	NN	house
is	VBZ	be
gone	VBN	go
.	SENT	.
We	PP	we
managed	VBD	manage
to	TO	to
grab	VB	grab
some	DT	some
pieces	NNS	piece
of	IN	of
furniture	NN	furniture
but	CC	but
we	PP	we
were	VBD	be
only	RB	only
able	JJ	able
to	TO	to
retrieve	VB	retrieve
small	JJ	small
things	NNS	thing
from	IN	from
our	PP$	our
house	NN	house
.	SENT	.
I	PP	I
wish	VBP	wish
I	PP	I
could	MD	could
'	''	'
ve	RB	<unknown>
gotten	VBN	get
my	PP$	my
clothes	NNS	clothes
