<h>
U.S.	NP	U.S.
sees	VBZ	see
promising	JJ	promising
'	''	'
breakthrough	NN	breakthrough
'	''	'
in	IN	in
Israel-Hamas	JJ	<unknown>
cease-fire	NN	cease-fire
talks	VBZ	talk
<p>
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
spoke	VBD	speak
with	IN	with
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
and	CC	and
discussed	VBN	discuss
details	NNS	detail
of	IN	of
the	DT	the
possible	JJ	possible
deal	NN	deal
,	,	,
which	WDT	which
a	DT	a
senior	JJ	senior
administration	NN	administration
official	NN	official
said	VBD	say
was	VBD	be
made	VBN	make
possible	JJ	possible
after	IN	after
a	DT	a
shift	NN	shift
by	IN	by
Hamas	NP	<unknown>
.	SENT	.
<p>
A	DT	a
"	``	"
breakthrough	NN	breakthrough
"	''	"
has	VBZ	have
been	VBN	be
made	VBN	make
in	IN	in
efforts	NNS	effort
to	TO	to
negotiate	VB	negotiate
a	DT	a
framework	NN	framework
agreement	NN	agreement
for	IN	for
a	DT	a
cease-fire	NN	cease-fire
deal	NN	deal
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
that	WDT	that
might	MD	might
end	VB	end
months	NNS	month
of	IN	of
fighting	VBG	fight
in	IN	in
Gaza	NP	Gaza
and	CC	and
lead	VB	lead
to	TO	to
the	DT	the
release	NN	release
of	IN	of
hostages	NNS	hostage
,	,	,
a	DT	a
senior	JJ	senior
Biden	NP	Biden
administration	NN	administration
official	NN	official
said	VBD	say
Thursday	NP	Thursday
.	SENT	.
<p>
"	``	"
We	PP	we
'	POS	'
ve	NN	ve
had	VBD	have
a	DT	a
breakthrough	NN	breakthrough
on	IN	on
a	DT	a
critical	JJ	critical
impasse	NN	impasse
,	,	,
"	''	"
the	DT	the
official	NN	official
said	VBD	say
on	IN	on
a	DT	a
media	NNS	medium
briefing	NN	briefing
call	NN	call
,	,	,
attributing	VBG	attribute
the	DT	the
development	NN	development
to	TO	to
a	DT	a
shift	NN	shift
in	IN	in
Hamas	NP	<unknown>
'	POS	'
stance	NN	stance
on	IN	on
a	DT	a
framework	NN	framework
deal	NN	deal
,	,	,
which	WDT	which
the	DT	the
official	NN	official
said	VBD	say
was	VBD	be
now	RB	now
"	``	"
fully	RB	fully
consistent	JJ	consistent
"	''	"
with	IN	with
the	DT	the
U.S.-drafted	JJ	<unknown>
agreement	NN	agreement
passed	VBN	pass
by	IN	by
the	DT	the
United	NP	United
Nations	NPS	Nations
Security	NP	Security
Council	NP	Council
last	JJ	last
month	NN	month
.	SENT	.
<p>
"	``	"
Now	RB	now
we	PP	we
'	POS	'
re	NN	re
on	IN	on
to	TO	to
the	DT	the
implementation	NN	implementation
steps	NNS	step
,	,	,
"	''	"
the	DT	the
official	NN	official
said	VBD	say
.	SENT	.
<p>
If	IN	if
a	DT	a
deal	NN	deal
is	VBZ	be
reached	VBN	reach
,	,	,
it	PP	it
would	MD	would
bring	VB	bring
an	DT	an
end	NN	end
to	TO	to
nearly	RB	nearly
nine	CD	nine
months	NNS	month
of	IN	of
fighting	VBG	fight
in	IN	in
Gaza	NP	Gaza
,	,	,
where	WRB	where
local	JJ	local
health	NN	health
officials	NNS	official
say	VBP	say
more	JJR	more
than	IN	than
38,000	CD	@card@
people	NNS	people
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
taken	VBN	take
captive	NN	captive
during	IN	during
Hamas	NP	<unknown>
'	POS	'
Oct.	NP	Oct.
7	CD	@card@
terrorist	JJ	terrorist
attacks	NNS	attack
,	,	,
in	IN	in
which	WDT	which
1,200	CD	@card@
people	NNS	people
were	VBD	be
killed	VBN	kill
and	CC	and
around	RB	around
250	CD	@card@
others	NNS	other
were	VBD	be
