<h>
During	IN	during
the	DT	the
investigation	NN	investigation
by	IN	by
the	DT	the
Shin	NP	Shin
Bet	NP	Bet
and	CC	and
the	DT	the
Southern	NP	Southern
District	NP	District
Police	NP	Police
,	,	,
it	PP	it
was	VBD	be
revealed	VBN	reveal
that	IN	that
Atta	NP	Atta
attempted	VBD	attempt
to	TO	to
initiate	VB	initiate
terrorist	JJ	terrorist
activities	NNS	activity
in	IN	in
Israel	NP	Israel
and	CC	and
sought	VBD	seek
to	TO	to
recruit	VB	recruit
others	NNS	other
as	IN	as
well	RB	well
.	SENT	.
<p>
A	DT	a
plot	NN	plot
to	TO	to
carry	VB	carry
out	RP	out
terrorist	JJ	terrorist
activities	NNS	activity
in	IN	in
Israel	NP	Israel
made	VBD	make
by	IN	by
residents	NNS	resident
of	IN	of
the	DT	the
Bedouin	NN	Bedouin
town	NN	town
of	IN	of
Tel	NP	Tel
Sheva	NP	Sheva
was	VBD	be
uncovered	VBN	uncover
by	IN	by
the	DT	the
Shin	NP	Shin
Bet	NP	Bet
and	CC	and
the	DT	the
Southern	NP	Southern
District	NP	District
of	IN	of
the	DT	the
Israel	NP	Israel
Police	NP	Police
,	,	,
and	CC	and
an	DT	an
indictment	NN	indictment
was	VBD	be
filed	VBN	file
against	IN	against
them	PP	them
on	IN	on
Thursday	NP	Thursday
.	SENT	.
<p>
IDF	NP	IDF
Spokesman	NN	spokesman
Daniel	NP	Daniel
Hagari	NP	<unknown>
said	VBD	say
in	IN	in
a	DT	a
Thursday	NP	Thursday
night	NN	night
statement	NN	statement
to	TO	to
the	DT	the
media	NNS	medium
that	IN	that
there	EX	there
are	VBP	be
no	DT	no
changes	NNS	change
to	TO	to
the	DT	the
current	JJ	current
Home	NP	Home
Front	NP	Front
Command	NP	Command
instructions	NNS	instruction
as	IN	as
the	DT	the
IDF	NP	IDF
continues	VBZ	continue
to	TO	to
prepare	VB	prepare
for	IN	for
attacks	NNS	attack
on	IN	on
all	DT	all
fronts	NNS	front
.	SENT	.
<p>
"	``	"
There	EX	there
are	VBP	be
no	DT	no
changes	NNS	change
to	TO	to
the	DT	the
home	NN	home
front	NN	front
command	NN	command
instructions	NNS	instruction
,	,	,
and	CC	and
we	PP	we
will	MD	will
update	VB	update
right	RB	right
away	RB	away
when	WRB	when
there	EX	there
will	MD	will
be	VB	be
.	SENT	.
We	PP	we
are	VBP	be
prepared	VBN	prepare
at	IN	at
peak	NN	peak
readiness	NN	readiness
.	SENT	.
"	''	"
Hargari	NP	<unknown>
said	VBD	say
.	SENT	.
Furthemore	RB	<unknown>
,	,	,
he	PP	he
emphazied	VBD	<unknown>
that	IN	that
the	DT	the
IDF	NP	IDF
is	VBZ	be
working	VBG	work
around	RP	around
the	DT	the
clock	NN	clock
to	TO	to
fight	VB	fight
against	IN	against
