<h>
Top	JJ	top
Stories	NP	Stories
<h>
Graham	NP	Graham
says	VBZ	say
Israel	NP	Israel
has	VBZ	have
window	VB	window
to	TO	to
'	''	'
replace	VB	replace
Hamas	NNS	<unknown>
forever	RB	forever
'	''	'
after	IN	after
Sinwar	NP	<unknown>
killing	VBG	kill
:	:	:
'	''	'
Door	NN	door
is	VBZ	be
now	RB	now
open	JJ	open
'	''	'
<p>
Danielle	NP	Danielle
Wallace	NP	Wallace
<p>
October	NP	October
20	CD	@card@
,	,	,
2024	CD	@card@
at	IN	at
11:53	CD	@card@
AM	NP	AM
<p>
Sen.	NP	Sen.
Lindsey	NP	Lindsey
Graham	NP	Graham
,	,	,
R-S.C	NP	<unknown>
.	SENT	.
,	,	,
said	VBD	say
Israel	NP	Israel
has	VBZ	have
an	DT	an
opportunity	NN	opportunity
to	TO	to
have	VB	have
new	JJ	new
leadership	NN	leadership
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
,	,	,
urging	VBG	urge
action	NN	action
following	VBG	follow
last	JJ	last
week	NN	week
'	POS	'
s	NNS	<unknown>
killing	VBG	kill
of	IN	of
Hamas	JJ	<unknown>
leader	NN	leader
and	CC	and
mastermind	NN	mastermind
of	IN	of
the	DT	the
Oct.	NP	Oct.
7	CD	@card@
attacks	NNS	attack
,	,	,
Yahya	NP	Yahya
Sinwar	NP	<unknown>
.	SENT	.
<p>
"	``	"
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
window	NN	window
here	RB	here
not	RB	not
only	RB	only
to	TO	to
end	VB	end
the	DT	the
fighting	NN	fighting
,	,	,
but	CC	but
to	TO	to
replace	VB	replace
Hamas	NNS	<unknown>
forever	RB	forever
,	,	,
"	''	"
Graham	NP	Graham
said	VBD	say
in	IN	in
an	DT	an
appearance	NN	appearance
on	IN	on
NBC	NP	NBC
'	POS	'
s	NN	S
"	``	"
Meet	VB	meet
the	DT	the
Press	NP	Press
.	SENT	.
"	''	"
"	``	"
And	CC	and
the	DT	the
way	NN	way
you	PP	you
do	VBP	do
that	IN	that
,	,	,
is	VBZ	be
you	PP	you
have	VBP	have
normalization	NN	normalization
between	IN	between
Saudi	NP	Saudi
Arabia	NP	Arabia
and	CC	and
Israel	NP	Israel
.	SENT	.
With	IN	with
the	DT	the
death	NN	death
of	IN	of
Sinwar	NP	<unknown>
,	,	,
the	DT	the
door	NN	door
is	VBZ	be
now	RB	now
open	JJ	open
to	TO	to
not	RB	not
only	RB	only
find	VB	find
a	DT	a
way	NN	way
to	TO	to
get	VB	get
Israel	NP	Israel
to	TO	to
turn	VB	turn
over	IN	over
Gaza	NP	Gaza
and	CC	and
eventually	RB	eventually
Lebanon	NP	Lebanon
,	,	,
but	CC	but
to	TO	to
have	VB	have
it	PP	it
replaced	VBN	replace
by	IN	by
an	DT	an
Arab	JJ	Arab
coalition	NN	coalition
offering	VBG	offer
a	DT	a
better	JJR	good
life	NN	life
to	TO	to
the	DT	the
Palestinians	NPS	Palestinians
.	SENT	.
"	''	"
<p>
"	``	"
I	NP	I
'	''	'
ve	RB	<unknown>
never	RB	never
been	VBN	be
more	RBR	more
hopeful	JJ	hopeful
that	IN	that
normalization	NN	normalization
between	IN	between
Saudi	NP	Saudi
Arabia	NP	Arabia
and	CC	and
Israel	NP	Israel
is	VBZ	be
possible	JJ	possible
,	,	,
"	''	"
he	PP	he
added	VBD	add
.	SENT	.
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
a	DT	a
year	NN	year
and	CC	and
a	DT	a
half	NN	half
.	SENT	.
I	PP	I
think	VBP	think
we	PP	we
'	''	'
re	IN	re
very	RB	very
close	JJ	close
.	SENT	.
"	''	"
<p>
Sen.	NP	Sen.
Lindsey	NP	Lindsey
Graham	NP	Graham
at	IN	at
a	DT	a
news	NN	news
conference	NN	conference
at	IN	at
the	DT	the
U.S.	NP	U.S.
Capitol	NP	Capitol
on	IN	on
July	NP	July
31	CD	@card@
,	,	,
2024	CD	@card@
.	SENT	.
<p>
Graham	NP	Graham
,	,	,
who	WP	who
has	VBZ	have
been	VBN	be
working	VBG	work
with	IN	with
the	DT	the
Biden	NP	Biden
administration	NN	administration
to	TO	to
broker	NN	broker
a	DT	a
deal	NN	deal
for	IN	for
Israel	NP	Israel
and	CC	and
Saudi	NP	Saudi
Arabia	NP	Arabia
to	TO	to
establish	VB	establish
diplomatic	JJ	diplomatic
ties	NNS	tie
by	IN	by
the	DT	the
end	NN	end
of	IN	of
the	DT	the
year	NN	year
,	,	,
also	RB	also
told	VBD	tell
NBC	NP	NBC
host	NN	host
Kristen	NP	Kristen
Welker	NP	Welker
that	IN	that
he	PP	he
anticipated	VBD	anticipate
a	DT	a
counterattack	NN	counterattack
by	IN	by
Israel	NP	Israel
against	IN	against
Iran	NP	Iran
soon	RB	soon
but	CC	but
declined	VBD	decline
to	TO	to
supply	VB	supply
a	DT	a
more	RBR	more
specific	JJ	specific
timeline	NN	timeline
.	SENT	.
<p>
"	``	"
I	PP	I
do	VBP	do
n't	RB	n't
have	VB	have
any	DT	any
direct	JJ	direct
knowledge	NN	knowledge
,	,	,
but	CC	but
I	PP	I
know	VBP	know
they	PP	they
'	''	'
re	IN	re
serious	JJ	serious
about	IN	about
hitting	VBG	hit
back	RB	back
,	,	,
"	''	"
Graham	NP	Graham
said	VBD	say
,	,	,
referencing	VBG	reference
Iran	NP	Iran
'	POS	'
s	JJ	<unknown>
recent	JJ	recent
launching	NN	launching
of	IN	of
nearly	RB	nearly
200	CD	@card@
missiles	NNS	missile
at	IN	at
Israel	NP	Israel
.	SENT	.
"	``	"
I	PP	I
think	VBP	think
it	PP	it
will	MD	will
be	VB	be
soon	RB	soon
,	,	,
and	CC	and
I	PP	I
think	VBP	think
it	PP	it
will	MD	will
be	VB	be
a	DT	a
hard	JJ	hard
hit	NN	hit
.	SENT	.
But	CC	but
again	RB	again
,	,	,
the	DT	the
more	RBR	more
you	PP	you
can	MD	can
diminish	VB	diminish
Iran	NP	Iran
,	,	,
Hezbollah	NP	Hezbollah
and	CC	and
Hamas	NP	<unknown>
,	,	,
better	JJR	good
for	IN	for
the	DT	the
region	NN	region
.	SENT	.
I	PP	I
think	VBP	think
a	DT	a
normalization	NN	normalization
deal	NN	deal
between	IN	between
