<h>
LATEST	JJS	late
EDITORIAL	JJ	editorial
<h>
Palestine	NP	Palestine
arrests	NNS	arrest
:	:	:
refuting	VBG	refute
the	DT	the
nonsense	NN	nonsense
<h>
The	DT	the
claims	NNS	claim
of	IN	of
the	DT	the
police	NN	police
and	CC	and
anti-Palestine	JJ	<unknown>
lobby	NN	lobby
that	IN	that
the	DT	the
weekend	NN	weekend
'	POS	'
s	NN	S
march	NN	march
was	VBD	be
somehow	RB	somehow
a	DT	a
threat	NN	threat
to	TO	to
a	DT	a
synagogue	NN	synagogue
are	VBP	be
painfully	RB	painfully
transparent	JJ	transparent
,	,	,
and	CC	and
there	EX	there
is	VBZ	be
evidence	NN	evidence
that	IN	that
the	DT	the
police	NN	police
were	VBD	be
itching	VBG	itch
for	IN	for
a	DT	a
confrontation	NN	confrontation
,	,	,
explains	VBZ	explain
LINDA	NP	Linda
PENTZ	NP	Pentz
GUNTER	NP	Gunter
<p>
People	NNS	people
take	VBP	take
part	NN	part
in	IN	in
a	DT	a
national	JJ	national
march	NN	march
for	IN	for
Palestine	NP	Palestine
on	IN	on
Whitehall	NP	Whitehall
in	IN	in
central	JJ	central
London	NP	London
,	,	,
January	NP	January
18	CD	@card@
,	,	,
2025	CD	@card@
<p>
?	SENT	?
<h>
This	DT	this
is	VBZ	be
the	DT	the
last	JJ	last
article	NN	article
you	PP	you
can	MD	can
read	VB	read
this	DT	this
month	NN	month
<h>
You	PP	you
can	MD	can
read	VB	read
more	JJR	more
article	NN	article
this	DT	this
month	NN	month
<h>
You	PP	you
can	MD	can
read	VB	read
more	JJR	more
articles	NNS	article
this	DT	this
month	NN	month
<h>
Sorry	RB	sorry
your	PP$	your
limit	NN	limit
is	VBZ	be
up	RB	up
for	IN	for
this	DT	this
month	NN	month
<p>
FOR	IN	for
many	JJ	many
of	IN	of
us	PP	us
who	WP	who
have	VBP	have
taken	VBN	take
part	NN	part
in	IN	in
the	DT	the
now	RB	now
24	CD	@card@
major	JJ	major
marches	NNS	march
for	IN	for
Palestine	NP	Palestine
in	IN	in
London	NP	London
,	,	,
there	EX	there
has	VBZ	have
been	VBN	be
one	CD	one
consistent	JJ	consistent
,	,	,
calming	JJ	calming
figure	NN	figure
at	IN	at
the	DT	the
head	NN	head
of	IN	of
them	PP	them
.	SENT	.
One	CD	one
steady	JJ	steady
voice	NN	voice
of	IN	of
assurance	NN	assurance
,	,	,
advocating	VBG	advocate
peace	NN	peace
.	SENT	.
If	IN	if
provoked	VBN	provoke
by	IN	by
zionists	NNS	Zionist
or	CC	or
police	NNS	police
,	,	,
do	VBP	do
n't	RB	n't
retaliate	VB	retaliate
.	SENT	.
Remember	VB	remember
this	DT	this
is	VBZ	be
a	DT	a
march	NN	march
of	IN	of
love	NN	love
.	SENT	.
No	DT	no
matter	NN	matter
the	DT	the
incitement	NN	incitement
,	,	,
remain	VBP	remain
peaceful	JJ	peaceful
.	SENT	.
<p>
And	CC	and
it	PP	it
worked	VBD	work
.	SENT	.
There	EX	there
have	VBP	have
been	VBN	be
few	JJ	few
,	,	,
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
