<h>
Trending	VBG	trend
Topics	NNS	topic
:	:	:
<p>
Karina	NP	Karina
Ariev	NP	<unknown>
,	,	,
Daniella	NP	Daniella
Gilboa	NP	<unknown>
,	,	,
Naama	NP	<unknown>
Levy	NP	Levy
and	CC	and
Liri	NP	<unknown>
Albag	NP	<unknown>
,	,	,
ages	NNS	age
19-20	CD	@card@
,	,	,
were	VBD	be
greeted	VBN	greet
by	IN	by
their	PP$	their
parents	NNS	parent
at	IN	at
an	DT	an
Israeli	JJ	Israeli
hospital	NN	hospital
<p>
This	DT	this
combination	NN	combination
of	IN	of
pictures	NNS	picture
created	VBN	create
on	IN	on
January	NP	January
24	CD	@card@
,	,	,
2025	CD	@card@
,	,	,
shows	VBZ	show
posters	NNS	poster
of	IN	of
Israeli	JJ	Israeli
hostages	NNS	hostage
(	(	(
L	NP	L
to	TO	to
R	NP	R
)	)	)
Liri	NP	<unknown>
Albag	NP	<unknown>
,	,	,
Naama	NP	<unknown>
Levy	NP	Levy
,	,	,
Karina	NP	Karina
Ariev	NP	<unknown>
and	CC	and
Daniela	NP	Daniela
Gilboa	NP	<unknown>
,	,	,
held	VBN	hold
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
since	IN	since
the	DT	the
October	NP	October
7	CD	@card@
,	,	,
2023	CD	@card@
attack	NN	attack
by	IN	by
Hamas	JJ	<unknown>
militants	NNS	militant
(	(	(
AFP	NP	AFP
via	IN	via
Getty	NP	Getty
Images	NNS	image
)	)	)
<h>
Share	NN	share
on	IN	on
Social	NP	Social
Media	NP	Media
<p>
Four	NP	Four
Israeli	JJ	Israeli
women	NNS	woman
,	,	,
all	DT	all
members	NNS	member
of	IN	of
the	DT	the
Israeli	JJ	Israeli
military	NN	military
,	,	,
have	VBP	have
been	VBN	be
returned	VBN	return
to	TO	to
their	PP$	their
homeland	NN	homeland
after	IN	after
being	VBG	be
held	VBN	hold
in	IN	in
Gaza	NP	Gaza
by	IN	by
Hamas	NP	<unknown>
for	IN	for
over	IN	over
470	CD	@card@
days	NNS	day
.	SENT	.
Karina	NP	Karina
Ariev	NP	<unknown>
,	,	,
Daniella	NP	Daniella
Gilboa	NP	<unknown>
,	,	,
Naama	NP	<unknown>
Levy	NP	Levy
and	CC	and
Liri	NP	<unknown>
Albag	NP	<unknown>
,	,	,
aged	VBD	age
19	CD	@card@
to	TO	to
20	CD	@card@
,	,	,
were	VBD	be
reunited	VBN	reunite
with	IN	with
their	PP$	their
families	NNS	family
in	IN	in
a	DT	a
series	NN	series
of	IN	of
emotional	JJ	emotional
videos	NNS	video
shared	VBN	share
on	IN	on
social	JJ	social
media	NNS	medium
by	IN	by
Israeli	JJ	Israeli
author	NN	author
Hen	NN	hen
Mazzig	NP	<unknown>
.	SENT	.
<p>
The	DT	the
first	JJ	first
video	NN	video
shared	VBN	share
by	IN	by
Mazzig	NP	<unknown>
on	IN	on
Instagram	NP	<unknown>
shows	VBZ	show
each	DT	each
young	JJ	young
woman	NN	woman
being	VBG	be
embraced	VBN	embrace
by	IN	by
her	PP$	her
parents	NNS	parent
.	SENT	.
It	PP	it
is	VBZ	be
understood	VBN	understand
the	DT	the
families	NNS	family
were	VBD	be
reunited	VBN	reunite
in	IN	in
a	DT	a
hospital	NN	hospital
,	,	,
and	CC	and
the	DT	the
women	NNS	woman
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
is	VBZ	be
apparent	JJ	apparent
,	,	,
as	IN	as
parents	NNS	parent
cling	VBP	cling
