<h>
Free	NP	Free
...	:	...
to	TO	to
a	DT	a
life	NN	life
without	IN	without
wife	NN	wife
and	CC	and
sons	NNS	son
who	WP	who
are	VBP	be
feared	VBN	fear
dead	RB	dead
<p>
An	DT	an
Israeli	JJ	Israeli
father	NN	father
freed	VBN	free
after	IN	after
484	CD	@card@
days	NNS	day
in	IN	in
brutal	JJ	brutal
captivity	NN	captivity
was	VBD	be
last	JJ	last
night	NN	night
facing	VBG	face
life	NN	life
without	IN	without
his	PP$	his
wife	NN	wife
and	CC	and
two	CD	two
young	JJ	young
sons	NNS	son
who	WP	who
were	VBD	be
kidnapped	VBN	kidnap
by	IN	by
Hamas	NNS	<unknown>
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
he	PP	he
was	VBD	be
snatched	VBN	snatch
.	SENT	.
<p>
Yarden	NP	Yarden
Bibas	NP	<unknown>
,	,	,
35	CD	@card@
,	,	,
was	VBD	be
reunited	VBN	reunite
with	IN	with
his	PP$	his
father	NN	father
and	CC	and
sisters	NNS	sister
--	:	--
but	CC	but
without	IN	without
his	PP$	his
wife	NN	wife
Shiri	NP	Shiri
,	,	,
33	CD	@card@
,	,	,
and	CC	and
their	PP$	their
two	CD	two
sons	NNS	son
,	,	,
Ariel	NP	Ariel
,	,	,
aged	VBN	age
four	CD	four
when	WRB	when
taken	VBN	take
,	,	,
and	CC	and
nine-month-old	JJ	nine-month-old
Kfir	NP	<unknown>
,	,	,
the	DT	the
youngest	JJS	young
of	IN	of
the	DT	the
hostages	NNS	hostage
.	SENT	.
<p>
Hamas	NP	<unknown>
claimed	VBD	claim
Shiri	NP	Shiri
and	CC	and
the	DT	the
boys	NNS	boy
had	VBD	have
been	VBN	be
killed	VBN	kill
in	IN	in
an	DT	an
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
in	IN	in
November	NP	November
2023	CD	@card@
--	:	--
and	CC	and
callously	RB	callously
forced	VBD	force
Mr	NP	Mr
Bibas	NP	<unknown>
on	IN	on
video	NN	video
to	TO	to
blame	VB	blame
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
'	POS	'
s	JJ	<unknown>
government	NN	government
for	IN	for
their	PP$	their
deaths	NNS	death
.	SENT	.
<p>
The	DT	the
Israelis	NPS	Israelis
have	VBP	have
never	RB	never
confirmed	VBN	confirm
their	PP$	their
deaths	NNS	death
but	CC	but
said	VBD	say
yesterday	NN	yesterday
that	IN	that
they	PP	they
were	VBD	be
'	POS	'
deeply	RB	deeply
concerned	VBN	concern
'	''	'
about	IN	about
their	PP$	their
fate	NN	fate
.	SENT	.
<p>
Yarden	NP	Yarden
Bibas	NP	<unknown>
,	,	,
35	CD	@card@
,	,	,
was	VBD	be
reunited	VBN	reunite
with	IN	with
his	PP$	his
father	NN	father
and	CC	and
sisters	NNS	sister
--	:	--
but	CC	but
without	IN	without
his	PP$	his
wife	NN	wife
Shiri	NP	Shiri
,	,	,
33	CD	@card@
,	,	,
and	CC	and
their	PP$	their
two	CD	two
sons	NNS	son
,	,	,
Ariel	NP	Ariel
,	,	,
aged	VBN	age
four	CD	four
when	WRB	when
taken	VBN	take
,	,	,
and	CC	and
nine-month-old	JJ	nine-month-old
Kfir	NP	<unknown>
,	,	,
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
were	VBD	be
kidnapped	VBN	kidnap
from	IN	from
Kibbutz	NN	kibbutz
Nir	NP	Nir
Oz	NP	Oz
near	IN	near
the	DT	the
Gaza	NP	Gaza
border	NN	border
on	IN	on
October	NP	October
7	CD	@card@
,	,	,
2023	CD	@card@
,	,	,
when	WRB	when
Hamas	NN	<unknown>
terrorists	NNS	terrorist
raided	VBD	raid
Israel	NP	Israel
,	,	,
killing	VBG	kill
1,200	CD	@card@
mainly	RB	mainly
civilians	NNS	civilian
and	CC	and
taking	VBG	take
251	CD	@card@
hostages	NNS	hostage
.	SENT	.
<p>
But	CC	but
as	IN	as
gunmen	NNS	gunman
grabbed	VBD	grab
Mr	NP	Mr
Bibas	NP	<unknown>
,	,	,
his	PP$	his
wife	NN	wife
was	VBD	be
seen	VBN	see
being	VBG	be
dragged	VBN	drag
away	RP	away
screaming	VBG	scream
with	IN	with
her	PP$	her
two	CD	two
sons	NNS	son
in	IN	in
her	PP$	her
arms	NNS	arm
.	SENT	.
<p>
The	DT	the
footage	NN	footage
went	VBD	go
viral	JJ	viral
around	IN	around
the	DT	the
world	NN	world
,	,	,
and	CC	and
the	DT	the
children	NNS	child
came	VBD	come
to	TO	to
be	VB	be
known	VBN	know
as	IN	as
the	NP	the
'	POS	'
two	CD	two
redheads	NNS	redhead
'	POS	'
.	SENT	.
<p>
Yesterday	NN	yesterday
,	,	,
Mr	NP	Mr
Bibas	NP	<unknown>
,	,	,
a	DT	a
welder	NN	welder
,	,	,
was	VBD	be
released	VBN	release
by	IN	by
Hamas	NP	<unknown>
,	,	,
along	RB	along
with	IN	with
American-Israeli	JJ	American-Israeli
citizen	NN	citizen
Keith	NP	Keith
Siegal	NP	Siegal
,	,	,
65	CD	@card@
,	,	,
and	CC	and
Ofer	NP	Ofer
Calderon	NP	Calderon
,	,	,
54	CD	@card@
,	,	,
as	IN	as
part	NN	part
of	IN	of
the	DT	the
ceasefire	NN	ceasefire
and	CC	and
a	DT	a
prisoner	NN	prisoner
exchange	NN	exchange
deal	NN	deal
with	IN	with
Israel	NP	Israel
.	SENT	.
<p>
Mr	NP	Mr
Bibas	NP	<unknown>
,	,	,
who	WP	who
emerged	VBD	emerge
in	IN	in
the	DT	the
Gaza	NP	Gaza
city	NN	city
of	IN	of
Khan	NP	Khan
Younis	NP	Younis
flanked	VBD	flank
by	IN	by
Hamas	JJ	<unknown>
gunmen	NNS	gunman
,	,	,
was	VBD	be
first	RB	first
taken	VBN	take
to	TO	to
an	DT	an
Israel	NP	Israel
military	JJ	military
base	NN	base
and	CC	and
then	RB	then
to	TO	to
Sheba	NP	Sheba
Hospital	NP	Hospital
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
.	SENT	.
<p>
Gal	NP	Gal
Hirsch	NP	Hirsch
,	,	,
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
hostage	NN	hostage
co-ordinator	NN	co-ordinator
,	,	,
said	VBD	say
:	:	:
'	''	'
The	DT	the
Bibas	NP	<unknown>
family	NN	family
has	VBZ	have
been	VBN	be
living	VBG	live
in	IN	in
constant	JJ	constant
fear	NN	fear
for	IN	for
their	PP$	their
lives	NNS	life
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
.	SENT	.
We	PP	we
continue	VBP	continue
to	TO	to
demand	VB	demand
information	NN	information
about	RB	about
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
has	VBZ	have
released	VBN	release
18	CD	@card@
hostages	NNS	hostage
since	IN	since
the	DT	the
ceasefire	NN	ceasefire
came	VBD	come
into	IN	into
effect	NN	effect
two	CD	two
weeks	NNS	week
ago	RB	ago
.	SENT	.
Thirty-three	NN	thirty-three
were	VBD	be
meant	VBN	mean
to	TO	to
have	VB	have
been	VBN	be
freed	VBN	free
during	IN	during
this	DT	this
first	JJ	first
phase	NN	phase
of	IN	of
the	DT	the
deal	NN	deal
but	CC	but
eight	CD	eight
are	VBP	be
believed	VBN	believe
to	TO	to
be	VB	be
dead	JJ	dead
.	SENT	.
<p>
Israel	NP	Israel
is	VBZ	be
due	JJ	due
to	TO	to
release	VB	release
1,904	CD	@card@
detained	VBN	detain
Palestinians	NNS	Palestinian
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
with	IN	with
180	CD	@card@
freed	VBN	free
yesterday	NN	yesterday
.	SENT	.
Mr	NP	Mr
Bibas	NP	<unknown>
--	:	--
who	WP	who
is	VBZ	be
expected	VBN	expect
to	TO	to
remain	VB	remain
in	IN	in
hospital	NN	hospital
for	IN	for
the	DT	the
next	JJ	next
few	JJ	few
days	NNS	day
--	:	--
has	VBZ	have
not	RB	not
publicly	RB	publicly
commented	VBN	comment
on	IN	on
his	PP$	his
release	NN	release
so	RB	so
far	RB	far
.	SENT	.
<p>
His	PP$	his
family	NN	family
issued	VBD	issue
a	DT	a
statement	NN	statement
,	,	,
saying	VBG	say
:	:	:
'	''	'
Yarden	NP	Yarden
is	VBZ	be
home	NN	home
.	SENT	.
A	DT	a
quarter	NN	quarter
of	IN	of
our	PP$	our
heart	NN	heart
has	VBZ	have
returned	VBN	return
to	TO	to
us	PP	us
after	IN	after
15	CD	@card@
long	JJ	long
months	NNS	month
.	SENT	.
There	EX	there
are	VBP	be
no	DT	no
words	NNS	word
to	TO	to
describe	VB	describe
the	DT	the
relief	NN	relief
of	IN	of
holding	VBG	hold
Yarden	NP	Yarden
in	IN	in
our	PP$	our
hands	NNS	hand
,	,	,
embracing	VBG	embrace
him	PP	him
and	CC	and
hearing	VBG	hear
his	PP$	his
voice	NN	voice
.	SENT	.
<p>
'	''	'
We	PP	we
continue	VBP	continue
with	IN	with
hope	NN	hope
and	CC	and
the	DT	the
call	NN	call
for	IN	for
the	DT	the
return	NN	return
of	IN	of
Shiri	NP	Shiri
,	,	,
the	DT	the
children	NNS	child
and	CC	and
all	PDT	all
the	DT	the
hostages	NNS	hostage
.	SENT	.
'	''	'
