<h>
Donald	NP	Donald
Trump	NP	Trump
is	VBZ	be
making	VBG	make
headlines	NNS	headline
for	IN	for
another	DT	another
outrageous	JJ	outrageous
and	CC	and
(	(	(
frankly	RB	frankly
terrifying	JJ	terrifying
)	)	)
claim	NN	claim
about	IN	about
his	PP$	his
plans	NNS	plan
for	IN	for
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
.	SENT	.
"	``	"
The	DT	the
US	PP	us
will	MD	will
take	VB	take
over	IN	over
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
,	,	,
"	''	"
he	PP	he
said	VBD	say
in	IN	in
a	DT	a
White	NP	White
House	NP	House
press	NN	press
conference	NN	conference
.	SENT	.
<p>
Andrew	NP	Andrew
Caballero-Reynolds	NP	Caballero-Reynolds
/	SYM	/
Getty	NP	Getty
Images	NNS	image
<p>
"	``	"
We	PP	we
have	VBP	have
an	DT	an
opportunity	NN	opportunity
to	TO	to
do	VB	do
something	NN	something
that	WDT	that
could	MD	could
be	VB	be
phenomenal	JJ	phenomenal
...	:	...
the	DT	the
Riviera	NP	Riviera
of	IN	of
the	DT	the
Middle	NP	Middle
East	NP	East
,	,	,
"	''	"
Trump	NP	Trump
continued	VBD	continue
.	SENT	.
<h>
1	LS	1
.	SENT	.
"	''	"
Trump	NP	Trump
,	,	,
you	PP	you
'	POS	'
re	NN	re
being	VBG	be
a	DT	a
fucking	VBG	fuck
idiot	NN	idiot
if	IN	if
you	PP	you
think	VBP	think
America	NP	America
should	MD	should
'	''	'
own	VB	own
'	''	'
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
.	SENT	.
Stop	VB	stop
with	IN	with
your	PP$	your
gibberish	NN	gibberish
bullshit	NN	bullshit
.	SENT	.
Take	VB	take
care	NN	care
of	IN	of
America	NP	America
because	IN	because
that	DT	that
'	''	'
s	NN	S
why	WRB	why
we	PP	we
voted	VBD	vote
for	IN	for
you	PP	you
.	SENT	.
Not	RB	not
this	DT	this
owning	VBG	own
the	DT	the
world	NN	world
bullshit	NN	bullshit
.	SENT	.
"	''	"
<h>
2	CD	@card@
.	SENT	.
"	``	"
What	WP	what
about	IN	about
America	NP	America
First	NP	First
?	SENT	?
wtf	NN	wtf
.	SENT	.
"	''	"
<h>
3	CD	@card@
.	SENT	.
"	``	"
I	PP	I
love	VBP	love
President	NP	President
Trump	NP	Trump
,	,	,
I	PP	I
think	VBP	think
he	PP	he
'	''	'
s	VBG	<unknown>
a	DT	a
good	JJ	good
President	NP	President
,	,	,
but	CC	but
I	PP	I
completely	RB	completely
disagree	VBP	disagree
with	IN	with
him	PP	him
on	IN	on
this	DT	this
,	,	,
I	PP	I
'	POS	'
m	NN	m
done	VBN	do
with	IN	with
having	VBG	have
America	NP	America
try	VB	try
and	CC	and
build	VB	build
the	DT	the
Middle	NP	Middle
East	NP	East
,	,	,
we	PP	we
ca	MD	ca
n't	RB	n't
change	VB	change
their	PP$	their
culture	NN	culture
nor	CC	nor
do	VBP	do
they	PP	they
want	VBP	want
to	TO	to
.	SENT	.
Can	MD	can
we	PP	we
please	RB	please
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
I	PP	I
wanted	VBD	want
from	IN	from
this	DT	this
administration	NN	administration
was	VBD	be
some	DT	some
common	JJ	common
sense	NN	sense
back	RB	back
into	IN	into
our	PP$	our
politics	NNS	politics
.	SENT	.
This	DT	this
ai	VBP	ai
n't	RB	n't
it	PP	it
.	SENT	.
"	''	"
<h>
8	CD	@card@
.	SENT	.
The	DT	the
organization	NN	organization
"	``	"
Arab	NP	Arab
Americans	NPS	Americans
for	IN	for
Trump	NP	Trump
"	``	"
has	VBZ	have
changed	VBN	change
its	PP$	its
name	NN	name
to	TO	to
"	``	"
Arab	NP	Arab
Americans	NPS	Americans
for	IN	for
Peace	NP	Peace
"	''	"
after	IN	after
Trump	NP	Trump
'	POS	'
s	JJ	<unknown>
statements	NNS	statement
on	IN	on
Gaza	NP	Gaza
.	SENT	.
<h>
9	CD	@card@
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
quote	NN	quote
from	IN	from
a	DT	a
recent	JJ	recent
ABC	NP	ABC
News	NP	News
article	NN	article
:	:	:
"	``	"
It	PP	it
was	VBD	be
a	DT	a
slap	NN	slap
in	IN	in
the	DT	the
face	NN	face
,	,	,
really	RB	really
,	,	,
to	TO	to
all	DT	all
Palestinians	NPS	Palestinians
and	CC	and
to	TO	to
Muslims	NPS	Muslims
,	,	,
"	''	"
said	VBD	say
Palestinian	NP	Palestinian
American	NP	American
Abraham	NP	Abraham
Masoud	NP	Masoud
.	SENT	.
"	``	"
We	PP	we
voted	VBD	vote
for	IN	for
him	PP	him
.	SENT	.
I	PP	I
voted	VBD	vote
for	IN	for
the	DT	the
guy	NN	guy
three	CD	three
times	NNS	time
.	SENT	.
So	RB	so
,	,	,
this	DT	this
was	VBD	be
kind	NN	kind
of	IN	of
like	JJ	like
,	,	,
like	IN	like
I	PP	I
said	VBD	say
,	,	,
a	DT	a
slap	NN	slap
in	IN	in
the	DT	the
face	NN	face
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
hurtful	JJ	hurtful
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
horrible	JJ	horrible
to	TO	to
think	VB	think
that	IN	that
he	PP	he
'	POS	'
s	NN	S
not	RB	not
listening	VBG	listen
to	TO	to
the	DT	the
other	JJ	other
side	NN	side
.	SENT	.
"	''	"
<h>
10	CD	@card@
.	SENT	.
"	''	"
I	NP	I
'	POS	'
m	NN	m
a	DT	a
huge	JJ	huge
MAGA	NP	Maga
supporter	NN	supporter
,	,	,
but	CC	but
I	PP	I
do	VBP	do
n't	RB	n't
agree	VB	agree
with	IN	with
this	DT	this
.	SENT	.
Let	NP	Let
'	POS	'
s	JJ	<unknown>
focus	NN	focus
on	IN	on
our	PP$	our
own	JJ	own
country	NN	country
and	CC	and
stop	VB	stop
getting	VBG	get
involved	JJ	involved
with	IN	with
other	JJ	other
countries	NNS	country
.	SENT	.
Its	PP$	its
none	NN	none
of	IN	of
our	PP$	our
business	NN	business
.	SENT	.
We	PP	we
should	MD	should
n't	RB	n't
be	VB	be
acting	VBG	act
like	IN	like
we	PP	we
'	''	'
re	IN	re
God	NP	God
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
And	CC	and
finally	RB	finally
,	,	,
"	''	"
I	NP	I
'	POS	'
m	NN	m
so	RB	so
tired	VBN	tire
of	IN	of
this	DT	this
shit	NN	shit
.	SENT	.
Every	DT	every
time	NN	time
you	PP	you
think	VBP	think
you	PP	you
got	VBD	get
a	DT	a
president	NN	president
that	WDT	that
cares	VBZ	care
about	IN	about
America	NP	America
and	CC	and
ending	VBG	end
the	DT	the
endless	JJ	endless
wars	NNS	war
in	IN	in
the	DT	the
middle	NN	middle
east	RB	east
another	DT	another
one	CD	one
comes	VBZ	come
up	RB	up
and	CC	and
starts	VBZ	start
something	NN	something
else	RB	else
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
27	CD	@card@
years	NNS	year
old	JJ	old
and	CC	and
ca	MD	ca
n't	RB	n't
even	RB	even
remember	VB	remember
a	DT	a
time	NN	time
when	WRB	when
America	NP	America
has	VBZ	have
n't	RB	n't
been	VBN	be
at	IN	at
war	NN	war
in	IN	in
the	DT	the
middle	NN	middle
east	RB	east
.	SENT	.
Guess	VB	guess
the	DT	the
idea	NN	idea
of	IN	of
America	NP	America
first	RB	first
was	VBD	be
bullshit	NN	bullshit
in	IN	in
the	DT	the
end	NN	end
.	SENT	.
"	``	"
