<h>
Follow	VB	follow
Us	PP	us
<h>
US	PP	us
affirms	VBZ	affirm
commitment	NN	commitment
to	TO	to
bring	VB	bring
home	NN	home
Americans	NNS	American
held	VBD	hold
abroad	RB	abroad
<p>
Adam	NP	Adam
Boehler	NP	Boehler
,	,	,
the	DT	the
U.S.	NP	U.S.
special	JJ	special
envoy	NN	envoy
for	IN	for
hostages	NNS	hostage
,	,	,
speaks	VBZ	speak
during	IN	during
a	DT	a
flag-raising	NN	flag-raising
ceremony	NN	ceremony
for	IN	for
Americans	NPS	Americans
who	WP	who
are	VBP	be
hostages	NNS	hostage
and	CC	and
wrongful	JJ	wrongful
detainees	NNS	detainee
,	,	,
at	IN	at
the	DT	the
State	NP	State
Department	NP	Department
in	IN	in
Washington	NP	Washington
on	IN	on
March	NP	March
6	CD	@card@
,	,	,
2025	CD	@card@
.	SENT	.
<p>
Share	NN	share
<p>
US	PP	us
affirms	VBZ	affirm
commitment	NN	commitment
to	TO	to
bring	VB	bring
home	NN	home
Americans	NNS	American
held	VBD	hold
abroad	RB	abroad
<p>
share	NN	share
<p>
STATE	NN	state
DEPARTMENT	NN	department
--	:	--
<p>
The	DT	the
U.S.	NP	U.S.
State	NP	State
Department	NP	Department
held	VBD	hold
a	DT	a
flag-raising	NN	flag-raising
ceremony	NN	ceremony
on	IN	on
Thursday	NP	Thursday
for	IN	for
hostages	NNS	hostage
and	CC	and
wrongful	JJ	wrongful
detainees	NNS	detainee
,	,	,
reaffirming	VBG	reaffirm
the	DT	the
U.S.	NP	U.S.
government	NN	government
'	POS	'
s	JJ	<unknown>
commitment	NN	commitment
to	TO	to
securing	VBG	secure
the	DT	the
return	NN	return
of	IN	of
American	JJ	American
citizens	NNS	citizen
and	CC	and
lawful	JJ	lawful
permanent	JJ	permanent
residents	NNS	resident
detained	VBD	detain
abroad	RB	abroad
.	SENT	.
<p>
"	``	"
Our	PP$	our
policies	NNS	policy
are	VBP	be
100	CD	@card@
%	NN	%
focused	VBN	focus
on	IN	on
returning	VBG	return
people	NNS	people
home	NN	home
,	,	,
"	''	"
said	VBD	say
Adam	NP	Adam
Boehler	NP	Boehler
,	,	,
President	NP	President
Donald	NP	Donald
Trump	NP	Trump
'	POS	'
s	JJ	<unknown>
special	JJ	special
envoy	NN	envoy
for	IN	for
hostages	NNS	hostage
.	SENT	.
He	PP	he
added	VBD	add
,	,	,
"	``	"
You	PP	you
'	POS	'
ll	NNS	<unknown>
see	VBP	see
some	DT	some
announcements	NNS	announcement
in	IN	in
the	DT	the
coming	VBG	come
days	NNS	day
,	,	,
"	''	"
without	IN	without
providing	VBG	provide
further	JJR	further
details	NNS	detail
.	SENT	.
<p>
"	''	"
President	NP	President
Trump	NP	Trump
is	VBZ	be
committed	VBN	commit
to	TO	to
bringing	VBG	bring
home	NN	home
all	DT	all
Americans	NPS	Americans
held	VBD	hold
hostage	NN	hostage
or	CC	or
wrongfully	RB	wrongfully
detained	VBN	detain
overseas	RB	overseas
.	SENT	.
This	DT	this
includes	VBZ	include
the	DT	the
Americans	NPS	Americans
and	CC	and
all	DT	all
other	JJ	other
hostages	NNS	hostage
that	IN	that
Hamas	NP	<unknown>
is	VBZ	be
still	RB	still
holding	VBG	hold
hostage	NN	hostage
in	IN	in
Gaza	NP	Gaza
,	,	,
"	''	"
a	DT	a
State	NP	State
Department	NP	Department
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
home	NN	home
are	VBP	be
ongoing	JJ	ongoing
and	CC	and
sensitive	JJ	sensitive
--	:	--
we	PP	we
do	VBP	do
not	RB	not
have	VB	have
any	DT	any
meetings	NNS	meeting
to	TO	to
announce	VB	announce
or	CC	or
readout	NN	readout
at	IN	at
this	DT	this
time	NN	time
,	,	,
"	''	"
the	DT	the
spokesperson	NN	spokesperson
said	VBD	say
.	SENT	.
<p>
March	NP	March
9	CD	@card@
marks	VBZ	mark
18	CD	@card@
years	NNS	year
since	IN	since
former	JJ	former
FBI	NP	FBI
agent	NN	agent
Robert	NP	Robert
Levinson	NP	Levinson
was	VBD	be
abducted	VBN	abduct
in	IN	in
Iran	NP	Iran
.	SENT	.
<p>
In	IN	in
recognition	NN	recognition
of	IN	of
this	DT	this
,	,	,
Congress	NP	Congress
,	,	,
with	IN	with
bipartisan	JJ	bipartisan
support	NN	support
,	,	,
designated	VBN	designate
the	DT	the
Hostage	NN	hostage
and	CC	and
Wrongful	JJ	wrongful
Detainee	NN	detainee
Flag	NN	flag
in	IN	in
the	DT	the
National	NP	National
Defense	NP	Defense
Authorization	NN	authorization
Act	NP	Act
for	IN	for
Fiscal	NP	Fiscal
Year	NP	Year
2024	CD	@card@
.	SENT	.
<p>
On	IN	on
Thursday	NP	Thursday
,	,	,
FBI	NP	FBI
Director	NP	Director
Kash	NP	Kash
Patel	NP	Patel
said	VBD	say
Washington	NP	Washington
is	VBZ	be
determined	VBN	determine
to	TO	to
"	``	"
zero	VB	zero
out	RP	out
"	``	"
hostage	NN	hostage
cases	NNS	case
and	CC	and
wrongful	JJ	wrongful
detentions	NNS	detention
,	,	,
as	RB	as
well	RB	well
as	IN	as
repatriating	VBG	repatriate
the	DT	the
remains	VBZ	remain
of	IN	of
those	DT	those
who	WP	who
could	MD	could
not	RB	not
be	VB	be
brought	VBN	bring
home	NN	home
,	,	,
through	IN	through
diplomatic	JJ	diplomatic
and	CC	and
intelligence	NN	intelligence
efforts	NNS	effort
.	SENT	.
<p>
The	DT	the
ceremony	NN	ceremony
came	VBD	come
a	DT	a
day	NN	day
after	IN	after
Trump	NP	Trump
welcomed	VBD	welcome
eight	CD	eight
former	JJ	former
hostages	NNS	hostage
who	WP	who
had	VBD	have
been	VBN	be
held	VBN	hold
by	IN	by
U.S.-designated	JJ	<unknown>
terror	NN	terror
group	NN	group
Hamas	NN	<unknown>
to	TO	to
the	DT	the
White	NP	White
House	NP	House
.	SENT	.
<p>
FBI	NP	FBI
Director	NP	Director
Kash	NP	Kash
Patel	NP	Patel
and	CC	and
Adam	NP	Adam
Boehler	NP	Boehler
,	,	,
U.S.	NP	U.S.
presidential	JJ	presidential
envoy	NN	envoy
for	IN	for
hostage	NN	hostage
affairs	NNS	affair
,	,	,
watch	NN	watch
as	IN	as
the	DT	the
Hostage	NN	hostage
and	CC	and
Wrongful	JJ	wrongful
Detainee	NN	detainee
flag	NN	flag
is	VBZ	be
raised	VBN	raise
at	IN	at
the	DT	the
State	NP	State
Department	NP	Department
on	IN	on
March	NP	March
6	CD	@card@
,	,	,
2025	CD	@card@
,	,	,
in	IN	in
Washington	NP	Washington
.	SENT	.
<p>
On	IN	on
Wednesday	NP	Wednesday
,	,	,
the	DT	the
White	NP	White
House	NP	House
also	RB	also
confirmed	VBD	confirm
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
.	SENT	.
The	DT	the
talks	NNS	talk
,	,	,
held	VBN	hold
in	IN	in
Doha	NP	Doha
,	,	,
Qatar	NP	Qatar
,	,	,
mark	VBP	mark
the	DT	the
first	JJ	first
known	JJ	known
direct	JJ	direct
engagement	NN	engagement
between	IN	between
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
Hamas	NP	<unknown>
since	IN	since
the	DT	the
State	NP	State
Department	NP	Department
designated	VBD	designate
the	DT	the
group	NN	group
as	IN	as
a	DT	a
foreign	JJ	foreign
terrorist	JJ	terrorist
organization	NN	organization
in	IN	in
1997	CD	@card@
.	SENT	.
<p>
Boehler	NP	Boehler
led	VBD	lead
the	DT	the
direct	JJ	direct
talks	NNS	talk
with	IN	with
Hamas	NP	<unknown>
,	,	,
which	WDT	which
were	VBD	be
reportedly	RB	reportedly
focused	VBN	focus
on	IN	on
securing	VBG	secure
the	DT	the
release	NN	release
of	IN	of
U.S.	NP	U.S.
hostages	NNS	hostage
and	CC	and
exploring	VBG	explore
a	DT	a
potential	JJ	potential
end	NN	end
of	IN	of
the	DT	the
war	NN	war
without	IN	without
Hamas	NNS	<unknown>
in	IN	in
power	NN	power
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
Among	IN	among
the	DT	the
hostages	NNS	hostage
still	RB	still
held	VBN	hold
by	IN	by
Hamas	NP	<unknown>
,	,	,
five	CD	five
are	VBP	be
U.S.	NP	U.S.
citizens	NNS	citizen
,	,	,
including	VBG	include
21-year-old	JJ	21-year-old
Edan	NP	Edan
Alexander	NP	Alexander
,	,	,
who	WP	who
is	VBZ	be
believed	VBN	believe
to	TO	to
be	VB	be
the	DT	the
last	JJ	last
American-Israeli	JJ	American-Israeli
hostage	NN	hostage
still	RB	still
alive	JJ	alive
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
His	PP$	his
mother	NN	mother
,	,	,
Yael	NP	Yael
Alexander	NP	Alexander
,	,	,
recently	RB	recently
spoke	VBD	speak
at	IN	at
Hostages	NNS	hostage
Square	NP	Square
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
.	SENT	.
"	``	"
This	DT	this
is	VBZ	be
the	DT	the
simple	JJ	simple
truth	NN	truth
:	:	:
The	DT	the
situation	NN	situation
with	IN	with
the	DT	the
hostages	NNS	hostage
becomes	VBZ	become
more	RBR	more
urgent	JJ	urgent
every	DT	every
day	NN	day
,	,	,
"	''	"
she	PP	she
said	VBD	say
.	SENT	.
<p>
"	``	"
They	PP	they
