<h>
Protesters	NNS	protester
call	VBP	call
for	IN	for
the	DT	the
removal	NN	removal
of	IN	of
Lockheed	NP	Lockheed
Martin	NP	Martin
CEO	NP	CEO
from	IN	from
Mass	NP	Mass
General	NP	General
Brigham	NP	Brigham
board	NN	board
<p>
A	DT	a
rally	NN	rally
held	VBN	hold
near	IN	near
Brigham	NP	Brigham
and	CC	and
Women	NP	Women
'	POS	'
s	JJ	<unknown>
Hospital	NN	hospital
on	IN	on
Tuesday	NP	Tuesday
called	VBD	call
for	IN	for
the	DT	the
removal	NN	removal
of	IN	of
Lockheed	NP	Lockheed
Martin	NP	Martin
CEO	NP	CEO
James	NP	James
Taiclet	NP	<unknown>
from	IN	from
the	DT	the
Mass	NP	Mass
General	NP	General
Brigham	NP	Brigham
board.David	NP	board.David
L.	NP	L.
Ryan/Globe	NP	Ryan/Globe
Staff	NP	Staff
<p>
Health	NP	Health
care	NN	care
workers	NNS	worker
and	CC	and
activists	NNS	activist
on	IN	on
Tuesday	NP	Tuesday
demanded	VBD	demand
that	IN	that
the	DT	the
head	NN	head
of	IN	of
defense	NN	defense
contractor	NN	contractor
Lockheed	NP	Lockheed
Martin	NP	Martin
be	VB	be
removed	VBN	remove
from	IN	from
Mass	NP	Mass
General	NP	General
Brigham	NP	Brigham
'	POS	'
s	JJ	<unknown>
board	NN	board
of	IN	of
directors	NNS	director
,	,	,
saying	VBG	say
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
use	NN	use
of	IN	of
his	PP$	his
company	NN	company
'	POS	'
s	NN	S
weapons	NNS	weapon
in	IN	in
Gaza	NP	Gaza
flies	VBZ	fly
in	IN	in
the	DT	the
face	NN	face
of	IN	of
what	WP	what
a	DT	a
health	NN	health
system	NN	system
stands	VBZ	stand
for	IN	for
.	SENT	.
<p>
A	DT	a
group	NN	group
of	IN	of
roughly	RB	roughly
20	CD	@card@
people	NNS	people
--	:	--
made	VBN	make
up	RP	up
ofhealth	JJ	<unknown>
care	NN	care
workers	NNS	worker
from	IN	from
multiple	JJ	multiple
institutions	NNS	institution
,	,	,
including	VBG	include
about	RB	about
10	CD	@card@
from	IN	from
Mass	NP	Mass
General	NP	General
Brigham	NP	Brigham
,	,	,
activists	NNS	activist
from	IN	from
Massachusetts	NP	Massachusetts
Peace	NP	Peace
Action	NP	Action
,	,	,
and	CC	and
MGB	NP	MGB
patients	NNS	patient
--	:	--
gathered	VBN	gather
outside	IN	outside
Brigham	NP	Brigham
and	CC	and
Women	NP	Women
'	POS	'
s	JJ	<unknown>
Hospital	NN	hospital
in	IN	in
Boston	NP	Boston
to	TO	to
demonstrate	VB	demonstrate
.	SENT	.
They	PP	they
delivered	VBD	deliver
a	DT	a
petition	NN	petition
,	,	,
which	WDT	which
was	VBD	be
circulated	VBN	circulate
online	JJ	online
and	CC	and
has	VBZ	have
more	JJR	more
than	IN	than
1,100	CD	@card@
signatures	NNS	signature
from	IN	from
health	NN	health
care	NN	care
workers	NNS	worker
,	,	,
activists	NNS	activist
,	,	,
and	CC	and
members	NNS	member
of	IN	of
the	DT	the
public	NN	public
.	SENT	.
<p>
Another	DT	another
demonstration	NN	demonstration
was	VBD	be
held	VBN	hold
simultaneously	RB	simultaneously
at	IN	at
Cooley	NP	Cooley
Dickinson	NP	Dickinson
Hospital	NP	Hospital
in	IN	in
Northampton	NP	Northampton
.	SENT	.
The	DT	the
organizers	NNS	organizer
choseTax	NN	<unknown>
Day	NP	Day
for	IN	for
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
of	IN	of
tax	NN	tax
breaks	NNS	break
as	IN	as
a	DT	a
nonprofit	JJ	nonprofit
.	SENT	.
<p>
Advertisement	NN	advertisement
<p>
Lockheed	NP	Lockheed
Martin	NP	Martin
chief	JJ	chief
executive	NN	executive
James	NP	James
Taiclet	NP	<unknown>
was	VBD	be
named	VBN	name
to	TO	to
MGB	NP	MGB
'	POS	'
s	JJ	<unknown>
board	NN	board
of	IN	of
trustees	NNS	trustee
in	IN	in
2007	CD	@card@
and	CC	and
joined	VBD	join
the	DT	the
company	NN	company
'	POS	'
s	JJ	<unknown>
board	NN	board
of	IN	of
directors	NNS	director
in	IN	in
2022	CD	@card@
.	SENT	.
MGB	NP	MGB
is	VBZ	be
the	DT	the
state	NN	state
'	POS	'
s	JJ	<unknown>
largest	JJS	large
health	NN	health
system	NN	system
and	CC	and
employs	VBZ	employ
some	DT	some
82,000	CD	@card@
people	NNS	people
.	SENT	.
<p>
"	``	"
I	PP	I
was	VBD	be
absolutely	RB	absolutely
horrified	VBN	horrify
,	,	,
just	RB	just
absolutely	RB	absolutely
aghast	JJ	aghast
,	,	,
to	TO	to
learn	VB	learn
that	DT	that
someone	NN	someone
who	WP	who
is	VBZ	be
profiteering	VBG	profiteer
off	RP	off
of	IN	of
war	NN	war
and	CC	and
destruction	NN	destruction
could	MD	could
be	VB	be
counseling	VBG	counsel
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
world-renowned	VBN	world-renown
medical	JJ	medical
institutions	NNS	institution
on	IN	on
its	PP$	its
most	RBS	most
important	JJ	important
financial	JJ	financial
,	,	,
staffing	NN	staffing
,	,	,
and	CC	and
health	NN	health
care	NN	care
decisions	NNS	decision
that	WDT	that
affect	VBP	affect
all	DT	all
of	IN	of
us	PP	us
,	,	,
"	''	"
said	VBD	say
Jennifer	NP	Jennifer
Brody	NP	Brody
,	,	,
a	DT	a
primary	JJ	primary
care	NN	care
physician	NN	physician
at	IN	at
Boston	NP	Boston
Health	NP	Health
Care	NP	Care
for	IN	for
the	DT	the
Homeless	NP	Homeless
and	CC	and
Boston	NP	Boston
Medical	NP	Medical
Center	NP	Center
,	,	,
and	CC	and
one	CD	one
of	IN	of
the	DT	the
organizers	NNS	organizer
of	IN	of
the	DT	the
protest	NN	protest
.	SENT	.
<p>
Those	DT	those
supporting	VBG	support
the	DT	the
petition	NN	petition
said	VBD	say
they	PP	they
feel	VBP	feel
Taiclet	NP	<unknown>
'	POS	'
s	JJ	<unknown>
seat	NN	seat
on	IN	on
the	DT	the
board	NN	board
contradicts	VBZ	contradict
MGB	NP	MGB
'	POS	'
s	NN	S
mission	NN	mission
and	CC	and
responsibility	NN	responsibility
to	TO	to
protect	VB	protect
health	NN	health
and	CC	and
human	JJ	human
life	NN	life
due	JJ	due
to	TO	to
his	PP$	his
company	NN	company
'	POS	'
s	JJ	<unknown>
weapons	NNS	weapon
'	POS	'
role	NN	role
in	IN	in
the	DT	the
destruction	NN	destruction
and	CC	and
loss	NN	loss
of	IN	of
life	NN	life
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
"	``	"
As	IN	as
a	DT	a
healthcare	NN	<unknown>
organization	NN	organization
,	,	,
our	PP$	our
focus	NN	focus
is	VBZ	be
on	IN	on
providing	VBG	provide
high-quality	JJ	high-quality
care	NN	care
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
are	VBP	be
committed	VBN	commit
to	TO	to
caring	VBG	care
for	IN	for
our	PP$	our
people	NNS	people
and	CC	and
maintaining	VBG	maintain
an	DT	an
inclusive	JJ	inclusive
culture	NN	culture
,	,	,
where	WRB	where
everyone	NN	everyone
is	VBZ	be
welcome	JJ	welcome
,	,	,
safe	JJ	safe
and	CC	and
valued	VBN	value
,	,	,
"	''	"
an	DT	an
MGB	NP	MGB
spokesperson	NN	spokesperson
said	VBD	say
.	SENT	.
<p>
For	IN	for
at	IN	at
least	JJS	least
one	CD	one
MGB	NP	MGB
physician	NN	physician
at	IN	at
the	DT	the
Boston	NP	Boston
protest	NN	protest
,	,	,
Taiclet	NP	<unknown>
'	POS	'
s	JJ	<unknown>
seat	NN	seat
on	IN	on
the	DT	the
board	NN	board
contradicts	VBZ	contradict
the	DT	the
patient	JJ	patient
care	NN	care
he	PP	he
works	VBZ	work
to	TO	to
provide	VB	provide
.	SENT	.
<p>
"	''	"
As	IN	as
a	DT	a
Jew	NN	jew
whose	WP$	whose
grandparents	NNS	grandparent
fled	VBD	flee
antisemitic	JJ	antisemitic
pogroms	NNS	pogrom
in	IN	in
Eastern	NP	Eastern
Europe	NP	Europe
,	,	,
I	PP	I
am	VBP	be
ashamed	JJ	ashamed
to	TO	to
be	VB	be
working	VBG	work
for	IN	for
a	DT	a
hospital	NN	hospital
that	WDT	that
is	VBZ	be
inany	NN	<unknown>
way	NN	way
associated	VBN	associate
with	IN	with
this	DT	this
genocide	NN	genocide
,	,	,
"	''	"
said	VBD	say
Mark	NP	Mark
Eisenberg	NP	Eisenberg
,	,	,
a	DT	a
primary	JJ	primary
care	NN	care
physician	NN	physician
at	IN	at
Massachusetts	NP	Massachusetts
General	NP	General
Hospital	NP	Hospital
and	CC	and
Boston	NP	Boston
Health	NP	Health
Care	NP	Care
for	IN	for
the	DT	the
Homeless	NP	Homeless
.	SENT	.
<p>
The	DT	the
petition	NN	petition
'	POS	'
s	NN	S
organizers	NNS	organizer
,	,	,
a	DT	a
group	NN	group
primarily	RB	primarily
comprising	VBG	comprise
Massachusetts	NP	Massachusetts
physicians	NNS	physician
,	,	,
sent	VBD	send
an	DT	an
email	NN	<unknown>
to	TO	to
MGB	NP	MGB
chief	JJ	chief
executive	NN	executive
Anne	NP	Anne
Klibanski	NP	<unknown>
two	CD	two
weeks	NNS	week
ago	RB	ago
to	TO	to
request	VB	request
a	DT	a
meeting	NN	meeting
to	TO	to
discuss	VB	discuss
Taiclet	NP	<unknown>
'	POS	'
s	JJ	<unknown>
position	NN	position
on	IN	on
the	DT	the
board	NN	board
,	,	,
but	CC	but
said	VBD	say
they	PP	they
did	VBD	do
not	RB	not
receive	VB	receive
a	DT	a
response	NN	response
.	SENT	.
<p>
Advertisement	NN	advertisement
<p>
Dean	NP	Dean
Stevens	NP	Stevens
,	,	,
an	DT	an
MGB	NP	MGB
patient	NN	patient
who	WP	who
had	VBD	have
a	DT	a
hip	JJ	hip
replacement	NN	replacement
surgery	NN	surgery
done	VBN	do
at	IN	at
Brigham	NP	Brigham
and	CC	and
Women	NP	Women
'	POS	'
s	NN	S
six	CD	six
weeks	NNS	week
ago	RB	ago
,	,	,
attended	VBD	attend
the	DT	the
demonstration	NN	demonstration
after	IN	after
coming	VBG	come
to	TO	to
the	DT	the
hospital	NN	hospital
for	IN	for
a	DT	a
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
amazed	VBN	amaze
by	IN	by
the	DT	the
care	NN	care
he	PP	he
received	VBD	receive
that	IN	that
allowed	VBN	allow
him	PP	him
to	TO	to
be	VB	be
back	RB	back
walking	VBG	walk
without	IN	without
crutches	NNS	crutch
or	CC	or
a	DT	a
cane	NN	cane
within	IN	within
weeks	NNS	week
,	,	,
but	CC	but
was	VBD	be
shocked	VBN	shock
to	TO	to
learn	VB	learn
of	IN	of
Taiclet	NP	<unknown>
'	POS	'
s	JJ	<unknown>
board	NN	board
seat	NN	seat
.	SENT	.
<p>
"	''	"
It	PP	it
does	VBZ	do
n't	RB	n't
in	IN	in
any	DT	any
way	NN	way
diminish	VB	diminish
my	PP$	my
gratitude	NN	gratitude
for	IN	for
the	DT	the
care	NN	care
I	PP	I
received	VBD	receive
,	,	,
but	CC	but
it	PP	it
speaks	VBZ	speak
to	TO	to
the	DT	the
corporatization	NN	corporatization
of	IN	of
it	PP	it
all	DT	all
,	,	,
of	IN	of
health	NN	health
care	NN	care
,	,	,
"	''	"
said	VBD	say
Stevens	NP	Stevens
.	SENT	.
