<p>
One	CD	one
of	IN	of
the	DT	the
founders	NNS	founder
of	IN	of
Ben	NP	Ben
&amp	NNS	<unknown>
;	:	;
Jerry	NP	Jerry
'	POS	'
s	NN	S
,	,	,
Ben	NP	Ben
Cohen	NP	Cohen
,	,	,
was	VBD	be
arrested	VBN	arrest
Wednesday	NP	Wednesday
in	IN	in
Washington	NP	Washington
,	,	,
D.C.	NP	D.C.
,	,	,
after	IN	after
he	PP	he
interrupted	VBD	interrupt
a	DT	a
Senate	NP	Senate
committee	NN	committee
hearing	NN	hearing
to	TO	to
protest	VB	protest
Congress	NP	Congress
'	POS	'
funding	NN	funding
for	IN	for
Israel	NP	Israel
'	POS	'
s	NNS	<unknown>
military	JJ	military
as	IN	as
it	PP	it
wages	VBZ	wage
war	NN	war
against	IN	against
Hamas	NNS	<unknown>
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
.	SENT	.
<p>
The	DT	the
protesters	NNS	protester
shouted	VBD	shout
and	CC	and
held	VBD	hold
up	RP	up
signs	NNS	sign
as	IN	as
Kennedy	NP	Kennedy
was	VBD	be
speaking	VBG	speak
before	IN	before
Capitol	NP	Capitol
Police	NP	Police
officers	NNS	officer
escorted	VBD	escort
them	PP	them
out	RP	out
,	,	,
according	VBG	accord
to	TO	to
a	DT	a
broadcast	NN	broadcast
of	IN	of
the	DT	the
hearing	NN	hearing
.	SENT	.
A	DT	a
video	NN	video
posted	VBD	post
by	IN	by
Cohen	NP	Cohen
on	IN	on
social	JJ	social
media	NNS	medium
showed	VBD	show
him	PP	him
being	VBG	be
detained	VBN	detain
by	IN	by
police	NN	police
officers	NNS	officer
,	,	,
his	PP$	his
hands	NNS	hand
behind	IN	behind
his	PP$	his
back	NN	back
.	SENT	.
<p>
Advertisement	NN	advertisement
:	:	:
<p>
I	PP	I
told	VBD	tell
Congress	NP	Congress
they	PP	they
'	''	'
re	IN	re
killing	VBG	kill
poor	JJ	poor
kids	NNS	kid
in	IN	in
Gaza	NP	Gaza
by	IN	by
buying	VBG	buy
bombs	NNS	bomb
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
paying	VBG	pay
for	IN	for
it	PP	it
by	IN	by
kicking	VBG	kick
poor	JJ	poor
kids	NNS	kid
off	IN	off
Medicaid	NP	Medicaid
in	IN	in
the	DT	the
US	NP	US
.	SENT	.
This	DT	this
was	VBD	be
the	DT	the
authorities	NNS	authority
'	POS	'
response	NN	response
.	SENT	.
**26	NN	<unknown>
;	:	;
1643	CD	@card@
;	:	;
TOOLONG	NN	<unknown>
<p>
"	''	"
I	PP	I
said	VBD	say
that	IN	that
Congress	NP	Congress
is	VBZ	be
paying	VBG	pay
to	TO	to
bomb	VB	bomb
poor	JJ	poor
kids	NNS	kid
in	IN	in
Gaza	NP	Gaza
and	CC	and
paying	VBG	pay
for	IN	for
it	PP	it
by	IN	by
kicking	VBG	kick
poor	JJ	poor
kids	NNS	kid
off	IN	off
Medicaid	NP	Medicaid
in	IN	in
the	DT	the
U.S.	NP	U.S.
,	,	,
"	''	"
Cohen	NP	Cohen
can	MD	can
be	VB	be
heard	VBN	hear
saying	VBG	say
in	IN	in
the	DT	the
video	NN	video
he	PP	he
posted	VBD	post
.	SENT	.
He	PP	he
also	RB	also
called	VBD	call
on	IN	on
lawmakers	NNS	lawmaker
to	TO	to
do	VB	do
more	RBR	more
to	TO	to
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
other	JJ	other
aid	NN	aid
agencies	NNS	agency
have	VBP	have
said	VBN	say
a	DT	a
famine	NN	famine
is	VBZ	be
looming	VBG	loom
.	SENT	.
<p>
"	``	"
They	PP	they
need	VBP	need
to	TO	to
let	VB	let
food	NN	food
to	TO	to
starving	VBG	starve
kids	NNS	kid
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
Cohen	NP	Cohen
was	VBD	be
charged	VBN	charge
with	IN	with
crowding	VBG	crowd
,	,	,
obstructing	VBG	obstruct
or	CC	or
incommoding	VBG	incommode
,	,	,
the	DT	the
Capitol	NP	Capitol
Police	NP	Police
said	VBD	say
in	IN	in
a	DT	a
statement	NN	statement
,	,	,
a	DT	a
misdemeanor	NN	misdemeanor
that	WDT	that
can	MD	can
be	VB	be
punishable	JJ	punishable
by	IN	by
up	IN	up
to	TO	to
90	CD	@card@
days	NNS	day
in	IN	in
prison	NN	prison
and	CC	and
a	DT	a
$500	JJ	<unknown>
fine	NN	fine
if	IN	if
convicted	VBN	convict
.	SENT	.
<p>
Advertisement	NN	advertisement
:	:	:
<p>
Six	CD	six
other	JJ	other
people	NNS	people
were	VBD	be
also	RB	also
arrested	VBN	arrest
on	IN	on
charges	NNS	charge
that	WDT	that
included	VBD	include
assaulting	VBG	assault
a	DT	a
police	NN	police
officer	NN	officer
and	CC	and
resisting	VBG	resist
arrest	NN	arrest
.	SENT	.
Cohen	NP	Cohen
has	VBZ	have
been	VBN	be
released	VBN	release
from	IN	from
custody	NN	custody
,	,	,
police	NNS	police
said	VBD	say
.	SENT	.
<p>
Cohen	NP	Cohen
and	CC	and
Jerry	NP	Jerry
Greenfield	NP	Greenfield
,	,	,
the	DT	the
two	CD	two
founders	NNS	founder
of	IN	of
the	DT	the
ice	NN	ice
cream	NN	cream
brand	NN	brand
,	,	,
have	VBP	have
long	RB	long
been	VBN	be
outspoken	JJ	outspoken
about	IN	about
political	JJ	political
issues	NNS	issue
,	,	,
including	VBG	include
criticizing	VBG	criticize
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
occupation	NN	occupation
of	IN	of
the	DT	the
West	NP	West
Bank	NP	Bank
.	SENT	.
They	PP	they
gave	VBD	give
up	RP	up
most	JJS	most
involvement	NN	involvement
with	IN	with
the	DT	the
company	NN	company
when	WRB	when
it	PP	it
was	VBD	be
sold	VBN	sell
to	TO	to
Unilever	NP	Unilever
in	IN	in
2000	CD	@card@
,	,	,
but	CC	but
have	VBP	have
remained	VBN	remain
outspoken	JJ	outspoken
,	,	,
as	RB	as
has	VBZ	have
the	DT	the
company	NN	company
.	SENT	.
<p>
"	''	"
As	IN	as
Jewish	JJ	Jewish
supporters	NNS	supporter
of	IN	of
