<p>
Tom	NP	Tom
Warrenis	NP	<unknown>
a	DT	a
senior	JJ	senior
editor	NN	editor
and	CC	and
author	NN	author
of	IN	of
Notepad	NN	notepad
,	,	,
who	WP	who
has	VBZ	have
been	VBN	be
covering	VBG	cover
all	DT	all
things	NNS	thing
Microsoft	NP	Microsoft
,	,	,
PC	NN	PC
,	,	,
and	CC	and
tech	NN	tech
for	IN	for
over	RB	over
20	CD	@card@
years	NNS	year
.	SENT	.
<p>
Microsoft	NP	Microsoft
says	VBZ	say
it	PP	it
has	VBZ	have
found	VBN	find
no	DT	no
evidence	NN	evidence
that	IN	that
the	DT	the
Israeli	JJ	Israeli
military	NN	military
has	VBZ	have
used	VBN	use
its	PP$	its
Azure	NP	Azure
and	CC	and
AI	VBP	ai
technology	NN	technology
to	TO	to
harm	VB	harm
Palestinian	JJ	Palestinian
civilians	NNS	civilian
or	CC	or
anyone	NN	anyone
else	RB	else
in	IN	in
Gaza	NP	Gaza
.	SENT	.
The	DT	the
software	NN	software
maker	NN	maker
says	VBZ	say
it	PP	it
has	VBZ	have
"	``	"
conducted	VBN	conduct
an	DT	an
internal	JJ	internal
review	NN	review
and	CC	and
engaged	VBD	engage
an	DT	an
external	JJ	external
firm	NN	firm
,	,	,
"	''	"
to	TO	to
perform	VB	perform
a	DT	a
review	NN	review
,	,	,
after	IN	after
some	DT	some
Microsoft	NP	Microsoft
employees	NNS	employee
have	VBP	have
repeatedly	RB	repeatedly
called	VBN	call
on	IN	on
the	DT	the
company	NN	company
to	TO	to
cut	VB	cut
its	PP$	its
contracts	NNS	contract
with	IN	with
the	DT	the
Israeli	JJ	Israeli
government	NN	government
.	SENT	.
<p>
Microsoft	NP	Microsoft
says	VBZ	say
that	IN	that
its	PP$	its
relationship	NN	relationship
with	IN	with
the	DT	the
Israel	NP	Israel
Ministry	NP	Ministry
of	IN	of
Defense	NP	Defense
(	(	(
IMOD	NP	<unknown>
)	)	)
is	VBZ	be
"	``	"
structured	VBN	structure
as	IN	as
a	DT	a
standard	JJ	standard
commercial	JJ	commercial
relationship	NN	relationship
,	,	,
"	''	"
and	CC	and
that	IN	that
it	PP	it
has	VBZ	have
"	``	"
found	VBN	find
no	DT	no
evidence	NN	evidence
that	IN	that
Microsoft	NP	Microsoft
'	POS	'
s	JJ	<unknown>
Azure	NP	Azure
and	CC	and
AI	VBP	ai
technologies	NNS	technology
,	,	,
or	CC	or
any	DT	any
of	IN	of
our	PP$	our
other	JJ	other
software	NN	software
,	,	,
have	VBP	have
been	VBN	be
used	VBN	use
to	TO	to
harm	VB	harm
people	NNS	people
or	CC	or
that	IN	that
IMOD	NP	<unknown>
has	VBZ	have
failed	VBN	fail
to	TO	to
comply	VB	comply
with	IN	with
our	PP$	our
terms	NNS	term
of	IN	of
service	NN	service
or	CC	or
our	PP$	our
AI	NN	ai
Code	NP	Code
of	IN	of
Conduct	NP	Conduct
.	SENT	.
"	''	"
Microsoft	NP	Microsoft
'	POS	'
s	NNS	<unknown>
AI	VBP	ai
code	NN	code
of	IN	of
conduct	NN	conduct
requires	VBZ	require
that	IN	that
customers	NNS	customer
use	VBP	use
human	JJ	human
oversight	NN	oversight
and	CC	and
access	NN	access
controls	NNS	control
to	TO	to
ensure	VB	ensure
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
any	DT	any
way	NN	way
that	WDT	that
is	VBZ	be
prohibited	VBN	prohibit
by	IN	by
law	NN	law
.	SENT	.
"	''	"
<p>
The	DT	the
review	NN	review
process	NN	process
included	VBD	include
"	''	"
interviewing	VBG	interview
dozens	NNS	dozen
of	IN	of
employees	NNS	employee
and	CC	and
assessing	VBG	assess
documents	NNS	document
,	,	,
"	''	"
looking	VBG	look
for	IN	for
evidence	NN	evidence
that	IN	that
Microsoft	NP	Microsoft
technologies	NNS	technology
were	VBD	be
being	VBG	be
used	VBN	use
to	TO	to
target	VB	target
or	CC	or
harm	VB	harm
anyone	NN	anyone
in	IN	in
Gaza	NP	Gaza
.	SENT	.
However	RB	however
,	,	,
the	DT	the
company	NN	company
notes	VBZ	note
that	IN	that
it	PP	it
"	``	"
does	VBZ	do
not	RB	not
have	VB	have
visibility	NN	visibility
into	IN	into
how	WRB	how
customers	NNS	customer
use	VBP	use
our	PP$	our
software	NN	software
on	IN	on
their	PP$	their
own	JJ	own
servers	NNS	server
or	CC	or
other	JJ	other
devices	NNS	device
,	,	,
"	''	"
so	IN	so
the	DT	the
evidence	NN	evidence
to	TO	to
inform	VB	inform
its	PP$	its
review	NN	review
is	VBZ	be
clearly	RB	clearly
very	RB	very
limited	VBN	limit
in	IN	in
scope	NN	scope
.	SENT	.
<p>
The	DT	the
review	NN	review
comes	VBZ	come
just	RB	just
weeks	NNS	week
after	IN	after
two	CD	two
former	JJ	former
Microsoft	NP	Microsoft
employees	NNS	employee
disrupted	VBD	disrupt
the	DT	the
company	NN	company
'	POS	'
s	JJ	<unknown>
50th-anniversary	JJ	50th-anniversary
event	NN	event
,	,	,
with	IN	with
one	CD	one
calling	VBG	call
Microsoft	NP	Microsoft
'	POS	'
s	NNS	<unknown>
AI	VBP	ai
CEO	NP	CEO
,	,	,
Mustafa	NP	Mustafa
Suleyman	NP	Suleyman
,	,	,
a	DT	a
"	``	"
war	NN	war
profiteer	NN	profiteer
"	''	"
and	CC	and
demanding	VBG	demand
that	IN	that
Microsoft	NP	Microsoft
"	``	"
stop	VB	stop
using	VBG	use
AI	NN	ai
for	IN	for
genocide	NN	genocide
in	IN	in
our	PP$	our
region	NN	region
.	SENT	.
"	``	"
A	DT	a
second	JJ	second
protester	NN	protester
interrupted	VBN	interrupt
Microsoft	NP	Microsoft
co-founder	NN	co-founder
Bill	NP	Bill
Gates	NP	Gates
,	,	,
former	JJ	former
CEO	NP	CEO
Steve	NP	Steve
Ballmer	NP	Ballmer
,	,	,
and	CC	and
