<h>
BREAKING	VBG	break
NEWSDC	NP	<unknown>
museum	NN	museum
shooter	NN	shooter
Elias	NP	Elias
Rodriguez	NP	Rodriguez
told	VBD	tell
he	PP	he
could	MD	could
face	VB	face
death	NN	death
penalty	NN	penalty
as	IN	as
he	PP	he
appears	VBZ	appear
in	IN	in
court	NN	court
<p>
A	DT	a
pro-Palestinian	NP	pro-Palestinian
activist	NN	activist
accused	VBN	accuse
of	IN	of
shooting	VBG	shoot
dead	JJ	dead
a	DT	a
young	JJ	young
Israeli	JJ	Israeli
diplomat	NN	diplomat
couple	NN	couple
made	VBD	make
his	PP$	his
first	JJ	first
appearance	NN	appearance
in	IN	in
court	NN	court
and	CC	and
was	VBD	be
told	VBN	tell
he	PP	he
could	MD	could
face	VB	face
the	DT	the
death	NN	death
penalty	NN	penalty
if	IN	if
convicted	VBN	convict
.	SENT	.
<p>
Elias	NP	Elias
Rodriguez	NP	Rodriguez
,	,	,
31	CD	@card@
,	,	,
appeared	VBN	appear
in	IN	in
a	DT	a
white	JJ	white
prison	NN	prison
jumpsuit	NN	jumpsuit
at	IN	at
a	DT	a
federal	JJ	federal
court	NN	court
in	IN	in
Washington	NP	Washington
DC	NP	DC
.	SENT	.
<p>
Cameras	NNS	camera
were	VBD	be
not	RB	not
allowed	VBN	allow
inside	IN	inside
the	DT	the
courtroom	NN	courtroom
which	WDT	which
was	VBD	be
just	RB	just
a	DT	a
few	JJ	few
blocks	NNS	block
from	IN	from
where	WRB	where
the	DT	the
horrific	JJ	horrific
crime	NN	crime
took	VBD	take
place	NN	place
in	IN	in
the	DT	the
nation	NN	nation
'	POS	'
s	NN	S
capital	NN	capital
.	SENT	.
<p>
Rodriguez	NP	Rodriguez
,	,	,
who	WP	who
was	VBD	be
not	RB	not
handcuffed	VBN	handcuff
,	,	,
nodded	VBN	nod
repeatedly	RB	repeatedly
as	IN	as
the	DT	the
judge	NN	judge
read	VBD	read
him	PP	him
the	DT	the
charges	NNS	charge
.	SENT	.
There	EX	there
were	VBD	be
no	DT	no
outbursts	NNS	outburst
and	CC	and
he	PP	he
spoke	VBD	speak
in	IN	in
a	DT	a
calm	JJ	calm
and	CC	and
even	RB	even
voice	VBP	voice
when	WRB	when
giving	VBG	give
his	PP$	his
name	NN	name
and	CC	and
age	NN	age
.	SENT	.
<p>
At	IN	at
one	CD	one
point	NN	point
towards	IN	towards
the	DT	the
end	NN	end
of	IN	of
the	DT	the
15-minute	JJ	15-minute
hearting	VBG	heart
he	PP	he
smiled	VBD	smile
briefly	RB	briefly
and	CC	and
appeared	VBD	appear
to	TO	to
shrug	VB	shrug
slightly	RB	slightly
as	IN	as
lawyers	NNS	lawyer
discussed	VBD	discuss
the	DT	the
best	JJS	good
timing	NN	timing
for	IN	for
his	PP$	his
next	JJ	next
hearing	NN	hearing
.	SENT	.
<p>
Magistrate	NN	magistrate
Judge	NP	Judge
Matthew	NP	Matthew
Sharbaugh	NP	Sharbaugh
told	VBD	tell
him	PP	him
he	PP	he
faces	VBZ	face
five	CD	five
charges	NNS	charge
.	SENT	.
<p>
The	DT	the
first	JJ	first
was	VBD	be
'	POS	'
murder	NN	murder
of	IN	of
foreign	JJ	foreign
officials	NNS	official
'	''	'
and	CC	and
carries	VBZ	carry
a	DT	a
possible	NN	possible
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
