<h>
Gaza-bound	JJ	Gaza-bound
activist	JJ	activist
boat	NN	boat
carrying	VBG	carry
Greta	NP	Greta
Thunberg	NP	Thunberg
towed	VBD	tow
to	TO	to
Israel	NP	Israel
<p>
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
foreign	JJ	foreign
ministry	NN	ministry
shared	VBD	share
a	DT	a
picture	NN	picture
of	IN	of
Swedish	JJ	Swedish
activist	NN	activist
Greta	NP	Greta
Thunberg	NP	Thunberg
,	,	,
after	IN	after
Israeli	JJ	Israeli
forces	NNS	force
intercepted	VBD	intercept
the	DT	the
aid	NN	aid
boat	NN	boat
she	PP	she
was	VBD	be
on	IN	on
<p>
Jaroslav	NP	Jaroslav
Lukiv	NP	<unknown>
<p>
BBC	NP	BBC
News	NP	News
<p>
Published	VBN	publish
<p>
9	CD	@card@
June	NP	June
2025	CD	@card@
,	,	,
01:17	CD	@card@
BST	NP	BST
<p>
Updated	VBN	update
2	CD	@card@
hours	NNS	hour
ago	RB	ago
<p>
A	DT	a
yacht	NN	yacht
carrying	VBG	carry
12	CD	@card@
people	NNS	people
that	WDT	that
were	VBD	be
trying	VBG	try
to	TO	to
bring	VB	bring
humanitarian	JJ	humanitarian
aid	NN	aid
to	TO	to
Gaza	NP	Gaza
has	VBZ	have
been	VBN	be
towed	VBN	tow
to	TO	to
the	DT	the
Israeli	JJ	Israeli
port	NN	port
city	NN	city
of	IN	of
Ashdod	NP	Ashdod
,	,	,
after	IN	after
it	PP	it
was	VBD	be
seized	VBN	seize
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
.	SENT	.
<p>
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
foreign	JJ	foreign
ministry	NN	ministry
said	VBD	say
the	DT	the
boat	NN	boat
had	VBD	have
docked	VBN	dock
and	CC	and
that	IN	that
those	DT	those
aboard	IN	aboard
the	DT	the
vessel	NN	vessel
,	,	,
including	VBG	include
Swedish	JJ	Swedish
activist	NN	activist
Greta	NP	Greta
Thunberg	NP	Thunberg
,	,	,
were	VBD	be
"	``	"
undergoing	VBG	undergo
medical	JJ	medical
examinations	NNS	examination
to	TO	to
ensure	VB	ensure
they	PP	they
are	VBP	be
in	IN	in
good	JJ	good
health	NN	health
"	''	"
.	SENT	.
<p>
Organisers	NNS	organiser
said	VBD	say
the	DT	the
Madleen	NP	<unknown>
was	VBD	be
aiming	VBG	aim
to	TO	to
bring	VB	bring
a	DT	a
"	``	"
symbolic	JJ	symbolic
"	''	"
amount	NN	amount
of	IN	of
aid	NN	aid
to	TO	to
Gaza	NP	Gaza
in	IN	in
defiance	NN	defiance
of	IN	of
an	DT	an
Israeli	JJ	Israeli
naval	JJ	naval
blockade	NN	blockade
.	SENT	.
They	PP	they
said	VBD	say
it	PP	it
was	VBD	be
intercepted	VBN	intercept
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
in	IN	in
international	JJ	international
waters	NNS	water
in	IN	in
the	DT	the
early	JJ	early
hours	NNS	hour
of	IN	of
Monday	NP	Monday
.	SENT	.
<p>
Israel	NP	Israel
dismissed	VBD	dismiss
it	PP	it
as	IN	as
a	DT	a
"	``	"
selfie	NN	<unknown>
yacht	NN	yacht
"	''	"
,	,	,
saying	VBG	say
it	PP	it
would	MD	would
deport	VB	deport
the	DT	the
passengers	NNS	passenger
to	TO	to
their	PP$	their
home	NN	home
countries	NNS	country
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
and	CC	and
baby	NN	baby
formula	NN	formula
,	,	,
organisers	NNS	organiser
the	DT	the
Freedom	NN	freedom
Flotilla	NN	flotilla
Coalition	NP	Coalition
(	(	(
FFC	NP	FFC
)	)	)
said	VBD	say
.	SENT	.
<p>
Citizens	NNS	citizen
of	IN	of
Brazil	NP	Brazil
,	,	,
France	NP	France
,	,	,
Germany	NP	Germany
,	,	,
the	DT	the
Netherlands	NP	Netherlands
,	,	,
Spain	NP	Spain
,	,	,
Sweden	NP	Sweden
and	CC	and
Turkey	NP	Turkey
are	VBP	be
onboard	JJ	onboard
the	DT	the
vessel	NN	vessel
-	NN	<unknown>
among	IN	among
them	PP	them
Rima	NP	Rima
Hassan	NP	Hassan
,	,	,
a	DT	a
French	JJ	French
member	NN	member
of	IN	of
the	DT	the
European	NP	European
Parliament	NP	Parliament
,	,	,
and	CC	and
Omar	NP	Omar
Faiad	NP	<unknown>
,	,	,
a	DT	a
French	JJ	French
journalist	NN	journalist
with	IN	with
Al	NP	Al
Jazeera	NP	<unknown>
.	SENT	.
<p>
Earlier	RBR	earlier
on	IN	on
Monday	NP	Monday
,	,	,
French	NP	French
President	NP	President
