<p>
Swedish	JJ	Swedish
activist	NN	activist
Greta	NP	Greta
Thunberg	NP	Thunberg
lost	VBD	lose
control	NN	control
of	IN	of
her	PP$	her
self-documented	JJ	<unknown>
voyage	NN	voyage
to	TO	to
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
when	WRB	when
the	DT	the
Israeli	JJ	Israeli
government	NN	government
intercepted	VBD	intercept
her	PP$	her
ship	NN	ship
and	CC	and
detained	VBD	detain
those	DT	those
aboard	RB	aboard
.	SENT	.
<p>
Social	JJ	social
media	NNS	medium
accounts	NNS	account
representing	VBG	represent
Israel	NP	Israel
launched	VBD	launch
a	DT	a
widespread	JJ	widespread
campaign	NN	campaign
of	IN	of
mockery	NN	mockery
against	IN	against
Thunberg	NP	Thunberg
and	CC	and
the	DT	the
other	JJ	other
celebrities	NNS	celebrity
aboard	IN	aboard
the	DT	the
vessel	NN	vessel
,	,	,
known	VBN	know
as	IN	as
the	DT	the
Madleen	NP	<unknown>
,	,	,
which	WDT	which
they	PP	they
derided	VBD	deride
as	IN	as
a	DT	a
"	``	"
selfie	NN	<unknown>
yacht	NN	yacht
.	SENT	.
"	''	"
<h>
Recommended	VBD	recommend
Stories	NP	Stories
<p>
"	``	"
The	NP	The
'	POS	'
selfie	NN	<unknown>
yacht	NN	yacht
'	''	'
is	VBZ	be
safely	RB	safely
making	VBG	make
its	PP$	its
way	NN	way
to	TO	to
the	DT	the
shores	NNS	shore
of	IN	of
Israel	NP	Israel
,	,	,
"	''	"
the	DT	the
Israeli	JJ	Israeli
government	NN	government
announced	VBN	announce
via	IN	via
social	JJ	social
media	NNS	medium
.	SENT	.
"	``	"
The	DT	the
passengers	NNS	passenger
are	VBP	be
safe	JJ	safe
and	CC	and
were	VBD	be
provided	VBN	provide
with	IN	with
sandwiches	NNS	sandwich
and	CC	and
water	NN	water
,	,	,
and	CC	and
are	VBP	be
expected	VBN	expect
to	TO	to
return	VB	return
to	TO	to
their	PP$	their
home	NN	home
countries	NNS	country
.	SENT	.
"	''	"
<p>
Good	JJ	good
morning	NN	morning
to	TO	to
all	DT	all
our	PP$	our
followers	NNS	follower
?	SENT	?
?	SENT	?
?	SENT	?
?	SENT	?
?	SENT	?
?	SENT	?
<p>
In	IN	in
case	NN	case
you	PP	you
missed	VBD	miss
it	PP	it
:	:	:
<p>
?	SENT	?
?	SENT	?
The	DT	the
'	POS	'
selfie	NN	<unknown>
yacht	NN	yacht
'	''	'
is	VBZ	be
safely	RB	safely
making	VBG	make
its	PP$	its
way	NN	way
to	TO	to
the	DT	the
shores	NNS	shore
of	IN	of
Israel	NP	Israel
.	SENT	.
The	DT	the
passengers	NNS	passenger
are	VBP	be
safe	JJ	safe
and	CC	and
were	VBD	be
provided	VBN	provide
with	IN	with
sandwiches	NNS	sandwich
and	CC	and
water	NN	water
,	,	,
and	CC	and
are	VBP	be
expected	VBN	expect
to	TO	to
return	VB	return
to	TO	to
their	PP$	their
home	NN	home
countries	NNS	country
.	SENT	.
<p>
Israeli	JJ	Israeli
authorities	NNS	authority
asserted	VBD	assert
that	IN	that
the	DT	the
"	``	"
tiny	JJ	tiny
amount	NN	amount
of	IN	of
aid	NN	aid
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
would	MD	would
be	VB	be
funneled	VBN	funnel
into	IN	into
humanitarian	JJ	humanitarian
networks	NNS	network
for	IN	for
distribution	NN	distribution
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
Photos	NNS	photo
of	IN	of
the	DT	the
arrest	NN	arrest
were	VBD	be
published	VBN	publish
showing	VBG	show
