<h>
Six-year-old	NP	Six-year-old
Palestinian-American	NP	Palestinian-American
killed	VBD	kill
in	IN	in
Islamophobic	JJ	Islamophobic
attack	NN	attack
in	IN	in
US	NP	US
<p>
An	DT	an
innocent	JJ	innocent
Palestinian-American	NP	Palestinian-American
boy	NN	boy
was	VBD	be
killed	VBN	kill
and	CC	and
his	PP$	his
mother	NN	mother
was	VBD	be
injured	VBN	injure
after	IN	after
they	PP	they
were	VBD	be
stabbed	VBN	stab
by	IN	by
their	PP$	their
landlord	NN	landlord
in	IN	in
the	DT	the
state	NN	state
of	IN	of
Illinois	NP	Illinois
on	IN	on
Saturday	NP	Saturday
morning	NN	morning
because	IN	because
they	PP	they
were	VBD	be
Muslims	NPS	Muslims
.	SENT	.
<p>
The	DT	the
71-year-old	JJ	71-year-old
man	NN	man
named	VBN	name
Joseph	NP	Joseph
Czuba	NP	Czuba
has	VBZ	have
been	VBN	be
charged	VBN	charge
with	IN	with
murder	NN	murder
and	CC	and
hate	NN	hate
crimes	NNS	crime
after	IN	after
allegedly	RB	allegedly
stabbing	VBG	stab
a	DT	a
six-year-old	JJ	six-year-old
boy	NN	boy
,	,	,
and	CC	and
his	PP$	his
32-year-old	JJ	32-year-old
mother	NN	mother
,	,	,
in	IN	in
Plainfield	NP	Plainfield
,	,	,
Illinois	NP	Illinois
because	IN	because
they	PP	they
were	VBD	be
Muslims	NPS	Muslims
.	SENT	.
<p>
The	DT	the
mother	NN	mother
and	CC	and
her	PP$	her
son	NN	son
were	VBD	be
targeted	VBN	target
because	IN	because
of	IN	of
the	DT	the
current	JJ	current
conflict	NN	conflict
between	IN	between
Hamas	NP	<unknown>
and	CC	and
Israel	NP	Israel
,	,	,
the	DT	the
Will	NP	Will
County	NP	County
Sheriff	NP	Sheriff
'	POS	'
s	NN	S
Office	NN	office
said	VBD	say
.	SENT	.
<p>
President	NP	President
Biden	NP	Biden
took	VBD	take
to	TO	to
X	NP	X
,	,	,
formerly	RB	formerly
known	VBN	know
as	IN	as
Twitter	NN	twitter
,	,	,
saying	VBG	say
he	PP	he
and	CC	and
his	PP$	his
wife	NN	wife
,	,	,
Jill	NP	Jill
Biden	NP	Biden
,	,	,
were	VBD	be
"	``	"
sickened	VBN	sicken
"	''	"
by	IN	by
the	DT	the
attack	NN	attack
on	IN	on
the	DT	the
mother	NN	mother
and	CC	and
her	PP$	her
son	NN	son
.	SENT	.
<p>
"	``	"
This	DT	this
horrific	JJ	horrific
act	NN	act
of	IN	of
hate	NN	hate
has	VBZ	have
no	DT	no
place	NN	place
in	IN	in
America	NP	America
,	,	,
and	CC	and
stands	VBZ	stand
against	IN	against
our	PP$	our
fundamental	JJ	fundamental
values	NNS	value
:	:	:
freedom	NN	freedom
from	IN	from
fear	NN	fear
for	IN	for
how	WRB	how
we	PP	we
pray	VBP	pray
,	,	,
what	WP	what
we	PP	we
believe	VBP	believe
,	,	,
and	CC	and
who	WP	who
we	PP	we
are	VBP	be
,	,	,
"	''	"
Biden	NP	Biden
said	VBD	say
in	IN	in
a	DT	a
statement	NN	statement
.	SENT	.
<p>
"	''	"
As	RB	as
Americans	NPS	Americans
,	,	,
we	PP	we
must	MD	must
come	VB	come
together	RB	together
and	CC	and
reject	VB	reject
Islamophobia	NN	Islamophobia
and	CC	and
all	DT	all
forms	NNS	form
of	IN	of
bigotry	NN	bigotry
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
Will	NP	Will
County	NP	County
Sheriff	NP	Sheriff
'	POS	'
s	NN	S
Office	NN	office
said	VBD	say
that	IN	that
on	IN	on
Saturday	NP	Saturday
morning	NN	morning
it	PP	it
received	VBD	receive
an	DT	an
emergency	NN	emergency
call	NN	call
from	IN	from
the	DT	the
