<h>
Just	RB	just
In	IN	in
<h>
Sonia	NP	Sonia
condemns	VBZ	condemn
India	NP	India
abstaining	VBG	abstain
from	IN	from
voting	NN	voting
for	IN	for
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
<h>
In	IN	in
her	PP$	her
editorial	JJ	editorial
piece	NN	piece
published	VBN	publish
in	IN	in
a	DT	a
leading	VBG	lead
daily	NN	daily
on	IN	on
Monday	NP	Monday
,	,	,
Congress	NP	Congress
Parliamentary	JJ	parliamentary
Party	NP	Party
(	(	(
CPP	NP	CPP
)	)	)
chairperson	NN	chairperson
Sonia	NP	Sonia
Gandhi	NP	Gandhi
condemned	VBD	condemn
India	NP	India
abstaining	VBG	abstain
from	IN	from
voting	NN	voting
in	IN	in
the	DT	the
UN	NP	UN
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
,	,	,
saying	VBG	say
the	DT	the
grand	JJ	grand
old	JJ	old
party	NN	party
'	POS	'
s	NNS	<unknown>
stand	VBP	stand
on	IN	on
the	DT	the
issue	NN	issue
of	IN	of
Israel	NP	Israel
and	CC	and
Palestine	NP	Palestine
has	VBZ	have
been	VBN	be
consistent	JJ	consistent
over	IN	over
the	DT	the
years	NNS	year
.	SENT	.
<p>
New	NP	New
Delhi	NP	Delhi
:	:	:
In	IN	in
her	PP$	her
editorial	JJ	editorial
piece	NN	piece
published	VBN	publish
in	IN	in
a	DT	a
leading	VBG	lead
daily	NN	daily
on	IN	on
Monday	NP	Monday
,	,	,
Congress	NP	Congress
Parliamentary	JJ	parliamentary
Party	NP	Party
(	(	(
CPP	NP	CPP
)	)	)
chairperson	NN	chairperson
Sonia	NP	Sonia
Gandhi	NP	Gandhi
condemned	VBD	condemn
India	NP	India
abstaining	VBG	abstain
from	IN	from
voting	NN	voting
in	IN	in
the	DT	the
UN	NP	UN
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
,	,	,
saying	VBG	say
the	DT	the
grand	JJ	grand
old	JJ	old
party	NN	party
'	POS	'
s	NNS	<unknown>
stand	VBP	stand
on	IN	on
the	DT	the
issue	NN	issue
of	IN	of
Israel	NP	Israel
and	CC	and
Palestine	NP	Palestine
has	VBZ	have
been	VBN	be
consistent	JJ	consistent
over	IN	over
the	DT	the
years	NNS	year
.	SENT	.
<p>
"	''	"
Contrary	JJ	contrary
to	TO	to
some	DT	some
mischievous	JJ	mischievous
suggestions	NNS	suggestion
,	,	,
the	DT	the
position	NN	position
of	IN	of
the	DT	the
Indian	NP	Indian
National	NP	National
Congress	NP	Congress
has	VBZ	have
been	VBN	be
long-standing	JJ	long-standing
and	CC	and
principles	NNS	principle
:	:	:
it	PP	it
is	VBZ	be
to	TO	to
support	VB	support
direct	JJ	direct
negotiations	NNS	negotiation
for	IN	for
a	DT	a
sovereign	JJ	sovereign
independent	JJ	independent
