<h>
UK	NP	UK
,	,	,
US	NP	US
,	,	,
Canada	NP	Canada
among	IN	among
nations	NNS	nation
to	TO	to
suspend	VB	suspend
support	NN	support
for	IN	for
UNRWA	NP	<unknown>
amid	IN	amid
allegations	NNS	allegation
<p>
UN	NP	UN
had	VBD	have
rejected	VBN	reject
the	DT	the
allegations	NNS	allegation
against	IN	against
the	DT	the
agency	NN	agency
<p>
Web	NP	Web
Desk	NN	desk
Updated	VBN	update
:	:	:
January	NP	January
27	CD	@card@
,	,	,
2024	CD	@card@
17:55	CD	@card@
IST	NP	ist
<p>
Palestinians	NPS	Palestinians
arrive	VBP	arrive
in	IN	in
the	DT	the
southern	JJ	southern
Gaza	NP	Gaza
town	NN	town
of	IN	of
Rafah	NP	<unknown>
after	IN	after
fleeing	VBG	flee
an	DT	an
Israeli	JJ	Israeli
ground	NN	ground
and	CC	and
air	NN	air
offensive	NN	offensive
in	IN	in
the	DT	the
nearby	JJ	nearby
city	NN	city
of	IN	of
Khan	NP	Khan
Younis	NP	Younis
AP	NP	AP
<p>
Along	IN	along
with	IN	with
the	DT	the
United	NP	United
States	NPS	States
,	,	,
Australia	NP	Australia
,	,	,
Canada	NP	Canada
,	,	,
United	NP	United
Kingdom	NP	Kingdom
and	CC	and
Italy	NP	Italy
has	VBZ	have
suspended	VBN	suspend
financing	NN	financing
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
agency	NN	agency
for	IN	for
Palestinian	JJ	Palestinian
refugees	NNS	refugee
(	(	(
UNRWA	NP	<unknown>
)	)	)
on	IN	on
Saturday	NP	Saturday
.	SENT	.
<p>
Taking	VBG	take
to	TO	to
X	NP	X
,	,	,
Italy	NP	Italy
'	POS	'
s	NN	S
Foreign	NP	Foreign
Minister	NP	Minister
Antonio	NP	Antonio
Tajani	NP	Tajani
said	VBD	say
,	,	,
"	``	"
The	DT	the
Italian	JJ	Italian
government	NN	government
has	VBZ	have
suspended	VBN	suspend
financing	NN	financing
of	IN	of
the	DT	the
UNRWA	NP	<unknown>
after	IN	after
the	DT	the
atrocious	JJ	atrocious
attack	NN	attack
on	IN	on
Israel	NP	Israel
on	IN	on
7	CD	@card@
October	NP	October
.	SENT	.
"	``	"
<p>
The	DT	the
move	NN	move
follows	VBZ	follow
after	IN	after
it	PP	it
was	VBD	be
alleged	VBN	allege
that	IN	that
UNRWA	NP	<unknown>
'	POS	'
s	NN	S
staff	NN	staff
were	VBD	be
involved	VBN	involve
in	IN	in
the	DT	the
October	NP	October
7	CD	@card@
attacks	NNS	attack
by	IN	by
Hamas	NP	<unknown>
in	IN	in
Israel	NP	Israel
.	SENT	.
<p>
Expressing	VBG	express
shock	NN	shock
over	IN	over
the	DT	the
allegations	NNS	allegation
,	,	,
Penny	NP	Penny
Wong	NP	Wong
,	,	,
Australia	NP	Australia
'	POS	'
s	JJ	<unknown>
foreign	JJ	foreign
minister	NN	minister
,	,	,
said	VBD	say
that	IN	that
she	PP	she
was	VBD	be
"	``	"
deeply	RB	deeply
