<p>
United	NP	United
States	NPS	States
Secretary	NP	Secretary
Antony	NP	Antony
Blinken	NP	<unknown>
on	IN	on
Sunday	NP	Sunday
spoke	VBD	speak
with	IN	with
G7	JJ	<unknown>
Foreign	NP	Foreign
Ministers	NPS	Ministers
to	TO	to
discuss	VB	discuss
diplomatic	JJ	diplomatic
efforts	NNS	effort
to	TO	to
prevent	VB	prevent
the	DT	the
escalation	NN	escalation
of	IN	of
the	DT	the
conflict	NN	conflict
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
.	SENT	.
"	``	"
Secretary	NP	Secretary
of	IN	of
State	NP	State
Antony	NP	Antony
J	NP	J
Blinken	NP	<unknown>
spoke	VBD	speak
today	NN	today
with	IN	with
the	DT	the
G7	JJ	<unknown>
Foreign	NP	Foreign
Ministers	NPS	Ministers
to	TO	to
discuss	VB	discuss
the	DT	the
urgent	JJ	urgent
need	NN	need
for	IN	for
de-escalation	NN	de-escalation
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
,	,	,
"	''	"
the	DT	the
US	NP	US
State	NP	State
Department	NP	Department
said	VBD	say
in	IN	in
an	DT	an
official	JJ	official
statement	NN	statement
.	SENT	.
<p>
"	``	"
The	DT	the
Secretary	NP	Secretary
and	CC	and
Foreign	NP	Foreign
Ministers	NPS	Ministers
discussed	VBD	discuss
ongoing	JJ	ongoing
efforts	NNS	effort
to	TO	to
achieve	VB	achieve
a	DT	a
ceasefire	NN	ceasefire
that	WDT	that
secures	VBZ	secure
the	DT	the
release	NN	release
of	IN	of
hostages	NNS	hostage
and	CC	and
allows	VBZ	allow
a	DT	a
surge	NN	surge
of	IN	of
humanitarian	JJ	humanitarian
aid	NN	aid
to	TO	to
Gaza	NP	Gaza
.	SENT	.
They	PP	they
discussed	VBD	discuss
how	WRB	how
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
would	MD	would
unlock	VB	unlock
the	DT	the
possibility	NN	possibility
of	IN	of
greater	JJR	great
peace	NN	peace
and	CC	and
stability	NN	stability
in	IN	in
the	DT	the
region	NN	region
,	,	,
including	VBG	include
across	IN	across
the	DT	the
Blue	NP	Blue
Line	NP	Line
,	,	,
"	''	"
the	DT	the
statement	NN	statement
added	VBD	add
.	SENT	.
<p>
Further	RBR	further
,	,	,
the	DT	the
Secretary	NP	Secretary
and	CC	and
Foreign	NP	Foreign
Ministers	NP	Ministers
reiterated	VBD	reiterate
their	PP$	their
commitment	NN	commitment
to	TO	to
Israel	NP	Israel
'	POS	'
s	NN	S
security	NN	security
and	CC	and
urged	VBD	urge
maximum	JJ	maximum
restraint	NN	restraint
from	IN	from
all	DT	all
parties	NNS	party
to	TO	to
keep	VB	keep
the	DT	the
conflict	NN	conflict
from	IN	from
escalating	VBG	escalate
.	SENT	.
Following	VBG	follow
this	DT	this
,	,	,
US	NP	US
State	NP	State
Department	NP	Department
Spokesperson	NN	spokesperson
Mathew	NP	Mathew
Miller	NP	Miller
shared	VBD	share
a	DT	a
post	NN	post
on	IN	on
X	NP	X
and	CC	and
stated	VBN	state
,	,	,
"	''	"
@SecBlinken	NP	<unknown>
spoke	VBD	speak
with	IN	with
G7	JJ	<unknown>
Foreign	NP	Foreign
Ministers	NPS	Ministers
to	TO	to
discuss	VB	discuss
diplomatic	JJ	diplomatic
efforts	NNS	effort
to	TO	to
prevent	VB	prevent
the	DT	the
escalation	NN	escalation
of	IN	of
the	DT	the
conflict	NN	conflict
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
.	SENT	.
"	``	"
The	DT	the
development	NN	development
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
and	CC	and
Iran	NP	Iran
,	,	,
also	RB	also
Lebanon	NP	Lebanon
after	IN	after
the	DT	the
killing	NN	killing
of	IN	of
Hamas	NP	<unknown>
chief	JJ	chief
Ismail	NP	Ismail
Haniyeh	NP	<unknown>
in	IN	in
Tehran	NP	Tehran
last	JJ	last
week	NN	week
.	SENT	.
<p>
The	DT	the
killing	NN	killing
of	IN	of
two	CD	two
senior	JJ	senior
militants	NNS	militant
of	IN	of
Hamas	NP	<unknown>
and	CC	and
Hezbollah	NP	Hezbollah
in	IN	in
quick	JJ	quick
succession	NN	succession
raised	VBD	raise
the	DT	the
temperatures	NNS	temperature
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
,	,	,
besides	IN	besides
the	DT	the
ongoing	JJ	ongoing
war	NN	war
in	IN	in
Gaza	NP	Gaza
,	,	,
which	WDT	which
has	VBZ	have
been	VBN	be
continuing	VBG	continue
for	IN	for
nearly	RB	nearly
10	CD	@card@
months	NNS	month
.	SENT	.
Around	IN	around
50	CD	@card@
rockets	NNS	rocket
were	VBD	be
fired	VBN	fire
from	IN	from
southern	JJ	southern
Lebanon	NP	Lebanon
towards	IN	towards
Israel	NP	Israel
on	IN	on
Sunday	NP	Sunday
(	(	(
local	JJ	local
time	NN	time
)	)	)
,	,	,
SKY	NN	sky
News	NP	News
reported	VBD	report
,	,	,
citing	VBG	cite
Israeli	JJ	Israeli
media	NNS	medium
reports	NNS	report
.	SENT	.
<p>
Videos	NNS	video
showed	VBD	show
Israel	NP	Israel
'	POS	'
s	NN	S
Iron	NP	Iron
Dome	NP	Dome
defence	NN	defence
system	NN	system
being	VBG	be
activated	VBN	activate
over	IN	over
the	DT	the
area	NN	area
.	SENT	.
Hezbollah	NP	Hezbollah
said	VBD	say
in	IN	in
a	DT	a
statement	NN	statement
that	IN	that
it	PP	it
attacked	VBD	attack
a	DT	a
new	JJ	new
Israeli	JJ	Israeli
settlement	NN	settlement
,	,	,
Beit	NP	Beit
Hillel	NP	Hillel
,	,	,
with	IN	with
rockets	NNS	rocket
.	SENT	.
This	DT	this
is	VBZ	be
in	IN	in
response	NN	response
to	TO	to
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
attacks	NNS	attack
on	IN	on
Palestinian	JJ	Palestinian
villages	NNS	village
in	IN	in
Gaza	NP	Gaza
,	,	,
which	WDT	which
hurt	VBP	hurt
civilians	NNS	civilian
.	SENT	.
Hezbollah	NP	Hezbollah
is	VBZ	be
supporting	VBG	support
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
