<p>
Palestinians	NPS	Palestinians
sit	VBP	sit
atop	IN	atop
their	PP$	their
belongings	NNS	belonging
in	IN	in
the	DT	the
back	NN	back
of	IN	of
a	DT	a
vehicle	NN	vehicle
as	IN	as
they	PP	they
flee	VBP	flee
a	DT	a
makeshift	JJ	makeshift
camp	NN	camp
for	IN	for
displaced	VBN	displace
people	NNS	people
in	IN	in
Khan	NP	Khan
Yunis	NP	Yunis
in	IN	in
the	DT	the
southern	JJ	southern
Gaza	NP	Gaza
Strip	NP	Strip
after	IN	after
Israeli	JJ	Israeli
tanks	NNS	tank
took	VBD	take
position	NN	position
on	IN	on
a	DT	a
hill	NN	hill
overlooking	VBG	overlook
the	DT	the
area	NN	area
.	SENT	.
(	(	(
Image	VB	image
:	:	:
AFP	NP	AFP
)	)	)
<h>
US	NP	US
secretary	NN	secretary
of	IN	of
state	NN	state
Antony	NP	Antony
Blinken	NP	<unknown>
arrived	VBD	arrive
in	IN	in
Israel	NP	Israel
for	IN	for
the	DT	the
truce	NN	truce
talks	NNS	talk
and	CC	and
will	MD	will
head	VB	head
to	TO	to
Cairo	NP	Cairo
where	WRB	where
the	DT	the
talks	NNS	talk
will	MD	will
be	VB	be
held	VBN	hold
.	SENT	.
<p>
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
prime	JJ	prime
minister	NN	minister
on	IN	on
Sunday	NP	Sunday
accused	VBD	accuse
Hamas	NN	<unknown>
of	IN	of
being	VBG	be
an	DT	an
obstacle	NN	obstacle
in	IN	in
negotiations	NNS	negotiation
for	IN	for
a	DT	a
Gaza	NP	Gaza
ceasefire	NN	ceasefire
deal	NN	deal
and	CC	and
called	VBN	call
for	IN	for
more	JJR	more
pressure	NN	pressure
on	IN	on
the	DT	the
Palestinian	JJ	Palestinian
militants	NNS	militant
ahead	RB	ahead
of	IN	of
a	DT	a
new	JJ	new
round	NN	round
of	IN	of
talks	NNS	talk
later	RBR	later
this	DT	this
week	NN	week
.	SENT	.
<p>
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
'	POS	'
s	NN	S
comments	NNS	comment
came	VBD	come
with	IN	with
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
Antony	NP	Antony
Blinken	NP	<unknown>
arriving	VBG	arrive
in	IN	in
Israel	NP	Israel
on	IN	on
Sunday	NP	Sunday
to	TO	to
push	VB	push
for	IN	for
a	DT	a
deal	NN	deal
that	WDT	that
could	MD	could
help	VB	help
avert	VB	avert
a	DT	a
wider	JJR	wide
conflagration	NN	conflagration
.	SENT	.
He	PP	he
will	MD	will
visit	VB	visit
Cairo	NP	Cairo
for	IN	for
the	DT	the
talks	NNS	talk
.	SENT	.
<p>
"	''	"
Hamas	NNS	<unknown>
,	,	,
up	RB	up
to	TO	to
this	DT	this
moment	NN	moment
,	,	,
remains	VBZ	remain
obstinate	JJ	obstinate
.	SENT	.
It	PP	it
did	VBD	do
not	RB	not
even	RB	even
send	VB	send
a	DT	a
representative	NN	representative
to	TO	to
the	DT	the
talks	NNS	talk
in	IN	in
Doha	NP	Doha
.	SENT	.
Therefore	RB	therefore
,	,	,
the	DT	the
pressure	NN	pressure
should	MD	should
be	VB	be
directed	VBN	direct
at	IN	at
Hamas	NP	<unknown>
and	CC	and
(	(	(
Yahya	NP	Yahya
)	)	)
Sinwar	NP	<unknown>
,	,	,
not	RB	not
at	IN	at
the	DT	the
Israeli	JJ	Israeli
government	NN	government
,	,	,
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
