<p>
CAIRO	NP	Cairo
:	:	:
Israeli	JJ	Israeli
airstrikes	NNS	airstrike
killed	VBN	kill
at	IN	at
least	JJS	least
37	CD	@card@
people	NNS	people
in	IN	in
Gaza	NP	Gaza
on	IN	on
Tuesday	NP	Tuesday
,	,	,
local	JJ	local
medics	NNS	medic
said	VBD	say
and	CC	and
fighting	VBG	fight
ramped	VBN	ramp
up	RP	up
,	,	,
as	IN	as
the	DT	the
Israeli	JJ	Israeli
military	NN	military
claimed	VBD	claim
it	PP	it
had	VBD	have
been	VBN	be
targeting	VBG	target
command	NN	command
centres	NNS	centre
used	VBN	use
by	IN	by
its	PP$	its
foe	NN	foe
Hamas	NN	<unknown>
.	SENT	.
<p>
Palestinian	JJ	Palestinian
health	NN	health
officials	NNS	official
said	VBD	say
at	IN	at
least	JJS	least
13	CD	@card@
people	NNS	people
,	,	,
including	VBG	include
women	NNS	woman
and	CC	and
children	NNS	child
,	,	,
were	VBD	be
killed	VBN	kill
in	IN	in
two	CD	two
Israeli	JJ	Israeli
strikes	NNS	strike
on	IN	on
two	CD	two
houses	NNS	house
in	IN	in
Nuseirat	NP	<unknown>
,	,	,
one	CD	one
of	IN	of
the	DT	the
enclave	NN	enclave
'	POS	'
s	JJ	<unknown>
eight	CD	eight
historic	JJ	historic
refugee	NN	refugee
camps	NNS	camp
.	SENT	.
<p>
There	EX	there
has	VBZ	have
been	VBN	be
no	DT	no
immediate	JJ	immediate
comment	NN	comment
by	IN	by
the	DT	the
Israeli	JJ	Israeli
army	NN	army
on	IN	on
the	DT	the
two	CD	two
strikes	NNS	strike
.	SENT	.
<p>
Another	DT	another
strike	NN	strike
on	IN	on
a	DT	a
school	NN	school
sheltering	VBG	shelter
displaced	VBN	displace
Palestinian	JJ	Palestinian
families	NNS	family
in	IN	in
the	DT	the
Tuffah	NP	<unknown>
neighbourhood	NN	neighbourhood
of	IN	of
Gaza	NP	Gaza
City	NP	City
killed	VBD	kill
at	IN	at
least	JJS	least
seven	CD	seven
people	NNS	people
,	,	,
medics	NNS	medic
added	VBD	add
.	SENT	.
<p>
The	DT	the
Israeli	JJ	Israeli
military	NN	military
said	VBD	say
in	IN	in
a	DT	a
statement	NN	statement
the	DT	the
air	NN	air
strike	NN	strike
targeted	VBN	target
Hamas	NNS	<unknown>
operating	VBG	operate
from	IN	from
a	DT	a
command	NN	command
centre	NN	centre
embedded	VBN	embed
in	IN	in
a	DT	a
compound	NN	compound
that	WDT	that
had	VBD	have
previously	RB	previously
served	VBN	serve
as	IN	as
Al-Shejaia	NP	<unknown>
School	NP	School
.	SENT	.
<p>
It	PP	it
accused	VBD	accuse
Hamas	NNS	<unknown>
of	IN	of
using	VBG	use
the	DT	the
civilian	JJ	civilian
population	NN	population
and	CC	and
facilities	NNS	facility
for	IN	for
military	JJ	military
purposes	NNS	purpose
,	,	,
which	WDT	which
Hamas	NP	<unknown>
denies	VBZ	deny
.	SENT	.
<p>
Later	RBR	later
on	IN	on
Tuesday	NP	Tuesday
,	,	,
two	CD	two
separate	JJ	separate
Israeli	JJ	Israeli
attacks	NNS	attack
killed	VBD	kill
five	CD	five
Palestinians	NPS	Palestinians
in	IN	in
Rafah	NP	<unknown>
in	IN	in
the	DT	the
southern	JJ	southern
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
in	IN	in
the	DT	the
Zeitoun	NP	<unknown>
suburb	NN	suburb
of	IN	of
Gaza	NP	Gaza
City	NP	City
,	,	,
medics	NNS	medic
said	VBD	say
.	SENT	.
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
enclave	NN	enclave
,	,	,
six	CD	six
Palestinians	NNS	Palestinian
were	VBD	be
killed	VBN	kill
in	IN	in
an	DT	an
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
on	IN	on
a	DT	a
tent	NN	tent
housing	NN	housing
displaced	VBN	displace
people	NNS	people
,	,	,
medics	NNS	medic
said	VBD	say
.	SENT	.
<p>
Hours	NNS	hour
later	RBR	later
,	,	,
an	DT	an
Israeli	JJ	Israeli
airstrike	NN	airstrike
on	IN	on
a	DT	a
car	NN	car
in	IN	in
western	JJ	western
Khan	NP	Khan
Younis	NP	Younis
,	,	,
killed	VBD	kill
six	CD	six
Palestinians	NNS	Palestinian
,	,	,
medics	NNS	medic
said	VBD	say
.	SENT	.
Footage	NN	footage
circulated	VBD	circulate
on	IN	on
social	JJ	social
media	NNS	medium
,	,	,
which	WDT	which
Reuters	NP	Reuters
could	MD	could
not	RB	not
immediately	RB	immediately
authenticate	VB	authenticate
,	,	,
showed	VBD	show
a	DT	a
mangled	VBN	mangle
,	,	,
burnt-out	JJ	burnt-out
vehicle	NN	vehicle
.	SENT	.
<p>
Hamas	NP	<unknown>
,	,	,
Islamic	NP	Islamic
Jihad	NP	Jihad
,	,	,
and	CC	and
other	JJ	other
smaller	JJR	small
factions	NNS	faction
said	VBD	say
in	IN	in
separate	JJ	separate
statements	NNS	statement
that	IN	that
their	PP$	their
fighters	NNS	fighter
attacked	VBD	attack
Israeli	JJ	Israeli
forces	NNS	force
operating	VBG	operate
in	IN	in
several	JJ	several
areas	NNS	area
of	IN	of
Gaza	NP	Gaza
with	IN	with
anti-tank	NN	anti-tank
rockets	NNS	rocket
,	,	,
mortar	NN	mortar
fire	NN	fire
,	,	,
and	CC	and
explosive	JJ	explosive
devices	NNS	device
.	SENT	.
<p>
The	DT	the
renewed	JJ	renewed
surge	NN	surge
in	IN	in
violence	NN	violence
in	IN	in
Gaza	NP	Gaza
comes	VBZ	come
as	IN	as
Israel	NP	Israel
began	VBD	begin
a	DT	a
ground	NN	ground
operation	NN	operation
in	IN	in
Lebanon	NP	Lebanon
,	,	,
saying	VBG	say
its	PP$	its
paratroopers	NNS	paratrooper
and	CC	and
commandos	NNS	commando
were	VBD	be
engaged	VBN	engage
in	IN	in
intense	JJ	intense
fighting	NN	fighting
with	IN	with
Hezbollah	NP	Hezbollah
.	SENT	.
The	DT	the
conflict	NN	conflict
follows	VBZ	follow
devastating	JJ	devastating
Israeli	JJ	Israeli
airstrikes	NNS	airstrike
against	IN	against
Hezbollah	NP	Hezbollah
'	POS	'
s	NN	S
leadership	NN	leadership
.	SENT	.
<p>
Regional	JJ	regional
tensions	NNS	tension
<p>
The	DT	the
operation	NN	operation
into	IN	into
Lebanon	NP	Lebanon
represents	VBZ	represent
an	DT	an
escalation	NN	escalation
of	IN	of
the	DT	the
conflict	NN	conflict
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
between	IN	between
Israel	NP	Israel
and	CC	and
Hezbollah	NP	Hezbollah
that	WDT	that
threatens	VBZ	threaten
to	TO	to
suck	VB	suck
in	IN	in
the	DT	the
US	NP	US
and	CC	and
Iran	NP	Iran
.	SENT	.
<p>
Israeli	JJ	Israeli
aggression	NN	aggression
has	VBZ	have
devastated	VBN	devastate
Gaza	NP	Gaza
,	,	,
displacing	VBG	displace
most	JJS	most
of	IN	of
its	PP$	its
2.3	CD	@card@
million	CD	million
population	NN	population
and	CC	and
killing	NN	killing
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
.	SENT	.
<p>
