<h>
Envoy	NN	envoy
assures	VBZ	assure
safety	NN	safety
of	IN	of
Filipinos	NPS	Filipinos
in	IN	in
Israel	NP	Israel
<p>
THE	DT	the
government	NN	government
has	VBZ	have
been	VBN	be
assured	VBN	assure
of	IN	of
the	DT	the
safety	NN	safety
of	IN	of
the	DT	the
some	DT	some
28,000	CD	@card@
Filipino	JJ	Filipino
workers	NNS	worker
in	IN	in
Israel	NP	Israel
amid	IN	amid
the	DT	the
continuous	JJ	continuous
fighting	NN	fighting
in	IN	in
the	DT	the
said	VBN	say
country	NN	country
with	IN	with
the	DT	the
Hamas	NN	<unknown>
in	IN	in
Gaza	NP	Gaza
City	NP	City
,	,	,
Hezbollah	NP	Hezbollah
in	IN	in
Lebanon	NP	Lebanon
,	,	,
and	CC	and
Iran	NP	Iran
,	,	,
a	DT	a
leader	NN	leader
of	IN	of
the	DT	the
House	NP	House
of	IN	of
Representatives	NPS	Representatives
said	VBD	say
on	IN	on
Sunday	NP	Sunday
.	SENT	.
<p>
The	DT	the
safety	NN	safety
of	IN	of
the	DT	the
Filipinos	NPS	Filipinos
in	IN	in
Israel	NP	Israel
was	VBD	be
the	DT	the
primary	JJ	primary
topic	NN	topic
discussed	VBN	discuss
during	IN	during
the	DT	the
courtesy	NN	courtesy
visit	NN	visit
of	IN	of
Israel	NP	Israel
Ambassador	NP	Ambassador
to	TO	to
the	DT	the
Philippines	NPS	Philippine
Ilan	NP	Ilan
Fluss	NP	<unknown>
to	TO	to
the	DT	the
office	NN	office
of	IN	of
Deputy	NP	Deputy
Majority	NP	Majority
Leader	NP	Leader
Erwin	NP	Erwin
Tulfo	NP	<unknown>
at	IN	at
the	DT	the
House	NP	House
of	IN	of
Representatives	NPS	Representatives
in	IN	in
Batasan	NP	<unknown>
,	,	,
Quezon	NP	Quezon
City	NP	City
,	,	,
last	JJ	last
week	NN	week
.	SENT	.
<p>
"	``	"
My	PP$	my
question	NN	question
,	,	,
Mr.	NP	Mr.
Ambassador	NP	Ambassador
,	,	,
is	VBZ	be
that	IN	that
we	PP	we
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
Filipino	JJ	Filipino
friends	NNS	friend
,	,	,
and	CC	and
they	PP	they
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
relatives	NNS	relative
in	IN	in
Israel	NP	Israel
right	RB	right
now	RB	now
.	SENT	.
How	WRB	how
are	VBP	be
they	PP	they
?	SENT	?
"	''	"
Tulfo	NP	<unknown>
,	,	,
the	DT	the
nominee	NN	nominee
of	IN	of
the	DT	the
ACT-CIS	NP	<unknown>
party-list	NN	<unknown>
group	NN	group
,	,	,
asked	VBD	ask
the	DT	the
ambassador	NN	ambassador
.	SENT	.
<p>
To	TO	to
which	WDT	which
,	,	,
Fluss	NP	<unknown>
immediately	RB	immediately
guaranteed	VBD	guarantee
the	DT	the
safety	NN	safety
of	IN	of
the	DT	the
Filipinos	NNS	Filipino
in	IN	in
his	PP$	his
country	NN	country
despite	IN	despite
the	DT	the
ongoing	JJ	ongoing
hostilities	NNS	hostility
in	IN	in
their	PP$	their
area	NN	area
.	SENT	.
<p>
"	``	"
They	PP	they
Filipinos	NNS	Filipino
are	VBP	be
not	RB	not
sent	VBN	send
close	NN	close
to	TO	to
the	DT	the
borders	NNS	border
or	CC	or
war-torn	JJ	war-torn
area	NN	area
.	SENT	.
We	PP	we
are	VBP	be
making	VBG	make
sure	RB	sure
that	IN	that
where	WRB	where
they	PP	they
stay	VBP	stay
they	PP	they
have	VBP	have
a	DT	a
safety	NN	safety
room	NN	room
,	,	,
a	DT	a
shelter	NN	shelter
,	,	,
and	CC	and
if	IN	if
they	PP	they
need	VBP	need
