<h>
Share	NN	share
:	:	:
<p>
Gaza	NP	Gaza
(	(	(
Quds	NP	Quds
News	NP	News
Network	NP	Network
)	)	)
-	NN	<unknown>
Israeli	JJ	Israeli
forces	NNS	force
shot	VBD	shoot
and	CC	and
killed	VBD	kill
a	DT	a
displaced	VBN	displace
Palestinian	JJ	Palestinian
and	CC	and
injured	JJ	injured
others	NNS	other
on	IN	on
Saturday	NP	Saturday
in	IN	in
Gaza	NP	Gaza
.	SENT	.
The	DT	the
incident	NN	incident
occurred	VBD	occur
on	IN	on
Salah	NP	Salah
al-Din	NP	al-Din
and	CC	and
Al-Rashid	NP	Al-Rashid
Streets	NPS	Street
,	,	,
marking	VBG	mark
a	DT	a
breach	NN	breach
of	IN	of
the	DT	the
ceasefire	NN	ceasefire
that	WDT	that
began	VBD	begin
last	JJ	last
Sunday	NP	Sunday
.	SENT	.
<p>
Footage	NN	footage
documents	NNS	document
the	DT	the
initial	JJ	initial
moments	NNS	moment
after	IN	after
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
opened	VBD	open
fire	NN	fire
on	IN	on
displaced	VBN	displace
Palestinians	NNS	Palestinian
waiting	VBG	wait
to	TO	to
return	VB	return
to	TO	to
their	PP$	their
homes	NNS	home
in	IN	in
northern	JJ	northern
Gaza	NP	Gaza
on	IN	on
Salah	NP	Salah
Al-Din	NP	<unknown>
Street	NP	Street
in	IN	in
the	DT	the
center	NN	center
of	IN	of
the	DT	the
enclave	NN	enclave
earlier	RBR	earlier
today	NN	today
,	,	,
resulting	VBG	result
in	IN	in
civilian	JJ	civilian
casualties	NNS	casualty
.	SENT	.
**26	NN	<unknown>
;	:	;
960	CD	@card@
;	:	;
TOOLONG	NP	<unknown>
<p>
Medical	NP	Medical
sources	NNS	source
reported	VBD	report
that	IN	that
one	CD	one
person	NN	person
was	VBD	be
killed	VBN	kill
,	,	,
and	CC	and
two	CD	two
others	NNS	other
were	VBD	be
injured	VBN	injure
.	SENT	.
They	PP	they
were	VBD	be
transported	VBN	transport
to	TO	to
Al-Awda	NP	<unknown>
and	CC	and
Al-Aqsa	NP	<unknown>
hospitals	NNS	hospital
in	IN	in
central	JJ	central
Gaza	NP	Gaza
.	SENT	.
Witnesses	NNS	witness
confirmed	VBD	confirm
Israeli	JJ	Israeli
soldiers	NNS	soldier
fired	VBN	fire
at	IN	at
displaced	VBN	displace
people	NNS	people
gathered	VBN	gather
at	IN	at
the	DT	the
final	JJ	final
accessible	JJ	accessible
points	NNS	point
on	IN	on
Salah	NP	Salah
al-Din	NP	al-Din
(	(	(
east	JJ	east
)	)	)
and	CC	and
Al-Rashid	NP	Al-Rashid
(	(	(
west	NN	west
)	)	)
streets	NNS	street
.	SENT	.
<p>
The	DT	the
displaced	VBN	displace
Palestinians	NNS	Palestinian
had	VBD	have
gathered	VBN	gather
in	IN	in
vehicles	NNS	vehicle
or	CC	or
on	IN	on
foot	NN	foot
,	,	,
waiting	VBG	wait
to	TO	to
cross	VB	cross
to	TO	to
Gaza	NP	Gaza
City	NP	City
and	CC	and
the	DT	the
northern	JJ	northern
regions	NNS	region
.	SENT	.
The	DT	the
movement	NN	movement
was	VBD	be
expected	VBN	expect
to	TO	to
resume	VB	resume
after	IN	after
Hamas	NNS	<unknown>
handed	VBN	hand
over	IN	over
four	CD	four
Israeli	JJ	Israeli
soldiers	NNS	soldier
as	IN	as
part	NN	part
of	IN	of
the	DT	the
ceasefire	NN	ceasefire
agreement	NN	agreement
.	SENT	.
<p>
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
axis	NN	axis
and	CC	and
surrounding	VBG	surround
areas	NNS	area
.	SENT	.
According	VBG	accord
to	TO	to
the	DT	the
agreement	NN	agreement
,	,	,
the	DT	the
Israeli	JJ	Israeli
army	NN	army
is	VBZ	be
required	VBN	require
to	TO	to
withdraw	VB	withdraw
completely	RB	completely
from	IN	from
west	NN	west
of	IN	of
the	DT	the
Nitzarim	NP	<unknown>
axis	NN	axis
,	,	,
including	VBG	include
the	DT	the
coastal	JJ	coastal
Al-Rashid	NP	Al-Rashid
