<h>
Sections	NNS	section
<h>
Terms	NNS	term
and	CC	and
Conditions	NPS	Conditions
<p>
HomeWorld	NP	HomeWorld
NewsTrump	NP	NewsTrump
says	VBZ	say
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
have	VBP	have
no	DT	no
right	NN	right
of	IN	of
return	NN	return
under	IN	under
his	PP$	his
plan	NN	plan
<h>
Trump	NP	Trump
says	VBZ	say
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
have	VBP	have
no	DT	no
right	NN	right
of	IN	of
return	NN	return
under	IN	under
his	PP$	his
plan	NN	plan
<h>
In	IN	in
an	DT	an
interview	NN	interview
with	IN	with
Fox	NP	Fox
News	NP	News
'	POS	'
Bret	NP	Bret
Baier	NP	Baier
set	VBD	set
to	TO	to
air	VB	air
on	IN	on
Monday	NP	Monday
,	,	,
February	NP	February
10	CD	@card@
,	,	,
Trump	NP	Trump
was	VBD	be
asked	VBN	ask
whether	IN	whether
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
would	MD	would
be	VB	be
allowed	VBN	allow
to	TO	to
return	VB	return
.	SENT	.
"	``	"
No	UH	no
,	,	,
they	PP	they
would	MD	would
n't	RB	n't
,	,	,
"	''	"
he	PP	he
responded	VBD	respond
.	SENT	.
His	PP$	his
plan	NN	plan
envisions	VBZ	envision
transforming	VBG	transform
Gaza	NP	Gaza
into	IN	into
"	``	"
the	DT	the
Riviera	NP	Riviera
of	IN	of
the	DT	the
Middle	NP	Middle
East	NP	East
"	''	"
while	IN	while
pressing	VBG	press
Arab	JJ	Arab
allies	NNS	ally
to	TO	to
take	VB	take
in	IN	in
displaced	VBN	displace
Palestinians	NNS	Palestinian
.	SENT	.
<p>
United	NP	United
States	NPS	States
President	NP	President
Donald	NP	Donald
Trump	NP	Trump
has	VBZ	have
stated	VBN	state
that	IN	that
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
would	MD	would
not	RB	not
have	VB	have
a	DT	a
right	NN	right
to	TO	to
return	VB	return
under	IN	under
his	PP$	his
vision	NN	vision
for	IN	for
US	NP	US
"	``	"
ownership	NN	ownership
"	''	"
of	IN	of
the	DT	the
territory	NN	territory
,	,	,
directly	RB	directly
contradicting	VBG	contradict
previous	JJ	previous
statements	NNS	statement
from	IN	from
his	PP$	his
own	JJ	own
administration	NN	administration
.	SENT	.
His	PP$	his
remarks	NNS	remark
have	VBP	have
intensified	VBN	intensify
concerns	NNS	concern
among	IN	among
Arab	JJ	Arab
nations	NNS	nation
,	,	,
particularly	RB	particularly
Jordan	NP	Jordan
and	CC	and
Egypt	NP	Egypt
,	,	,
about	IN	about
the	DT	the
plan	NN	plan
'	POS	'
s	NN	S
implications	NNS	implication
for	IN	for
regional	JJ	regional
stability	NN	stability
.	SENT	.
<p>
In	IN	in
an	DT	an
interview	NN	interview
with	IN	with
Fox	NP	Fox
News	NP	News
'	POS	'
Bret	NP	Bret
Baier	NP	Baier
set	VBD	set
to	TO	to
air	VB	air
on	IN	on
Monday	NP	Monday
,	,	,
February	NP	February
10	CD	@card@
,	,	,
Trump	NP	Trump
was	VBD	be
asked	VBN	ask
whether	IN	whether
Palestinians	NPS	Palestinians
in	RB	in
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
they	PP	they
would	MD	would
n't	RB	n't
,	,	,
"	''	"
he	PP	he
responded	VBD	respond
