<p>
Abdullah	NP	Abdullah
al-Yazouri	NP	<unknown>
,	,	,
the	DT	the
14-year-old	JJ	14-year-old
narrator	NN	narrator
of	IN	of
Gaza	NP	Gaza
:	:	:
How	WRB	how
to	TO	to
Survive	VB	survive
a	DT	a
War	NP	War
Zone	NP	Zone
,	,	,
has	VBZ	have
spoken	VBN	speak
up	RP	up
after	IN	after
the	DT	the
BBCremoved	NP	<unknown>
the	DT	the
documentary	NN	documentary
and	CC	and
apologised	VBN	apologise
for	IN	for
"	``	"
serious	JJ	serious
flaws	NNS	flaw
"	''	"
in	IN	in
it	PP	it
after	IN	after
backlash	NN	backlash
from	IN	from
pro-Israel	NP	pro-Israel
groups	NNS	group
.	SENT	.
<p>
"	''	"
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
working	VBG	work
for	IN	for
over	IN	over
nine	CD	nine
months	NNS	month
on	IN	on
this	DT	this
documentary	NN	documentary
for	IN	for
it	PP	it
to	TO	to
just	RB	just
get	VB	get
wiped	VBN	wipe
and	CC	and
deleted	VBN	delete
...	:	...
it	PP	it
was	VBD	be
very	RB	very
sad	JJ	sad
to	TO	to
me	PP	me
,	,	,
"	''	"
Yazouri	NP	<unknown>
,	,	,
who	WP	who
had	VBD	have
spent	VBN	spend
around	IN	around
60	CD	@card@
hours	NNS	hour
obtaining	VBG	obtain
footage	NN	footage
for	IN	for
the	DT	the
docu-film	NN	<unknown>
,	,	,
told	VBD	tell
Middle	NP	Middle
East	NP	East
Eye	NP	Eye
.	SENT	.
<p>
"	``	"
It	PP	it
was	VBD	be
pretty	RB	pretty
disappointing	JJ	disappointing
and	CC	and
sad	JJ	sad
to	TO	to
see	VB	see
this	DT	this
backlash	NN	backlash
against	IN	against
me	PP	me
and	CC	and
my	PP$	my
family	NN	family
,	,	,
and	CC	and
this	DT	this
harassment	NN	harassment
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
"	''	"
Some	RB	some
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
say	VBP	say
,	,	,
anonymous	JJ	anonymous
people	NNS	people
,	,	,
tried	VBD	try
to	TO	to
hide	VB	hide
the	DT	the
true	JJ	true
suffering	NN	suffering
of	IN	of
Gaza	NP	Gaza
'	POS	'
s	JJ	<unknown>
children	NNS	child
by	IN	by
attacking	VBG	attack
me	PP	me
and	CC	and
my	PP$	my
family	NN	family
--	:	--
cyberbullying	NN	<unknown>
,	,	,
harassment	NN	harassment
,	,	,
all	DT	all
kinds	NNS	kind
of	IN	of
things	NNS	thing
.	SENT	.
Stalking	VBG	stalk
too	RB	too
.	SENT	.
I	PP	I
did	VBD	do
not	RB	not
agree	VB	agree
to	TO	to
the	DT	the
risk	NN	risk
of	IN	of
me	PP	me
being	VBG	be
targeted	VBN	target
in	IN	in
any	DT	any
shape	NN	shape
,	,	,
"	''	"
he	PP	he
said	VBD	say
,	,	,
<p>
Yazouri	NP	<unknown>
told	VBD	tell
MEE	NN	mee
that	IN	that
the	DT	the
whole	JJ	whole
ordeal	NN	ordeal
has	VBZ	have
caused	VBN	cause
him	PP	him
serious	JJ	serious
"	''	"
mental	JJ	mental
pressure	NN	pressure
"	''	"
and	CC	and
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
to	TO	to
the	DT	the
BBC	NP	BBC
is	VBZ	be
if	IN	if
anything	NN	anything
happens	VBZ	happen
to	TO	to
me	PP	me
,	,	,
BBC	NP	BBC
is	VBZ	be
responsible	JJ	responsible
for	IN	for
it	PP	it
.	SENT	.
"	''	"
<p>
Gaza	NP	Gaza
:	:	:
How	WRB	how
to	TO	to
Survive	VB	survive
a	DT	a
War	NP	War
Zone	NP	Zone
initially	RB	initially
aired	VBD	air
on	IN	on
BBC	NP	BBC
Two	CD	two
on	IN	on
February	NP	February
17	CD	@card@
.	SENT	.
It	PP	it
featured	VBD	feature
Yazouri	NP	<unknown>
chronicling	VBG	chronicle
his	PP$	his
life	NN	life
in	IN	in
Gaza	NP	Gaza
.	SENT	.
The	DT	the
BBC	NP	BBC
removed	VBD	remove
the	DT	the
documentary	NN	documentary
from	IN	from
its	PP$	its
streaming	VBG	stream
service	NN	service
following	VBG	follow
pressure	NN	pressure
from	IN	from
British	JJ	British
officials	NNS	official
,	,	,
pro-Israel	NP	pro-Israel
groups	NNS	group
,	,	,
and	CC	and
media	NNS	medium
figures	NNS	figure
over	IN	over
the	DT	the
fact	NN	fact
that	IN	that
Yazouri	NP	<unknown>
'	POS	'
s	NN	S
father	NN	father
