<p>
Various	JJ	various
cities	NNS	city
across	IN	across
the	DT	the
country	NN	country
on	IN	on
Saturday	NP	Saturday
observed	VBD	observe
a	DT	a
shutter-down	JJ	<unknown>
strike	NN	strike
called	VBN	call
by	IN	by
the	DT	the
Jamaat-i-Islami	NP	<unknown>
(	(	(
JI	NP	Ji
)	)	)
against	IN	against
the	DT	the
ongoing	JJ	ongoing
Israeli	JJ	Israeli
assault	NN	assault
in	IN	in
Gaza	NP	Gaza
and	CC	and
to	TO	to
show	VB	show
solidarity	NN	solidarity
with	IN	with
the	DT	the
Palestinians	NPS	Palestinians
.	SENT	.
<p>
The	DT	the
strike	NN	strike
was	VBD	be
announced	VBN	announce
by	IN	by
JI	NP	Ji
central	JJ	central
chief	JJ	chief
Hafiz	NP	Hafiz
Naeemur	NP	<unknown>
Rehman	NP	Rehman
,	,	,
as	IN	as
he	PP	he
delivered	VBD	deliver
a	DT	a
fiery	JJ	fiery
speech	NN	speech
to	TO	to
the	DT	the
party	NN	party
'	POS	'
s	NNS	<unknown>
'	POS	'
Palestine	NP	Palestine
Solidarity	NP	Solidarity
March	NP	March
'	POS	'
in	IN	in
Islamabad	NP	Islamabad
.	SENT	.
The	DT	the
demonstration	NN	demonstration
protested	VBN	protest
against	IN	against
the	DT	the
Israeli	JJ	Israeli
atrocities	NNS	atrocity
in	IN	in
Gaza	NP	Gaza
and	CC	and
took	VBD	take
place	NN	place
on	IN	on
the	DT	the
Islamabad	NP	Islamabad
Expressway	NN	expressway
.	SENT	.
<p>
The	DT	the
Israeli	JJ	Israeli
offensive	NN	offensive
,	,	,
which	WDT	which
began	VBD	begin
in	IN	in
response	NN	response
to	TO	to
Hamas	NP	<unknown>
'	POS	'
s	JJ	<unknown>
unprecedented	JJ	unprecedented
attack	NN	attack
on	IN	on
October	NP	October
7	CD	@card@
,	,	,
2023	CD	@card@
,	,	,
has	VBZ	have
killed	VBN	kill
more	JJR	more
than	IN	than
51,000	CD	@card@
Palestinians	NNS	Palestinian
and	CC	and
destroyed	VBN	destroy
much	RB	much
of	IN	of
the	DT	the
housing	NN	housing
and	CC	and
hospital	NN	hospital
infrastructure	NN	infrastructure
in	IN	in
the	DT	the
enclave	NN	enclave
.	SENT	.
The	DT	the
death	NN	death
toll	NN	toll
is	VBZ	be
feared	VBN	fear
to	TO	to
be	VB	be
much	RB	much
higher	RBR	higher
due	JJ	due
to	TO	to
thousands	NNS	thousand
still	RB	still
missing	VBG	miss
under	IN	under
the	DT	the
rubble	NN	rubble
.	SENT	.
<p>
A	DT	a
strike	NN	strike
was	VBD	be
observed	VBN	observe
today	NN	today
in	IN	in
twin	JJ	twin
cities	NNS	city
of	IN	of
Islamabad	NP	Islamabad
and	CC	and
Rawalpindi	NP	Rawalpindi
,	,	,
Karachi	NP	Karachi
,	,	,
Lahore	NP	Lahore
,	,	,
Peshawar	NP	Peshawar
,	,	,
and	CC	and
Quetta	NP	Quetta
.	SENT	.
Other	JJ	other
parts	NNS	part
of	IN	of
Sindh	NP	<unknown>
,	,	,
Punjab	NP	Punjab
,	,	,
Khyber	NP	Khyber
Pakhtunkhwa	NP	<unknown>
,	,	,
and	CC	and
Balochistan	NP	Balochistan
also	RB	also
remained	VBD	remain
shut	VBN	shut
.	SENT	.
Shops	NNS	shop
and	CC	and
markets	NNS	market
remained	VBD	remain
closed	VBN	close
and	CC	and
vehicles	NNS	vehicle
largely	RB	largely
stayed	VBD	stay
off	RP	off
the	DT	the
roads	NNS	road
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
nationwide	JJ	nationwide
strike	NN	strike
to	TO	to
show	VB	show
their	PP$	their
solidarity	NN	solidarity
with	IN	with
Palestinians	NPS	Palestinians
,	,	,
in	IN	in
Karachi	NP	Karachi
on	IN	on
April	NP	April
26	CD	@card@
,	,	,
2025	CD	@card@
,	,	,
amid	IN	amid
the	DT	the
ongoing	JJ	ongoing
Gaza	NP	Gaza
conflict	NN	conflict
.	SENT	.
--	:	--
AFP	NP	AFP
<p>
Other	NP	Other
than	IN	than
Karachi	NP	Karachi
,	,	,
the	DT	the
strike	NN	strike
was	VBD	be
observed	VBN	observe
in	IN	in
other	JJ	other
cities	NNS	city
of	IN	of
the	DT	the
province	NN	province
including	VBG	include
Hyderabad	NP	Hyderabad
,	,	,
Sukkur	NP	<unknown>
,	,	,
Larkana	NP	<unknown>
,	,	,
Mirpurkhas	NP	<unknown>
,	,	,
Ghotki	NP	<unknown>
,	,	,
