<p>
Geopolitical	JJ	geopolitical
tensions	NNS	tension
roiled	VBD	roil
the	DT	the
opening	NN	opening
of	IN	of
the	DT	the
Paris	NP	Paris
Air	NP	Air
Show	NP	Show
on	IN	on
Monday	NP	Monday
as	IN	as
French	JJ	French
authorities	NNS	authority
sealed	VBN	seal
off	IN	off
Israeli	JJ	Israeli
weapons	NNS	weapon
industry	NN	industry
booths	NNS	booth
amid	IN	amid
the	DT	the
conflicts	NNS	conflict
in	IN	in
Iran	NP	Iran
and	CC	and
Gaza	NP	Gaza
,	,	,
a	DT	a
move	NN	move
that	IN	that
Israel	NP	Israel
condemned	VBD	condemn
as	IN	as
"	``	"
outrageous	JJ	outrageous
"	''	"
.	SENT	.
<p>
The	DT	the
decision	NN	decision
added	VBD	add
drama	NN	drama
to	TO	to
the	DT	the
major	JJ	major
aerospace	NN	aerospace
industry	NN	industry
event	NN	event
,	,	,
which	WDT	which
was	VBD	be
already	RB	already
being	VBG	be
held	VBN	hold
under	IN	under
the	DT	the
shadow	NN	shadow
of	IN	of
last	JJ	last
week	NN	week
'	POS	'
s	JJ	<unknown>
deadly	JJ	deadly
crash	NN	crash
of	IN	of
Air	NP	Air
India	NP	India
'	POS	'
s	JJ	<unknown>
Boeing	NP	Boeing
787	CD	@card@
Dreamliner	NP	Dreamliner
.	SENT	.
<p>
Black	JJ	Black
walls	NNS	wall
were	VBD	be
installed	VBN	install
around	IN	around
the	DT	the
stands	NNS	stand
of	IN	of
five	CD	five
Israeli	JJ	Israeli
defence	NN	defence
firms	NNS	firm
at	IN	at
the	DT	the
trade	NN	trade
fair	JJ	fair
in	IN	in
Le	NP	Le
Bourget	NP	Bourget
,	,	,
an	DT	an
airfield	NN	airfield
on	IN	on
the	DT	the
outskirts	NNS	outskirt
of	IN	of
Paris	NP	Paris
.	SENT	.
<p>
The	DT	the
booths	NNS	booth
displayed	VBD	display
"	``	"
offensive	JJ	offensive
weapons	NNS	weapon
"	''	"
that	WDT	that
could	MD	could
be	VB	be
used	VBN	use
in	IN	in
Gaza	NP	Gaza
--	:	--
in	IN	in
violation	NN	violation
of	IN	of
agreements	NNS	agreement
with	IN	with
Israeli	JJ	Israeli
authorities	NNS	authority
,	,	,
a	DT	a
French	JJ	French
government	NN	government
source	NN	source
told	VBN	tell
AFP	NP	AFP
.	SENT	.
<p>
An	DT	an
Israeli	JJ	Israeli
exhibitor	NN	exhibitor
wrote	VBD	write
a	DT	a
message	NN	message
in	IN	in
yellow	JJ	yellow
chalk	NN	chalk
on	IN	on
one	CD	one
of	IN	of
the	DT	the
walls	NNS	wall
,	,	,
saying	VBG	say
the	DT	the
hidden	JJ	hidden
defence	NN	defence
systems	NNS	system
"	``	"
are	VBP	be
protecting	VBG	protect
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
these	DT	these
days	NNS	day
.	SENT	.
The	DT	the
French	JJ	French
government	NN	government
,	,	,
in	IN	in
the	DT	the
name	NN	name
of	IN	of
discrimination	NN	discrimination
is	VBZ	be
trying	VBG	try
to	TO	to
hide	VB	hide
them	PP	them
from	IN	from
you	PP	you
!	SENT	!
"	``	"
<p>
The	DT	the
Israeli	JJ	Israeli
defence	NN	defence
ministry	NN	ministry
said	VBD	say
in	IN	in
a	DT	a
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
policy-driven	JJ	policy-driven
and	CC	and
commercial	JJ	commercial
considerations	NNS	consideration
"	''	"
.	SENT	.
<p>
"	``	"
The	DT	the
French	JJ	French
are	VBP	be
